	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001756.1_1	QGNH01001756.1	QGNH01001756.1	1	1	663	-1	E																		0	False	F
QGNH01001756.1_2	QGNH01001756.1	QGNH01001756.1	2	660	1970	-1	E																		0	False	F
QGNH01001756.1_3	QGNH01001756.1	QGNH01001756.1	3	1972	2577	-1	E																		0	False	F
QGNH01001756.1_4	QGNH01001756.1	QGNH01001756.1	4	2632	3132	-1	E																		0	False	F
QGNH01001756.1_5	QGNH01001756.1	QGNH01001756.1	5	3197	3883	-1	E																		0	False	F
QGNH01001756.1_6	QGNH01001756.1	QGNH01001756.1	6	3885	4373	-1	E																		0	False	F
QGNH01001756.1_7	QGNH01001756.1	QGNH01001756.1	7	4375	4689	-1	E																		0	False	F
QGNH01001756.1_8	QGNH01001756.1	QGNH01001756.1	8	5269	6276	-1	E																		0	False	
QGNH01001756.1_9	QGNH01001756.1	QGNH01001756.1	9	6302	6763	-1	E																		0	False	
QGNH01001756.1_10	QGNH01001756.1	QGNH01001756.1	10	6788	7654	-1	D	YP_009999952.1	YP_009999952.1 head maturation protease [Erwinia phage pEp_SNUABM_08]	False	0.293	93.0	1.62e-19	MER0166408	S49B	MER0166408 - subfamily S49B unassigned peptidases (Verrucomicrobium spinosum) [S49.UPB]#S49B#{peptidase unit: 99-267}~source ZP_02929088~	False	130.0	1.008e-31	0.432	Peptidase family S49 [PF01343.21]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VPF
QGNH01001756.1_11	QGNH01001756.1	QGNH01001756.1	11	7651	9030	-1	D	YP_009221552.1	YP_009221552.1 portal protein [Verrucomicrobia phage P8625]	False	0.262	154.0	5.208e-38								Phage portal protein, lambda family [PF05136.16]	VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01001756.1_12	QGNH01001756.1	QGNH01001756.1	12	9546	9719	-1	E																		0	False	F
QGNH01001756.1_13	QGNH01001756.1	QGNH01001756.1	13	9716	11584	-1	D	YP_010037966.1	YP_010037966.1 terminase large subunit [Burkholderia phage Mica]	False	0.211	66.0	6.026e-10								Phage terminase large subunit gpA, ATPase domain [PF05876.15]; Terminase large subunit gpA, endonuclease domain [PF20454.1]				1	False	F
