	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MZ334528_MZ334528.1_1	MZ334528	MZ334528.1	1	1	450	1	E				0
MZ334528_MZ334528.1_2	MZ334528	MZ334528.1	2	428	1729	1	C	K06909	phage terminase large subunit	Terminase RNAseH like domain [PF17288.5]	0
MZ334528_MZ334528.1_3	MZ334528	MZ334528.1	3	1786	2022	1	E				0
MZ334528_MZ334528.1_4	MZ334528	MZ334528.1	4	2188	2418	1	E				0
MZ334528_MZ334528.1_5	MZ334528	MZ334528.1	5	2415	2681	1	E				0
MZ334528_MZ334528.1_6	MZ334528	MZ334528.1	6	2735	3115	1	E				0
MZ334528_MZ334528.1_7	MZ334528	MZ334528.1	7	3112	3261	1	E				0
MZ334528_MZ334528.1_8	MZ334528	MZ334528.1	8	3262	6681	1	D			Phage Mu protein F like protein [PF04233.17]	0
MZ334528_MZ334528.1_9	MZ334528	MZ334528.1	9	6748	7818	1	C	K06904	uncharacterized protein	Caudovirus prohead serine protease [PF04586.20]	0
MZ334528_MZ334528.1_10	MZ334528	MZ334528.1	10	7822	9255	1	E				0
MZ334528_MZ334528.1_11	MZ334528	MZ334528.1	11	9342	9641	1	E				0
MZ334528_MZ334528.1_12	MZ334528	MZ334528.1	12	9644	10189	1	E				0
MZ334528_MZ334528.1_13	MZ334528	MZ334528.1	13	10332	10736	1	E				0
MZ334528_MZ334528.1_14	MZ334528	MZ334528.1	14	10740	11396	1	E				0
MZ334528_MZ334528.1_15	MZ334528	MZ334528.1	15	11396	11824	1	E				0
MZ334528_MZ334528.1_16	MZ334528	MZ334528.1	16	11825	12394	1	E				0
MZ334528_MZ334528.1_17	MZ334528	MZ334528.1	17	12620	12841	1	E				0
MZ334528_MZ334528.1_18	MZ334528	MZ334528.1	18	12838	13071	1	E				0
MZ334528_MZ334528.1_19	MZ334528	MZ334528.1	19	13071	13250	1	E				0
MZ334528_MZ334528.1_20	MZ334528	MZ334528.1	20	13243	13725	1	E				0
MZ334528_MZ334528.1_21	MZ334528	MZ334528.1	21	13718	13849	1	E				0
MZ334528_MZ334528.1_22	MZ334528	MZ334528.1	22	13846	14034	1	E				0
MZ334528_MZ334528.1_23	MZ334528	MZ334528.1	23	14031	14210	1	E				0
MZ334528_MZ334528.1_24	MZ334528	MZ334528.1	24	14203	14505	1	E				0
MZ334528_MZ334528.1_25	MZ334528	MZ334528.1	25	14550	15023	1	E				0
MZ334528_MZ334528.1_26	MZ334528	MZ334528.1	26	15070	15864	1	E				1
MZ334528_MZ334528.1_27	MZ334528	MZ334528.1	27	15933	16421	1	E				0
MZ334528_MZ334528.1_28	MZ334528	MZ334528.1	28	16462	16674	1	E				0
MZ334528_MZ334528.1_29	MZ334528	MZ334528.1	29	16671	17663	1	E				0
MZ334528_MZ334528.1_30	MZ334528	MZ334528.1	30	17666	18100	1	E				0
MZ334528_MZ334528.1_31	MZ334528	MZ334528.1	31	18117	18311	-1	E				0
MZ334528_MZ334528.1_32	MZ334528	MZ334528.1	32	18314	18538	1	E				0
MZ334528_MZ334528.1_33	MZ334528	MZ334528.1	33	18535	19809	1	E				0
MZ334528_MZ334528.1_34	MZ334528	MZ334528.1	34	19813	20307	1	E				0
MZ334528_MZ334528.1_35	MZ334528	MZ334528.1	35	20307	21761	1	E				0
MZ334528_MZ334528.1_36	MZ334528	MZ334528.1	36	21798	22271	1	E				0
MZ334528_MZ334528.1_37	MZ334528	MZ334528.1	37	22611	22988	1	E				0
MZ334528_MZ334528.1_38	MZ334528	MZ334528.1	38	22991	24028	1	E				0
MZ334528_MZ334528.1_39	MZ334528	MZ334528.1	39	24114	24686	1	E				0
MZ334528_MZ334528.1_40	MZ334528	MZ334528.1	40	24693	24905	-1	E				0
MZ334528_MZ334528.1_41	MZ334528	MZ334528.1	41	25275	25760	-1	E				0
MZ334528_MZ334528.1_42	MZ334528	MZ334528.1	42	25753	25944	-1	E				0
MZ334528_MZ334528.1_43	MZ334528	MZ334528.1	43	25987	26322	-1	E				0
MZ334528_MZ334528.1_44	MZ334528	MZ334528.1	44	26319	26630	-1	E				0
MZ334528_MZ334528.1_45	MZ334528	MZ334528.1	45	26671	26919	-1	E				0
MZ334528_MZ334528.1_46	MZ334528	MZ334528.1	46	27006	27131	-1	E				0
MZ334528_MZ334528.1_47	MZ334528	MZ334528.1	47	27128	27289	-1	E				0
MZ334528_MZ334528.1_48	MZ334528	MZ334528.1	48	27286	27633	-1	E				0
MZ334528_MZ334528.1_49	MZ334528	MZ334528.1	49	27630	27833	-1	E				0
MZ334528_MZ334528.1_50	MZ334528	MZ334528.1	50	27926	28060	1	E				0
MZ334528_MZ334528.1_51	MZ334528	MZ334528.1	51	28053	28418	1	E				0
MZ334528_MZ334528.1_52	MZ334528	MZ334528.1	52	28415	28579	1	E				0
MZ334528_MZ334528.1_53	MZ334528	MZ334528.1	53	28576	28767	1	E				0
MZ334528_MZ334528.1_54	MZ334528	MZ334528.1	54	28764	29261	1	D			ubiE/COQ5 methyltransferase family [PF01209.21]	0
MZ334528_MZ334528.1_55	MZ334528	MZ334528.1	55	29258	29668	1	E				0
MZ334528_MZ334528.1_56	MZ334528	MZ334528.1	56	29856	30056	1	E				0
MZ334528_MZ334528.1_57	MZ334528	MZ334528.1	57	30225	30902	1	E				0
MZ334528_MZ334528.1_58	MZ334528	MZ334528.1	58	30905	31132	1	E				0
MZ334528_MZ334528.1_59	MZ334528	MZ334528.1	59	31111	31401	1	E				0
MZ334528_MZ334528.1_60	MZ334528	MZ334528.1	60	31398	31970	1	E				0
MZ334528_MZ334528.1_61	MZ334528	MZ334528.1	61	31967	32167	1	E				0
MZ334528_MZ334528.1_62	MZ334528	MZ334528.1	62	32164	32490	1	E				0
MZ334528_MZ334528.1_63	MZ334528	MZ334528.1	63	32487	32882	1	E				0
MZ334528_MZ334528.1_64	MZ334528	MZ334528.1	64	32879	33100	1	E				0
MZ334528_MZ334528.1_65	MZ334528	MZ334528.1	65	33097	33642	1	D			MT-A70 [PF05063.17]	0
MZ334528_MZ334528.1_66	MZ334528	MZ334528.1	66	33639	34040	1	E				0
MZ334528_MZ334528.1_67	MZ334528	MZ334528.1	67	34085	35269	1	C	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	DNA methylase [PF01555.21]; ParB/Sulfiredoxin domain [PF02195.21]	0
