	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MZ334511_MZ334511.1_1	MZ334511	MZ334511.1	1	351	917	-1	D										Halobacterial output domain 1 [PF18545.4]	0
MZ334511_MZ334511.1_2	MZ334511	MZ334511.1	2	1325	2101	1	E											0
MZ334511_MZ334511.1_3	MZ334511	MZ334511.1	3	2094	2357	1	E											0
MZ334511_MZ334511.1_4	MZ334511	MZ334511.1	4	2468	2575	1	E											0
MZ334511_MZ334511.1_5	MZ334511	MZ334511.1	5	2578	2772	1	E											0
MZ334511_MZ334511.1_6	MZ334511	MZ334511.1	6	3108	4799	1	E											0
MZ334511_MZ334511.1_7	MZ334511	MZ334511.1	7	4814	6253	1	E											0
MZ334511_MZ334511.1_8	MZ334511	MZ334511.1	8	6256	6540	1	E											0
MZ334511_MZ334511.1_9	MZ334511	MZ334511.1	9	6537	7301	1	E											0
MZ334511_MZ334511.1_10	MZ334511	MZ334511.1	10	7308	7736	1	E											0
MZ334511_MZ334511.1_11	MZ334511	MZ334511.1	11	7759	8274	1	E											0
MZ334511_MZ334511.1_12	MZ334511	MZ334511.1	12	8316	9272	1	E											0
MZ334511_MZ334511.1_13	MZ334511	MZ334511.1	13	9318	9761	1	E											0
MZ334511_MZ334511.1_14	MZ334511	MZ334511.1	14	9761	10099	1	E											0
MZ334511_MZ334511.1_15	MZ334511	MZ334511.1	15	10102	13218	1	E											0
MZ334511_MZ334511.1_16	MZ334511	MZ334511.1	16	13220	13441	1	E											0
MZ334511_MZ334511.1_17	MZ334511	MZ334511.1	17	13478	13987	1	E											0
MZ334511_MZ334511.1_18	MZ334511	MZ334511.1	18	13996	15288	1	E											0
MZ334511_MZ334511.1_19	MZ334511	MZ334511.1	19	15317	15862	1	E											0
MZ334511_MZ334511.1_20	MZ334511	MZ334511.1	20	15919	16389	1	E											0
MZ334511_MZ334511.1_21	MZ334511	MZ334511.1	21	16337	16699	1	E											0
MZ334511_MZ334511.1_22	MZ334511	MZ334511.1	22	16702	18519	1	E											0
MZ334511_MZ334511.1_23	MZ334511	MZ334511.1	23	18520	19050	1	E											0
MZ334511_MZ334511.1_24	MZ334511	MZ334511.1	24	19047	20489	1	E											0
MZ334511_MZ334511.1_25	MZ334511	MZ334511.1	25	20491	20928	1	E											0
MZ334511_MZ334511.1_26	MZ334511	MZ334511.1	26	20925	21290	1	E											0
MZ334511_MZ334511.1_27	MZ334511	MZ334511.1	27	21355	21681	1	E											0
MZ334511_MZ334511.1_28	MZ334511	MZ334511.1	28	21678	22913	1	D										Baseplate J-like protein [PF04865.17]	0
MZ334511_MZ334511.1_29	MZ334511	MZ334511.1	29	22918	23568	1	E											0
MZ334511_MZ334511.1_30	MZ334511	MZ334511.1	30	23572	24963	1	E											0
MZ334511_MZ334511.1_31	MZ334511	MZ334511.1	31	24970	26031	1	E											0
