	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000513.1_1	QGNH01000513.1	QGNH01000513.1	1	2	661	1	E																				0	False	F
QGNH01000513.1_2	QGNH01000513.1	QGNH01000513.1	2	792	1154	1	E																				0	False	F
QGNH01000513.1_3	QGNH01000513.1	QGNH01000513.1	3	1158	1553	1	E																				0	False	F
QGNH01000513.1_4	QGNH01000513.1	QGNH01000513.1	4	1557	3731	1	E																				0	False	F
QGNH01000513.1_5	QGNH01000513.1	QGNH01000513.1	5	3831	4115	1	E																				0	False	F
QGNH01000513.1_6	QGNH01000513.1	QGNH01000513.1	6	4119	5315	1	E																				0	False	F
QGNH01000513.1_7	QGNH01000513.1	QGNH01000513.1	7	5506	6759	1	D																Family of unknown function (DUF5309) [PF17236.5]				0	False	
QGNH01000513.1_8	QGNH01000513.1	QGNH01000513.1	8	6795	7268	1	E																				0	False	
QGNH01000513.1_9	QGNH01000513.1	QGNH01000513.1	9	7293	7472	1	E																				0	False	
QGNH01000513.1_10	QGNH01000513.1	QGNH01000513.1	10	7547	8221	1	E																				0	False	
QGNH01000513.1_11	QGNH01000513.1	QGNH01000513.1	11	8225	8965	1	E																				0	False	
QGNH01000513.1_12	QGNH01000513.1	QGNH01000513.1	12	9095	9706	1	E																				0	False	
QGNH01000513.1_13	QGNH01000513.1	QGNH01000513.1	13	9711	11081	1	D									MER0068633	C40	MER0068633 - family C40 non-peptidase homologues (Methanosarcina barkeri) [C40.UNW]#C40#{peptidase unit: 171-861}~source YP_306945~	False	0.237	98.0	1.221e-19	PKD domain [PF18911.3]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]; PKD domain [PF00801.23]				0	False	MKP
QGNH01000513.1_14	QGNH01000513.1	QGNH01000513.1	14	11081	14155	1	D			YP_009622937.1	YP_009622937.1 virion structural protein [Pseudomonas phage NV1]	False	0.218	87.0	9.536e-16								Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin [PF15780.8]				0	False	
QGNH01000513.1_15	QGNH01000513.1	QGNH01000513.1	15	14156	15016	1	E																				0	False	
QGNH01000513.1_16	QGNH01000513.1	QGNH01000513.1	16	15713	17086	1	E			YP_009609789.1	YP_009609789.1 tail fiber protein [Acidovorax phage ACP17]	False	0.269	95.0	3.716e-19												0	False	
QGNH01000513.1_17	QGNH01000513.1	QGNH01000513.1	17	17134	17328	1	E																				0	False	
QGNH01000513.1_18	QGNH01000513.1	QGNH01000513.1	18	17331	17768	1	E																				0	False	
QGNH01000513.1_19	QGNH01000513.1	QGNH01000513.1	19	17765	18625	1	E																				0	False	
QGNH01000513.1_20	QGNH01000513.1	QGNH01000513.1	20	18713	19441	1	E																				0	False	
QGNH01000513.1_21	QGNH01000513.1	QGNH01000513.1	21	19443	19829	1	E																				0	False	
QGNH01000513.1_22	QGNH01000513.1	QGNH01000513.1	22	19834	21324	1	E			NP_203470.1	NP_203470.1 virion structural protein [Myxococcus phage Mx8]	False	0.343	63.0	5.06e-09												0	False	
QGNH01000513.1_23	QGNH01000513.1	QGNH01000513.1	23	21333	30047	1	E																				0	False	
QGNH01000513.1_24	QGNH01000513.1	QGNH01000513.1	24	30058	30285	1	E																				0	False	
QGNH01000513.1_25	QGNH01000513.1	QGNH01000513.1	25	30378	31937	1	E																				0	False	
QGNH01000513.1_26	QGNH01000513.1	QGNH01000513.1	26	32012	33190	1	E																				0	False	
QGNH01000513.1_27	QGNH01000513.1	QGNH01000513.1	27	33252	33755	1	E																				0	False	
QGNH01000513.1_28	QGNH01000513.1	QGNH01000513.1	28	33687	34289	-1	D			NP_891611.1	NP_891611.1 HNH endonuclease [Escherichia phage RB49]	False	0.476	87.0	1.733e-18								AP2 domain [PF00847.23]				0	False	
