	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001190.1_1	QGNH01001190.1	QGNH01001190.1	1	2	1123	1	E																				0	False	F
QGNH01001190.1_2	QGNH01001190.1	QGNH01001190.1	2	1120	1794	1	E																				0	False	F
QGNH01001190.1_3	QGNH01001190.1	QGNH01001190.1	3	1823	2017	1	E																				0	False	F
QGNH01001190.1_4	QGNH01001190.1	QGNH01001190.1	4	2431	2994	1	E																				0	False	F
QGNH01001190.1_5	QGNH01001190.1	QGNH01001190.1	5	3107	3289	1	E																				0	False	F
QGNH01001190.1_6	QGNH01001190.1	QGNH01001190.1	6	3986	4573	1	E																				0	False	F
QGNH01001190.1_7	QGNH01001190.1	QGNH01001190.1	7	4823	5002	-1	E																				0	False	F
QGNH01001190.1_8	QGNH01001190.1	QGNH01001190.1	8	5313	5795	-1	E																				0	False	
QGNH01001190.1_9	QGNH01001190.1	QGNH01001190.1	9	6115	6387	1	E																				0	False	F
QGNH01001190.1_10	QGNH01001190.1	QGNH01001190.1	10	6356	7174	1	C	K06904	uncharacterized protein	YP_002117562.1	YP_002117562.1 head maturation protease [Rhizobium phage 16-3]	False	134.0	2.093e-33	0.447	MER0247413	S78	MER0247413 - family S78 unassigned peptidases (Granulicella tundricola) [S78.UPW]#S78#{peptidase unit: 27-166}~source YP_004217786~	False	138.0	2.379e-34	0.518	Caudovirus prohead serine protease [PF04586.20]				0	False	PF
QGNH01001190.1_11	QGNH01001190.1	QGNH01001190.1	11	7279	8484	1	D																Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
QGNH01001190.1_12	QGNH01001190.1	QGNH01001190.1	12	8598	8951	1	E																				0	False	F
QGNH01001190.1_13	QGNH01001190.1	QGNH01001190.1	13	8942	9190	1	E																				0	False	F
QGNH01001190.1_14	QGNH01001190.1	QGNH01001190.1	14	9720	10991	-1	D																Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
