	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_071148_NC_071148_1	NC_071148	NC_071148	1	3	1475	1	C	K09961	uncharacterized protein	Protein of unknown function (DUF1073) [PF06381.14]					0
NC_071148_NC_071148_2	NC_071148	NC_071148	2	1456	2400	1	D			Phage Mu protein F like protein [PF04233.17]					0
NC_071148_NC_071148_3	NC_071148	NC_071148	3	2535	3398	-1	E								0
NC_071148_NC_071148_4	NC_071148	NC_071148	4	3395	3526	-1	E								0
NC_071148_NC_071148_5	NC_071148	NC_071148	5	3526	3816	-1	E								0
NC_071148_NC_071148_6	NC_071148	NC_071148	6	3915	4352	1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_071148_NC_071148_7	NC_071148	NC_071148	7	4349	4594	1	E								0
NC_071148_NC_071148_8	NC_071148	NC_071148	8	4569	5063	1	D			Protein of unknown function (DUF2514) [PF10721.12]					0
NC_071148_NC_071148_9	NC_071148	NC_071148	9	5088	5303	-1	E								0
NC_071148_NC_071148_10	NC_071148	NC_071148	10	5300	5521	-1	E								0
NC_071148_NC_071148_11	NC_071148	NC_071148	11	5521	6039	-1	D			Domain of unknown function (DUF6378) [PF19905.2]					0
NC_071148_NC_071148_12	NC_071148	NC_071148	12	6039	6239	-1	E								0
NC_071148_NC_071148_13	NC_071148	NC_071148	13	6336	6851	1	D			HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					0
NC_071148_NC_071148_14	NC_071148	NC_071148	14	6848	7063	1	E								0
NC_071148_NC_071148_15	NC_071148	NC_071148	15	7147	7338	1	E								0
NC_071148_NC_071148_16	NC_071148	NC_071148	16	7555	7791	1	D			Restriction alleviation protein Lar [PF14354.9]					0
NC_071148_NC_071148_17	NC_071148	NC_071148	17	7781	8251	1	E								0
NC_071148_NC_071148_18	NC_071148	NC_071148	18	8344	8613	1	E								0
NC_071148_NC_071148_19	NC_071148	NC_071148	19	8610	8954	1	E								0
NC_071148_NC_071148_20	NC_071148	NC_071148	20	9137	10537	1	D			Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					0
NC_071148_NC_071148_21	NC_071148	NC_071148	21	10537	11001	1	E								0
NC_071148_NC_071148_22	NC_071148	NC_071148	22	11013	12101	1	D			Family of unknown function (DUF6260) [PF19774.2]					0
NC_071148_NC_071148_23	NC_071148	NC_071148	23	12145	12339	1	E								0
NC_071148_NC_071148_24	NC_071148	NC_071148	24	12381	13199	1	E								0
NC_071148_NC_071148_25	NC_071148	NC_071148	25	13229	13480	-1	E								0
NC_071148_NC_071148_26	NC_071148	NC_071148	26	13506	13679	-1	E								0
NC_071148_NC_071148_27	NC_071148	NC_071148	27	13676	13933	-1	E								0
NC_071148_NC_071148_28	NC_071148	NC_071148	28	13933	14748	-1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein	KorB domain [PF08535.13]; ParB/Sulfiredoxin domain [PF02195.21]					0
NC_071148_NC_071148_29	NC_071148	NC_071148	29	14756	14872	-1	E								0
NC_071148_NC_071148_30	NC_071148	NC_071148	30	14869	15189	-1	E								0
NC_071148_NC_071148_31	NC_071148	NC_071148	31	15420	15707	1	E								0
NC_071148_NC_071148_32	NC_071148	NC_071148	32	15685	16077	1	E								0
NC_071148_NC_071148_33	NC_071148	NC_071148	33	16074	16208	1	E								0
NC_071148_NC_071148_34	NC_071148	NC_071148	34	16196	16540	1	E								0
NC_071148_NC_071148_35	NC_071148	NC_071148	35	16544	17011	1	E								0
NC_071148_NC_071148_36	NC_071148	NC_071148	36	17008	17391	1	E								0
NC_071148_NC_071148_37	NC_071148	NC_071148	37	18130	18885	1	D			Immunoglobulin domain [PF13895.9]					0
NC_071148_NC_071148_38	NC_071148	NC_071148	38	18949	19227	-1	E								0
NC_071148_NC_071148_39	NC_071148	NC_071148	39	19228	19356	-1	E								0
NC_071148_NC_071148_40	NC_071148	NC_071148	40	19353	19652	-1	D			Superinfection immunity protein [PF14373.9]					0
NC_071148_NC_071148_41	NC_071148	NC_071148	41	19746	20453	1	D			Family of unknown function (DUF6246) [PF19759.2]					0
NC_071148_NC_071148_42	NC_071148	NC_071148	42	20453	23380	1	D			Prophage tail length tape measure protein [PF06791.16]					0
NC_071148_NC_071148_43	NC_071148	NC_071148	43	23566	23850	1	E								0
NC_071148_NC_071148_44	NC_071148	NC_071148	44	23850	24320	1	E								0
NC_071148_NC_071148_45	NC_071148	NC_071148	45	24337	24741	1	D			NlpC/P60 family [PF00877.22]					0
NC_071148_NC_071148_46	NC_071148	NC_071148	46	24689	27169	1	E								0
NC_071148_NC_071148_47	NC_071148	NC_071148	47	27208	29337	1	E								0
NC_071148_NC_071148_48	NC_071148	NC_071148	48	29401	29544	1	E								0
NC_071148_NC_071148_49	NC_071148	NC_071148	49	29580	30077	-1	C	K03111	single-strand DNA-binding protein	Single-strand binding protein family [PF00436.28]					0
NC_071148_NC_071148_50	NC_071148	NC_071148	50	30087	31124	-1	D			AAA domain [PF13479.9]					0
NC_071148_NC_071148_51	NC_071148	NC_071148	51	31148	32086	-1	D			PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]					0
NC_071148_NC_071148_52	NC_071148	NC_071148	52	32131	32547	-1	E								0
NC_071148_NC_071148_53	NC_071148	NC_071148	53	32534	34507	-1	E								0
NC_071148_NC_071148_54	NC_071148	NC_071148	54	34582	35475	1	D			Zinc-binding domain of primase-helicase [PF08273.15]; CHC2 zinc finger [PF01807.23]					0
NC_071148_NC_071148_55	NC_071148	NC_071148	55	35492	35707	-1	D			Protein of unknown function (DUF551) [PF04448.15]					0
NC_071148_NC_071148_56	NC_071148	NC_071148	56	35704	37191	-1	E								0
NC_071148_NC_071148_57	NC_071148	NC_071148	57	37191	37406	-1	E								0
NC_071148_NC_071148_58	NC_071148	NC_071148	58	37907	38128	1	E								0
NC_071148_NC_071148_59	NC_071148	NC_071148	59	38125	38310	1	E								0
NC_071148_NC_071148_60	NC_071148	NC_071148	60	38326	38604	1	E								0
NC_071148_NC_071148_61	NC_071148	NC_071148	61	38617	39081	1	D			Family of unknown function (DUF5490) [PF17593.5]					0
NC_071148_NC_071148_62	NC_071148	NC_071148	62	39078	39476	1	E								0
NC_071148_NC_071148_63	NC_071148	NC_071148	63	39479	39745	1	E								0
