	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000976.1_1	QGNH01000976.1	QGNH01000976.1	1	422	580	1	E															0	False	F
QGNH01000976.1_2	QGNH01000976.1	QGNH01000976.1	2	582	1667	-1	D	YP_009778172.1	YP_009778172.1 glycosyltransferase [Synechococcus phage ACG-2014f_Syn7803C7]	False	0.378	227.0	7.746e-64	Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	False	MKF
QGNH01000976.1_3	QGNH01000976.1	QGNH01000976.1	3	1721	3757	-1	E	YP_007112223.1	YP_007112223.1 tail fiber protein [Enterobacteria phage vB_EcoS_Rogue1]	False	0.392	110.0	3.567e-23						VOG05775	sp|B2RNN3|C1T9B_HUMAN Complement C1q and tumor necrosis factor-related protein 9B; Xh	Xh	0	False	F
QGNH01000976.1_4	QGNH01000976.1	QGNH01000976.1	4	3757	5577	-1	E	YP_009819691.1	YP_009819691.1 minor tail protein [Arthrobacter phage Sonali]	False	0.206	86.0	5.219e-16						VOG01538	REFSEQ minor tail protein; Xu	Xu	0	False	F
QGNH01000976.1_5	QGNH01000976.1	QGNH01000976.1	5	5577	6932	-1	D							Phage tail protein [PF05709.14]								0	False	
QGNH01000976.1_6	QGNH01000976.1	QGNH01000976.1	6	6932	9673	-1	E															0	False	F
QGNH01000976.1_7	QGNH01000976.1	QGNH01000976.1	7	9678	10046	-1	E															0	False	F
QGNH01000976.1_8	QGNH01000976.1	QGNH01000976.1	8	10152	10673	-1	E	YP_009819686.1	YP_009819686.1 hypothetical protein HOV09_gp13 [Arthrobacter phage Sonali]	False	0.269	62.0	3.108e-10						VOG33564	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000976.1_9	QGNH01000976.1	QGNH01000976.1	9	10809	11342	1	E															0	False	F
QGNH01000976.1_10	QGNH01000976.1	QGNH01000976.1	10	11409	12743	-1	E															0	False	F
