	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001758.1_1	QGNH01001758.1	QGNH01001758.1	1	1	1176	1	D	YP_008771835.1	YP_008771835.1 portal protein [Bacillus phage Blastoid]	False	79.0	3.628e-14	0.28								Protein of unknown function (DUF935) [PF06074.15]	VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
QGNH01001758.1_2	QGNH01001758.1	QGNH01001758.1	2	1478	1861	1	D														Udp N-acetylglucosamine O-acyltransferase; Domain 2 [PF13720.9]				0	False	F
QGNH01001758.1_3	QGNH01001758.1	QGNH01001758.1	3	1815	2027	1	E																		0	False	F
QGNH01001758.1_4	QGNH01001758.1	QGNH01001758.1	4	2035	2757	1	D														Glycosyltransferase like family 2 [PF13641.9]				0	False	F
QGNH01001758.1_5	QGNH01001758.1	QGNH01001758.1	5	2754	2957	1	E																		0	False	F
QGNH01001758.1_6	QGNH01001758.1	QGNH01001758.1	6	2941	3162	1	E																		0	False	F
QGNH01001758.1_7	QGNH01001758.1	QGNH01001758.1	7	3424	3849	1	D							MER0723593	C40	MER0723593 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 83-180}~source R6M1F6~	False	72.0	6.545e-14	0.445	NlpC/P60 family [PF00877.22]				0	False	PF
QGNH01001758.1_8	QGNH01001758.1	QGNH01001758.1	8	4032	4580	-1	D														RmlD substrate binding domain [PF04321.20]; NAD dependent epimerase/dehydratase family [PF01370.24]				0	False	MKF
QGNH01001758.1_9	QGNH01001758.1	QGNH01001758.1	9	4595	5494	1	D														Phage Mu protein F like protein [PF04233.17]				0	False	F
QGNH01001758.1_10	QGNH01001758.1	QGNH01001758.1	10	5464	6921	1	E																		0	False	F
QGNH01001758.1_11	QGNH01001758.1	QGNH01001758.1	11	6890	7186	1	E																		0	False	F
QGNH01001758.1_12	QGNH01001758.1	QGNH01001758.1	12	7202	7591	1	E																		0	False	F
QGNH01001758.1_13	QGNH01001758.1	QGNH01001758.1	13	7604	8719	1	D														Phage major capsid protein E [PF03864.18]	VOG01069	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xh;Xs	0	False	VF
QGNH01001758.1_14	QGNH01001758.1	QGNH01001758.1	14	8792	9160	1	E																		0	False	F
QGNH01001758.1_15	QGNH01001758.1	QGNH01001758.1	15	9171	9770	1	E																		0	False	F
QGNH01001758.1_16	QGNH01001758.1	QGNH01001758.1	16	9767	10366	1	E																		0	False	F
QGNH01001758.1_17	QGNH01001758.1	QGNH01001758.1	17	10363	11052	1	E																		0	False	F
QGNH01001758.1_18	QGNH01001758.1	QGNH01001758.1	18	11158	11853	1	E																		0	False	F
