L1	L2	L3	L4	KO	Function	EC	Count
01_Fermentation	Acetylene degradation			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Heterolactic fermentation			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Lysine fermentation to acetate and butyrate			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
21_Cellular response to stress	Response to osmotic stress			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	D-arginine and D-ornithine metabolism			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00003	hom; homoserine dehydrogenase	1.1.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00003	hom; homoserine dehydrogenase	1.1.1.3	1
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
01_Fermentation	Acetoin biosynthesis	Acetoin biosynthesis III		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
01_Fermentation	Acetoin biosynthesis	(s,s)-butanediol biosynthesis		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis I		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
