	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000819.1_1	QGNH01000819.1	QGNH01000819.1	1	69	347	-1	E											0	False	F
QGNH01000819.1_2	QGNH01000819.1	QGNH01000819.1	2	397	627	-1	E											0	False	F
QGNH01000819.1_3	QGNH01000819.1	QGNH01000819.1	3	633	794	-1	E											0	False	F
QGNH01000819.1_4	QGNH01000819.1	QGNH01000819.1	4	1726	1932	1	E											0	False	F
QGNH01000819.1_5	QGNH01000819.1	QGNH01000819.1	5	1936	2115	1	E											0	False	F
QGNH01000819.1_6	QGNH01000819.1	QGNH01000819.1	6	2153	2434	1	D							Helix-turn-helix domain [PF12844.10]; Helix-turn-helix domain [PF13560.9]; Helix-turn-helix [PF01381.25]				0	False	F
QGNH01000819.1_7	QGNH01000819.1	QGNH01000819.1	7	2401	2835	1	E											0	False	F
QGNH01000819.1_8	QGNH01000819.1	QGNH01000819.1	8	2835	3248	1	E											0	False	F
QGNH01000819.1_9	QGNH01000819.1	QGNH01000819.1	9	3248	3967	1	E											0	False	F
QGNH01000819.1_10	QGNH01000819.1	QGNH01000819.1	10	3967	6114	1	E	YP_009186871.1	YP_009186871.1 hypothetical protein AUR69_gp07 [Hydrogenobaculum phage 1]	False	61.0	2.724e-08	0.157					0	False	F
QGNH01000819.1_11	QGNH01000819.1	QGNH01000819.1	11	6111	6581	1	E											0	False	
QGNH01000819.1_12	QGNH01000819.1	QGNH01000819.1	12	6578	8707	1	E											0	False	
QGNH01000819.1_13	QGNH01000819.1	QGNH01000819.1	13	8715	8969	1	E											0	False	
QGNH01000819.1_14	QGNH01000819.1	QGNH01000819.1	14	9736	9849	1	E											0	False	
QGNH01000819.1_15	QGNH01000819.1	QGNH01000819.1	15	10147	10974	1	E											0	False	
QGNH01000819.1_16	QGNH01000819.1	QGNH01000819.1	16	11005	12222	1	E											0	False	
QGNH01000819.1_17	QGNH01000819.1	QGNH01000819.1	17	12253	12900	1	E											0	False	
QGNH01000819.1_18	QGNH01000819.1	QGNH01000819.1	18	12911	13264	1	E											0	False	
QGNH01000819.1_19	QGNH01000819.1	QGNH01000819.1	19	13348	14340	1	E											0	False	F
QGNH01000819.1_20	QGNH01000819.1	QGNH01000819.1	20	14350	14508	1	E											0	False	F
QGNH01000819.1_21	QGNH01000819.1	QGNH01000819.1	21	14510	14767	1	E											0	False	F
QGNH01000819.1_22	QGNH01000819.1	QGNH01000819.1	22	14768	16096	1	E											0	False	F
QGNH01000819.1_23	QGNH01000819.1	QGNH01000819.1	23	16096	18315	1	E											0	False	F
