	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001686.1_1	QGNH01001686.1	QGNH01001686.1	1	3	851	-1	E	YP_009997125.1	YP_009997125.1 DUF932 domain-containing protein [Synechococcus virus S-ESS1]	False	0.54	288.0	2.288e-86					0	False	F
QGNH01001686.1_2	QGNH01001686.1	QGNH01001686.1	2	949	1137	-1	E											0	False	F
QGNH01001686.1_3	QGNH01001686.1	QGNH01001686.1	3	1134	1439	-1	E											0	False	F
QGNH01001686.1_4	QGNH01001686.1	QGNH01001686.1	4	1436	1834	-1	E											0	False	F
QGNH01001686.1_5	QGNH01001686.1	QGNH01001686.1	5	1905	2432	-1	E	YP_006987139.1	YP_006987139.1 hypothetical protein GAP32_036 [Cronobacter phage vB_CsaM_GAP32]	False	0.386	60.0	2.07e-09		VOG11539	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001686.1_6	QGNH01001686.1	QGNH01001686.1	6	2551	2745	-1	E											0	False	F
QGNH01001686.1_7	QGNH01001686.1	QGNH01001686.1	7	2912	3157	-1	E											0	False	F
QGNH01001686.1_8	QGNH01001686.1	QGNH01001686.1	8	3954	4304	1	E											0	False	F
QGNH01001686.1_9	QGNH01001686.1	QGNH01001686.1	9	4301	5374	1	D	YP_007002015.1	YP_007002015.1 terminase large subunit [Brucella phage Tb]	False	0.528	175.0	2.207e-46	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]				0	False	F
QGNH01001686.1_10	QGNH01001686.1	QGNH01001686.1	10	5398	6057	1	E	YP_007002015.1	YP_007002015.1 terminase large subunit [Brucella phage Tb]	False	0.368	109.0	8.883e-26					0	False	
QGNH01001686.1_11	QGNH01001686.1	QGNH01001686.1	11	6067	6501	1	E											0	False	
QGNH01001686.1_12	QGNH01001686.1	QGNH01001686.1	12	6514	6777	1	E											0	False	
QGNH01001686.1_13	QGNH01001686.1	QGNH01001686.1	13	6779	8998	1	E											0	False	F
QGNH01001686.1_14	QGNH01001686.1	QGNH01001686.1	14	9000	10094	1	E											0	False	F
QGNH01001686.1_15	QGNH01001686.1	QGNH01001686.1	15	10105	10515	1	E								VOG10711	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001686.1_16	QGNH01001686.1	QGNH01001686.1	16	10519	10926	1	D							Meiotically up-regulated gene 113 [PF13455.9]; T5orf172 domain [PF10544.12]	VOG03664	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001686.1_17	QGNH01001686.1	QGNH01001686.1	17	11076	12146	1	E											0	False	F
QGNH01001686.1_18	QGNH01001686.1	QGNH01001686.1	18	12180	12761	1	E											0	False	F
QGNH01001686.1_19	QGNH01001686.1	QGNH01001686.1	19	12785	13159	1	E											0	False	F
QGNH01001686.1_20	QGNH01001686.1	QGNH01001686.1	20	13233	13445	1	E											0	False	F
