	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334512.1_1	MZ334512	MZ334512.1	1	1	300	1	E																				0	False	F
MZ334512.1_2	MZ334512	MZ334512.1	2	375	914	-1	D			YP_010357598.1	YP_010357598.1 HalOD1 domain-containing protein [Haloarcula virus HJTV-2]	True	1.0	383.0	4.3360000000000005e-121								Halobacterial output domain 1 [PF18545.4]	VOG23910	REFSEQ HalOD1 domain-containing protein; Xu	Xu	0	False	F
MZ334512.1_3	MZ334512	MZ334512.1	3	1272	2039	1	E			YP_010357599.1	YP_010357599.1 terminase small subunit [Haloarcula virus HJTV-2]	True	0.927	505.0	7.559e-162									VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MZ334512.1_4	MZ334512	MZ334512.1	4	2032	2295	1	E			YP_010357600.1	YP_010357600.1 hypothetical protein M1M33_gp003 [Haloarcula virus HJTV-2]	False	0.972	181.0	8.393e-53									VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334512.1_5	MZ334512	MZ334512.1	5	2406	2513	1	E			YP_010357601.1	YP_010357601.1 hypothetical protein M1M33_gp004 [Haloarcula virus HJTV-2]	False	0.898	68.0	1.013e-14									VOG23911	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334512.1_6	MZ334512	MZ334512.1	6	2747	2953	1	E			YP_010357603.1	YP_010357603.1 hypothetical protein M1M33_gp006 [Haloarcula virus HJTV-2]	False	0.974	142.0	9.569e-40									VOG23914	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334512.1_7	MZ334512	MZ334512.1	7	3046	4737	1	E			YP_010357604.1	YP_010357604.1 terminase large subunit [Haloarcula virus HJTV-2]	True	0.946	1120.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MZ334512.1_8	MZ334512	MZ334512.1	8	4752	6191	1	E			YP_010357605.1	YP_010357605.1 portal protein [Haloarcula virus HJTV-2]	True	0.957	966.0	3.85e-317									VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
MZ334512.1_9	MZ334512	MZ334512.1	9	6194	6487	1	E			YP_010357606.1	YP_010357606.1 hypothetical protein M1M33_gp138 [Haloarcula virus HJTV-2]	False	0.854	174.0	2.9670000000000007e-50									VOG23915	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334512.1_10	MZ334512	MZ334512.1	10	6484	7245	1	E			YP_010357607.1	YP_010357607.1 head maturation protease [Haloarcula virus HJTV-2]	True	0.971	519.0	5.907e-167									VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
