	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001680.1_1	QGNH01001680.1	QGNH01001680.1	1	184	3540	1	E					0	False	F
QGNH01001680.1_2	QGNH01001680.1	QGNH01001680.1	2	3537	4307	1	E					0	False	F
QGNH01001680.1_3	QGNH01001680.1	QGNH01001680.1	3	4381	6087	1	E					0	False	F
QGNH01001680.1_4	QGNH01001680.1	QGNH01001680.1	4	6154	7059	1	E					0	False	
QGNH01001680.1_5	QGNH01001680.1	QGNH01001680.1	5	7110	7811	1	E					0	False	
QGNH01001680.1_6	QGNH01001680.1	QGNH01001680.1	6	8032	8634	1	E					0	False	F
QGNH01001680.1_7	QGNH01001680.1	QGNH01001680.1	7	8654	9403	1	E					0	False	F
QGNH01001680.1_8	QGNH01001680.1	QGNH01001680.1	8	9349	10038	1	E					0	False	F
QGNH01001680.1_9	QGNH01001680.1	QGNH01001680.1	9	10087	11154	1	E					0	False	F
QGNH01001680.1_10	QGNH01001680.1	QGNH01001680.1	10	11209	12333	1	E					0	False	F
QGNH01001680.1_11	QGNH01001680.1	QGNH01001680.1	11	12415	12945	1	E					0	False	F
QGNH01001680.1_12	QGNH01001680.1	QGNH01001680.1	12	13145	13600	1	E					0	False	F
