	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000341.1_1	QGNH01000341.1	QGNH01000341.1	1	1	708	1	D							Protein of unknown function (DUF3383) [PF11863.11]	VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	F
QGNH01000341.1_2	QGNH01000341.1	QGNH01000341.1	2	771	1208	1	D							Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	VOG03723	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10; Xs	Xs	0	False	VF
QGNH01000341.1_3	QGNH01000341.1	QGNH01000341.1	3	1253	1750	1	E								VOG00091	REFSEQ tail assembly chaperone; Xu	Xu	0	False	F
QGNH01000341.1_4	QGNH01000341.1	QGNH01000341.1	4	2096	3532	1	E											0	False	F
QGNH01000341.1_5	QGNH01000341.1	QGNH01000341.1	5	3534	4157	1	E	YP_004327322.1	YP_004327322.1 tail fiber protein [Erwinia phage phiEt88]	False	0.265	70.0	1.592e-12		VOG01485	REFSEQ tail fiber protein; Xu	Xu	0	False	F
QGNH01000341.1_6	QGNH01000341.1	QGNH01000341.1	6	4171	4476	1	E								VOG00258	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01000341.1_7	QGNH01000341.1	QGNH01000341.1	7	4473	5333	1	E	YP_004327324.1	YP_004327324.1 baseplate hub [Erwinia phage phiEt88]	False	0.23	84.0	2.12e-16		VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	F
QGNH01000341.1_8	QGNH01000341.1	QGNH01000341.1	8	5300	5914	1	D	YP_009124473.1	YP_009124473.1 baseplate spike [Pseudomonas phage vB_PaeM_PAO1_Ab03]	False	0.348	76.0	2.029e-14	Phage protein Gp138 N-terminal domain [PF18352.4]	VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xs;Xh;Xp	0	False	V
QGNH01000341.1_9	QGNH01000341.1	QGNH01000341.1	9	5911	6453	1	E											0	False	
QGNH01000341.1_10	QGNH01000341.1	QGNH01000341.1	10	6450	8294	1	E											0	False	F
QGNH01000341.1_11	QGNH01000341.1	QGNH01000341.1	11	8410	8772	1	E											0	False	F
QGNH01000341.1_12	QGNH01000341.1	QGNH01000341.1	12	8769	9929	1	E	YP_004327327.1	YP_004327327.1 baseplate component [Erwinia phage phiEt88]	False	0.231	87.0	6.124e-17		VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	VF
QGNH01000341.1_13	QGNH01000341.1	QGNH01000341.1	13	9941	10297	1	E											0	False	F
QGNH01000341.1_14	QGNH01000341.1	QGNH01000341.1	14	10323	10907	1	E											0	False	F
QGNH01000341.1_15	QGNH01000341.1	QGNH01000341.1	15	10917	11858	1	E											0	False	F
