	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000365.1_1	QGNH01000365.1	QGNH01000365.1	1	2	1495	-1	E											0	False	F
QGNH01000365.1_2	QGNH01000365.1	QGNH01000365.1	2	1572	1862	1	E											0	False	F
QGNH01000365.1_3	QGNH01000365.1	QGNH01000365.1	3	1911	2243	1	E											0	False	F
QGNH01000365.1_4	QGNH01000365.1	QGNH01000365.1	4	2267	3184	-1	E											0	False	F
QGNH01000365.1_5	QGNH01000365.1	QGNH01000365.1	5	3228	4634	-1	E											0	False	F
QGNH01000365.1_6	QGNH01000365.1	QGNH01000365.1	6	4603	5742	-1	E											0	False	F
QGNH01000365.1_7	QGNH01000365.1	QGNH01000365.1	7	6273	6716	-1	E											0	False	F
QGNH01000365.1_8	QGNH01000365.1	QGNH01000365.1	8	6725	7774	-1	E	YP_024932.1	YP_024932.1 tail protein [Burkholderia phage BcepC6B]	False	0.224	73.0	1.398e-12					0	False	F
QGNH01000365.1_9	QGNH01000365.1	QGNH01000365.1	9	7916	9553	-1	E											0	False	F
QGNH01000365.1_10	QGNH01000365.1	QGNH01000365.1	10	9825	10031	1	E											0	False	F
QGNH01000365.1_11	QGNH01000365.1	QGNH01000365.1	11	10000	10656	-1	E	YP_024931.1	YP_024931.1 tail protein [Burkholderia phage BcepC6B]	False	0.293	60.0	5.271e-09					0	False	F
QGNH01000365.1_12	QGNH01000365.1	QGNH01000365.1	12	10668	10769	-1	E											0	False	F
