	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001086.1_1	QGNH01001086.1	QGNH01001086.1	1	3	896	-1	E											0	False	F
QGNH01001086.1_2	QGNH01001086.1	QGNH01001086.1	2	906	1310	-1	E											0	False	F
QGNH01001086.1_3	QGNH01001086.1	QGNH01001086.1	3	1318	1569	-1	E											0	False	F
QGNH01001086.1_4	QGNH01001086.1	QGNH01001086.1	4	1562	2383	-1	E											0	False	F
QGNH01001086.1_5	QGNH01001086.1	QGNH01001086.1	5	2380	3012	-1	E											0	False	F
QGNH01001086.1_6	QGNH01001086.1	QGNH01001086.1	6	3014	3334	-1	E											0	False	F
QGNH01001086.1_7	QGNH01001086.1	QGNH01001086.1	7	3345	4508	-1	E											0	False	F
QGNH01001086.1_8	QGNH01001086.1	QGNH01001086.1	8	4590	5318	-1	E	YP_195258.1	YP_195258.1 virion structural protein [Synechococcus phage S-PM2]	False	70.0	3.369e-12	0.48					0	False	F
QGNH01001086.1_9	QGNH01001086.1	QGNH01001086.1	9	5331	5942	-1	E											0	False	F
QGNH01001086.1_10	QGNH01001086.1	QGNH01001086.1	10	5969	6475	-1	E											0	False	F
QGNH01001086.1_11	QGNH01001086.1	QGNH01001086.1	11	6635	7609	-1	E											0	False	F
QGNH01001086.1_12	QGNH01001086.1	QGNH01001086.1	12	7679	8605	-1	E											0	False	F
QGNH01001086.1_13	QGNH01001086.1	QGNH01001086.1	13	8609	8926	-1	E											0	False	F
QGNH01001086.1_14	QGNH01001086.1	QGNH01001086.1	14	8987	9274	-1	E											0	False	F
QGNH01001086.1_15	QGNH01001086.1	QGNH01001086.1	15	9591	9866	1	E											0	False	F
QGNH01001086.1_16	QGNH01001086.1	QGNH01001086.1	16	9977	10387	-1	E											0	False	F
