	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001163.1_1	QGNH01001163.1	QGNH01001163.1	1	50	718	1	D	YP_006989931.1	YP_006989931.1 anti-restriction protein [Caulobacter phage CcrSwift]	False	0.545	224.0	4.587e-65								N-terminal domain of anti-restriction factor ArdC [PF08401.14]; Zincin-like metallopeptidase [PF18818.4]	VOG13628	sp|P27189|TRAC4_ECOLX DNA primase TraC; XhXr	Xr;Xh	0	False	VTF
QGNH01001163.1_2	QGNH01001163.1	QGNH01001163.1	2	825	2051	1	D	YP_009009518.1	YP_009009518.1 integrase [Mycobacterium phage 32HC]	False	0.268	82.0	3.166e-15								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	True	VTF
QGNH01001163.1_3	QGNH01001163.1	QGNH01001163.1	3	2048	2980	1	D	YP_008772025.1	YP_008772025.1 integrase [Lactobacillus phage phiJB]	False	0.223	68.0	3.016e-11								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VTF
QGNH01001163.1_4	QGNH01001163.1	QGNH01001163.1	4	2977	3966	1	D	YP_009595182.1	YP_009595182.1 integrase [Bacillus phage Mgbh1]	False	0.277	109.0	1.614e-24								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]; Phage integrase, N-terminal SAM-like domain [PF13495.9]; Phage integrase SAM-like domain [PF13102.9]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	True	VTF
QGNH01001163.1_5	QGNH01001163.1	QGNH01001163.1	5	3969	4310	1	D	YP_006988089.1	YP_006988089.1 anti-restriction protein [Caulobacter phage phiCbK]	False	0.597	74.0	4.773e-15								Zincin-like metallopeptidase [PF18818.4]				0	False	TF
QGNH01001163.1_6	QGNH01001163.1	QGNH01001163.1	6	4379	5383	-1	D	YP_009595182.1	YP_009595182.1 integrase [Bacillus phage Mgbh1]	False	0.26	99.0	5.872e-21								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]; Phage integrase, N-terminal SAM-like domain [PF13495.9]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	True	VTF
QGNH01001163.1_7	QGNH01001163.1	QGNH01001163.1	7	5380	6756	-1	D	YP_010772297.1	YP_010772297.1 site-specific integrase [Methanocaldococcus fervens tailed virus 1]	False	0.272	62.0	1.014e-08								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VT
QGNH01001163.1_8	QGNH01001163.1	QGNH01001163.1	8	6753	7985	-1	D														Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VT
QGNH01001163.1_9	QGNH01001163.1	QGNH01001163.1	9	8228	8647	-1	E																		0	False	T
QGNH01001163.1_10	QGNH01001163.1	QGNH01001163.1	10	9500	10396	1	E																		0	False	T
QGNH01001163.1_11	QGNH01001163.1	QGNH01001163.1	11	10491	11069	-1	E																		0	False	T
QGNH01001163.1_12	QGNH01001163.1	QGNH01001163.1	12	11412	12527	1	D														Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]				0	False	T
QGNH01001163.1_13	QGNH01001163.1	QGNH01001163.1	13	12772	16020	1	D							MER1381388	A39	MER1381388 -  (Geobacter daltonii) [A39.UNW]#A39#{peptidase unit: 59-1212}~source WP_012648742~	False	0.187	72.0	5.111e-11					0	False	TF
QGNH01001163.1_14	QGNH01001163.1	QGNH01001163.1	14	16125	19424	1	D							MER1381328	A39	MER1381328 -  () [A39.UNW]#A39#{peptidase unit: 49-815}~source HFZ30362~	False	0.253	143.0	1.071e-32	IPT/TIG domain [PF01833.27]				0	False	TF
