	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_002796_NC_002796_1	NC_002796	NC_002796	1	77	550	1	D										Phage terminase, small subunit [PF05119.15]	0
NC_002796_NC_002796_2	NC_002796	NC_002796	2	540	2510	1	D										Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	0
NC_002796_NC_002796_3	NC_002796	NC_002796	3	2479	2688	1	D										Protein of unknown function (DUF1056) [PF06341.14]	0
NC_002796_NC_002796_4	NC_002796	NC_002796	4	2691	3863	1	D										Phage portal protein [PF04860.15]	0
NC_002796_NC_002796_5	NC_002796	NC_002796	5	3909	4619	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER0026282	S49C	MER0026282 - subfamily S49C unassigned peptidases () [S49.UPC]#S49C#{peptidase unit: 36-194}~source Q94MB0~	False	0.922	309.0	4.5439999999999997e-94	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	0
NC_002796_NC_002796_6	NC_002796	NC_002796	6	4631	5845	1	D										Phage capsid family [PF05065.16]	0
NC_002796_NC_002796_7	NC_002796	NC_002796	7	5853	6176	1	E											0
NC_002796_NC_002796_8	NC_002796	NC_002796	8	6151	6504	1	E											0
NC_002796_NC_002796_9	NC_002796	NC_002796	9	6506	7012	1	E											0
NC_002796_NC_002796_10	NC_002796	NC_002796	10	7009	7404	1	D										Protein of unknown function (DUF806) [PF05657.14]	0
NC_002796_NC_002796_11	NC_002796	NC_002796	11	7435	8028	1	D										Phage tail tube protein [PF04630.15]	0
NC_002796_NC_002796_12	NC_002796	NC_002796	12	8173	8592	1	D										Phage tail assembly chaperone proteins, TAC [PF06896.14]	0
NC_002796_NC_002796_13	NC_002796	NC_002796	13	8821	9312	1	D										zinc-ribbon domain [PF13240.9]; zinc-ribbon domain [PF13248.9]; Double zinc ribbon [PF12773.10]	0
NC_002796_NC_002796_14	NC_002796	NC_002796	14	9394	14535	1	D										Phage-related minor tail protein [PF10145.12]	0
NC_002796_NC_002796_15	NC_002796	NC_002796	15	14532	16178	1	D										Phage tail protein [PF05709.14]	0
NC_002796_NC_002796_16	NC_002796	NC_002796	16	16178	21892	1	D										Receptor-binding protein of phage tail base-plate Siphoviridae, head [PF08931.13]; Prophage endopeptidase tail [PF06605.14]	0
NC_002796_NC_002796_17	NC_002796	NC_002796	17	21907	22143	1	E											0
NC_002796_NC_002796_18	NC_002796	NC_002796	18	22156	22383	1	D										Haemolysin XhlA [PF10779.12]	0
NC_002796_NC_002796_19	NC_002796	NC_002796	19	22396	22683	1	D										SPP1 phage holin [PF04688.16]	0
NC_002796_NC_002796_20	NC_002796	NC_002796	20	22683	23462	1	D			MER0165955	C40	MER0165955 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 31-134}~source ABD63798~	False	0.969	214.0	5.303e-61	Bacteriophage peptidoglycan hydrolase [PF05382.16]; Prophage endopeptidase tail [PF06605.14]	0
NC_002796_NC_002796_21	NC_002796	NC_002796	21	23472	23597	1	E											0
NC_002796_NC_002796_22	NC_002796	NC_002796	22	23679	25289	1	D										SIR2-like domain [PF13289.9]	0
NC_002796_NC_002796_23	NC_002796	NC_002796	23	25911	27035	-1	C	K14059	integrase								Phage integrase family [PF00589.25]	0
NC_002796_NC_002796_24	NC_002796	NC_002796	24	27173	27949	-1	D										Repeat of unknown function (DUF5648) [PF18885.3]	0
NC_002796_NC_002796_25	NC_002796	NC_002796	25	28005	28892	-1	D			MER0035120	S24	MER0035120 - family S24 unassigned peptidases () [S24.UPW]#S24#{peptidase unit: 182-297}~source Q38327~	False	0.995	246.0	2.785e-71	Peptidase S24-like [PF00717.26]	0
NC_002796_NC_002796_26	NC_002796	NC_002796	26	29167	29346	1	D										Lactococcus bacteriophage putative transcription regulator [PF04761.15]	0
NC_002796_NC_002796_27	NC_002796	NC_002796	27	29574	29813	1	E											0
NC_002796_NC_002796_28	NC_002796	NC_002796	28	29826	30626	1	C	K07741	anti-repressor protein								BRO family, N-terminal domain [PF02498.20]; Phage antirepressor protein KilAC domain [PF03374.17]	0
NC_002796_NC_002796_29	NC_002796	NC_002796	29	30639	30974	1	D										Domain of unknown function (DUF771) [PF05595.14]	0
NC_002796_NC_002796_30	NC_002796	NC_002796	30	31333	31551	1	E											0
NC_002796_NC_002796_31	NC_002796	NC_002796	31	31585	31779	1	E											0
NC_002796_NC_002796_32	NC_002796	NC_002796	32	31773	32039	-1	E											0
NC_002796_NC_002796_33	NC_002796	NC_002796	33	32146	32388	1	E											0
NC_002796_NC_002796_34	NC_002796	NC_002796	34	32457	32966	1	D										Siphovirus Gp157 [PF05565.14]	0
NC_002796_NC_002796_35	NC_002796	NC_002796	35	32966	33670	1	D										AAA domain [PF13479.9]	0
NC_002796_NC_002796_36	NC_002796	NC_002796	36	33670	34191	1	E											0
NC_002796_NC_002796_37	NC_002796	NC_002796	37	34325	35134	1	D										Helix-turn-helix domain [PF13730.9]	0
NC_002796_NC_002796_38	NC_002796	NC_002796	38	35115	35336	1	E											0
NC_002796_NC_002796_39	NC_002796	NC_002796	39	35314	35715	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]								Endodeoxyribonuclease RusA [PF05866.14]	0
NC_002796_NC_002796_40	NC_002796	NC_002796	40	35719	35958	1	D										Protein of unknown function (DUF1031) [PF06275.14]	0
NC_002796_NC_002796_41	NC_002796	NC_002796	41	36069	36416	1	D										dUTPase [PF00692.22]	0
NC_002796_NC_002796_42	NC_002796	NC_002796	42	36416	36712	1	E											0
NC_002796_NC_002796_43	NC_002796	NC_002796	43	36746	37084	-1	E											0
NC_002796_NC_002796_44	NC_002796	NC_002796	44	37162	37530	1	D										Protein of unknown function (DUF1140) [PF06600.14]	0
NC_002796_NC_002796_45	NC_002796	NC_002796	45	37604	37834	1	E											0
NC_002796_NC_002796_46	NC_002796	NC_002796	46	37831	38004	1	D										Prophage protein (DUF1660) [PF07874.14]	0
NC_002796_NC_002796_47	NC_002796	NC_002796	47	38004	38180	1	E											0
NC_002796_NC_002796_48	NC_002796	NC_002796	48	38444	38587	1	E											0
NC_002796_NC_002796_49	NC_002796	NC_002796	49	38664	39065	1	D										Protein of unknown function (DUF722) [PF05263.14]	0
NC_002796_NC_002796_50	NC_002796	NC_002796	50	39395	39952	1	D										HNH endonuclease [PF01844.26]; HNH endonuclease [PF14279.9]	1
