	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_048179_1	NC_048179	NC_048179	1	1	978	1	D			YP_009821716.1	YP_009821716.1 major head protein [Salmonella phage ZCSE2]	True	0.93	635.0	1.348e-205								Major capsid protein 13-like [PF20036.2]					VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	VF
NC_048179_2	NC_048179	NC_048179	2	1051	1425	1	D			YP_009821717.1	YP_009821717.1 HNH endonuclease [Salmonella phage ZCSE2]	False	1.0	283.0	1.467e-87								HNH endonuclease [PF01844.26]					VOG00155	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI; Xh	Xh	2	False	F
NC_048179_3	NC_048179	NC_048179	3	1455	1955	1	D			YP_009821718.1	YP_009821718.1 head-tail adaptor Ad1 [Salmonella phage ZCSE2]	False	0.974	343.0	1.614e-107								Putative DnaT-like ssDNA binding protein [PF20557.1]					VOG01527	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	F
NC_048179_4	NC_048179	NC_048179	4	1955	2455	1	E			YP_009821719.1	YP_009821719.1 tail completion or Neck1 protein [Salmonella phage ZCSE2]	False	0.961	338.0	9.766e-106													VOG02678	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	F
NC_048179_5	NC_048179	NC_048179	5	2448	2825	1	E			YP_009821720.1	YP_009821720.1 head protein [Salmonella phage ZCSE2]	False	0.992	264.0	4.308e-81													VOG02340	REFSEQ head protein; Xu	Xu	0	False	F
NC_048179_6	NC_048179	NC_048179	6	2800	3276	1	E			YP_009821721.1	YP_009821721.1 hypothetical protein HOV36_gp06 [Salmonella phage ZCSE2]	False	0.969	325.0	2.221e-101													VOG01549	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048179_7	NC_048179	NC_048179	7	3276	3896	1	E			YP_009821722.1	YP_009821722.1 tail fiber protein [Salmonella phage ZCSE2]	True	0.912	394.0	1.214e-124													VOG01052	REFSEQ tail fiber protein; Xu	Xu	0	False	F
NC_048179_8	NC_048179	NC_048179	8	3896	6853	1	E			YP_009821723.1	YP_009821723.1 tail protein [Salmonella phage ZCSE2]	True	1.0	2122.0	0.0													VOG09151	REFSEQ tail protein; Xu	Xu	0	False	F
NC_048179_9	NC_048179	NC_048179	9	6923	7564	1	D			YP_009821724.1	YP_009821724.1 structural protein with Ig domain [Salmonella phage ZCSE2]	True	0.875	389.0	1.018e-122	MER0255370	U69	MER0255370 - family U69 unassigned peptidases (Zobellia galactanivorans) [U69.UPW]#U69#{peptidase unit: 916-1202}~source YP_004737180~	False	79.0	4.069e-15	0.296	Bacterial Ig-like domain (group 2) [PF02368.21]					VOG03913	sp|P85991|IGLVP_BPSK9 Ig-like virion protein; Xs	Xs	0	False	VM
NC_048179_10	NC_048179	NC_048179	10	7577	9451	1	D			YP_009821725.1	YP_009821725.1 major tail protein [Salmonella phage ZCSE2]	True	0.887	1154.0	0.0								Bacterial Ig-like domain (group 2) [PF02368.21]					VOG00079	sp|P85991|IGLVP_BPSK9 Ig-like virion protein; Xs	Xs	0	False	V
NC_048179_11	NC_048179	NC_048179	11	9539	10678	1	D			YP_009821726.1	YP_009821726.1 tail sheath [Salmonella phage ZCSE2]	True	0.983	788.0	1.839e-257								Protein of unknown function (DUF3383) [PF11863.11]					VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	
NC_048179_12	NC_048179	NC_048179	12	10689	11120	1	D			YP_009821727.1	YP_009821727.1 virion structural protein [Salmonella phage ZCSE2]	False	1.0	309.0	2.395e-96								Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]					VOG03723	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10; Xs	Xs	0	False	V
NC_048179_13	NC_048179	NC_048179	13	11137	11565	1	D			YP_009821728.1	YP_009821728.1 hypothetical protein HOV36_gp13 [Salmonella phage ZCSE2]	False	0.962	289.0	1.637e-89								Phage tail assembly chaperone protein, TAC [PF10876.11]					VOG00091	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
NC_048179_14	NC_048179	NC_048179	14	11731	13392	1	D			YP_009821730.1	YP_009821730.1 tail length tape measure protein [Salmonella phage ZCSE2]	True	0.924	1070.0	0.0								Tape measure protein [PF20155.2]								0	False	
NC_048179_15	NC_048179	NC_048179	15	13389	14285	1	E			YP_009821731.1	YP_009821731.1 tail fiber protein [Salmonella phage ZCSE2]	True	0.925	579.0	1.04e-186													VOG01485	REFSEQ tail fiber protein; Xu	Xu	0	False	
NC_048179_16	NC_048179	NC_048179	16	14285	14677	1	E			YP_009845623.1	YP_009845623.1 hypothetical protein HWC20_gp43 [Salmonella phage SE4]	False	0.979	271.0	3.507e-83													VOG00258	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_048179_17	NC_048179	NC_048179	17	14619	15569	1	E			YP_009821732.1	YP_009821732.1 baseplate hub [Salmonella phage ZCSE2]	True	0.977	653.0	6.129e-212													VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	
NC_048179_18	NC_048179	NC_048179	18	15559	16203	1	D			YP_009821733.1	YP_009821733.1 baseplate spike [Salmonella phage ZCSE2]	True	0.974	441.0	8.884e-141								Phage protein Gp138 N-terminal domain [PF18352.4]					VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xp;Xh;Xs	0	False	V
NC_048179_19	NC_048179	NC_048179	19	16212	16583	1	D			YP_009821734.1	YP_009821734.1 baseplate wedge subunit [Salmonella phage ZCSE2]	False	0.995	261.0	6.7079999999999996e-80								Protein of unknown function (DUF2634) [PF10934.11]					VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xh;Xs	0	False	V
NC_048179_20	NC_048179	NC_048179	20	16587	17750	1	E			YP_009821735.1	YP_009821735.1 hypothetical protein HOV36_gp20 [Salmonella phage ZCSE2]	True	0.939	764.0	5.946999999999998e-249													VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	V
NC_048179_21	NC_048179	NC_048179	21	17743	18396	1	D			YP_009821736.1	YP_009821736.1 structural protein [Salmonella phage ZCSE2]	True	0.972	447.0	1.698e-142								Protein of unknown function (DUF2612) [PF11041.11]								0	False	
