L1	KO	Function	EC
Virus protein with function beneficial for the host	VOG00001	sp|Q5UR04|YR911_MIMIV Putative ankyrin repeat protein R911	
Function unknown	VOG00002	sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559	
Virus protein with function beneficial for the host	VOG00003	sp|Q5UPF8|YL088_MIMIV Putative ankyrin repeat protein L88	
Virus protein with function beneficial for the host	VOG00004	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122	
Function unknown	VOG00005	sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414	
Virus replication	VOG00006	sp|O22001|VXIS_BPMD2 Excisionase	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00007	sp|P17766|POLG_PPVNA Genome polyprotein	
Function unknown	VOG00008	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245	
Function unknown	VOG00009	REFSEQ 2OG-Fe(II) oxygenase	
Function unknown	VOG00010	sp|Q9YML3|BROJ_NPVLD Uncharacterized Bro-N domain-containing protein J	
Function unknown	VOG00011	sp|P03795|Y28_BPT7 Protein 2.8	
Function unknown	VOG00012	sp|Q5UPB3|YL037_MIMIV Putative KilA-N domain-containing protein L37	
Function unknown	VOG00013	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00014	sp|Q5UQA7|YR542_MIMIV Putative F-box/LRR-repeat protein R542	
Virus protein with function beneficial for the host	VOG00015	sp|Q5UPU3|YL268_MIMIV Putative serine/threonine-protein kinase L268	
Function unknown	VOG00016	sp|Q5UPH2|YL098_MIMIV Putative BTB/POZ domain-containing protein L98	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00017	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit	
Virus protein with function beneficial for the host | Virus structure	VOG00018	sp|Q5UP57|P4H_MIMIV Putative prolyl 4-hydroxylase	
Function unknown	VOG00019	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5	
Virus protein with function beneficial for the host | Virus structure	VOG00020	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2	
Function unknown	VOG00021	sp|Q91F66|460R_IIV6 Uncharacterized protein 460R	
Virus replication | Virus structure	VOG00022	sp|P37988|TGB1_CVB Movement and silencing protein TGBp1	
Virus protein with function beneficial for the host	VOG00023	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease	
Function unknown	VOG00024	REFSEQ putative virion structural protein	
Virus protein with function beneficial for the host	VOG00025	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818	
Virus protein with function beneficial for the host | Virus structure	VOG00026	sp|C0H677|UL298_HCMVA Protein UL29/UL28	
Function unknown	VOG00027	REFSEQ virion structural protein	
Virus protein with function beneficial for the host	VOG00028	sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP	
Virus structure	VOG00029	sp|A7U6E9|MCP_POV01 Major capsid protein	
Virus protein with function beneficial for the host	VOG00030	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease	
Function unknown	VOG00031	REFSEQ hypothetical protein	
Function unknown	VOG00032	sp|P03796|Y77_BPT7 Protein 7.7	
Virus protein with function beneficial for the host	VOG00033	sp|P00276|GLRX_BPT4 Glutaredoxin	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00034	sp|B9VUU3|POLG_HE71 Genome polyprotein	
Function unknown	VOG00035	sp|Q5UPP5|YL181_MIMIV Uncharacterized protein L181	
Function unknown	VOG00036	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00037	sp|Q8R5N7|KPTA_FUSNN Probable RNA 2'-phosphotransferase	
Function unknown	VOG00038	sp|Q91FA5|420R_IIV6 Putative MSV199 domain-containing protein 420R	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00039	sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1	
Function unknown	VOG00040	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region	
Function unknown	VOG00041	sp|O55752|148R_IIV6 Putative MSV199 domain-containing protein 148R	
Virus protein with function beneficial for the host | Virus replication	VOG00042	sp|Q64962|RDRP_ASPVP RNA replication polyprotein	
Function unknown	VOG00043	REFSEQ hypothetical protein	
Function unknown	VOG00044	REFSEQ Lar-like restriction alleviation protein	
Function unknown	VOG00045	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00046	sp|Q9FN03|UVR8_ARATH Ultraviolet-B receptor UVR8	
Function unknown	VOG00047	sp|Q5UP92|YL018_MIMIV Putative sel1-like repeat-containing protein L18	
Virus protein with function beneficial for the host	VOG00048	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1	
Function unknown	VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00050	sp|P13333|TUBE_BPT4 Tail tube protein gp19	
Virus protein with function beneficial for the host | Virus structure	VOG00051	sp|O64333|TIPK_BPN15 Tail tip assembly protein K	
Function unknown	VOG00052	REFSEQ 2OG-Fe(II) oxygenase	
Function unknown	VOG00053	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)	
Function unknown	VOG00054	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00055	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1	
Virus protein with function beneficial for the host | Virus replication	VOG00056	sp|P22877|INTR_SACER Integrase	
Function unknown	VOG00057	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00058	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2	
Function unknown	VOG00059	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00060	sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase	
Function unknown	VOG00061	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region	
Virus structure	VOG00062	sp|P15098|TGB3_NMV Movement protein TGBp3	
Function unknown	VOG00063	REFSEQ hypothetical protein	
Function unknown	VOG00064	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796	
Function unknown	VOG00065	REFSEQ Rz-like spanin	
Function unknown	VOG00066	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI	
Function unknown	VOG00067	REFSEQ internal head protein	
Virus protein with function beneficial for the host | Virus replication	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit	
Virus protein with function beneficial for the host | Virus structure	VOG00069	sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132	
Virus protein with function beneficial for the host	VOG00070	sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein	
Virus protein with function beneficial for the host	VOG00071	sp|Q03307|US20_HCMVT Transmembrane protein HWLF3	
Virus replication	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease	
Function unknown	VOG00073	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246	
Function unknown	VOG00074	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase	
Function unknown	VOG00076	REFSEQ hypothetical protein	
Function unknown	VOG00077	REFSEQ hypothetical protein	
Function unknown	VOG00078	sp|O55709|069L_IIV6 Putative Bro-N domain-containing protein 069L	
Virus structure	VOG00079	sp|P85991|IGLVP_BPSK9 Ig-like virion protein	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00080	sp|O48446|HCP16_BPSPP Head completion protein gp16	
Function unknown	VOG00081	sp|Q5UP86|YL012_MIMIV Uncharacterized protein L12	
Virus protein with function beneficial for the host | Virus replication	VOG00082	sp|O48500|DUT_BPT5 Deoxyuridine 5'-triphosphate nucleotidohydrolase	
Virus protein with function beneficial for the host	VOG00083	sp|Q5UPR0|YL768_MIMIV Putative ankyrin repeat protein L768	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00084	sp|P03271|PKG1_ADE05 Packaging protein 1	
Function unknown	VOG00085	REFSEQ hypothetical protein	
Function unknown	VOG00086	sp|P15075|HDNUC_BPT4 Head completion nuclease	
Function unknown	VOG00087	REFSEQ tail fiber protein	
Function unknown	VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00089	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase	
Function unknown	VOG00090	REFSEQ holin	
Function unknown	VOG00091	REFSEQ tail assembly chaperone	
Function unknown	VOG00092	REFSEQ hypothetical protein	
Function unknown	VOG00093	sp|P69175|NING_BPVT2 Protein ninG	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00094	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16	
Function unknown	VOG00095	REFSEQ nucleotidyltransferase	
Function unknown	VOG00096	sp|O64216|VG22_BPMD2 Gene 22 protein	
