	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001312.1_1	QGNH01001312.1	QGNH01001312.1	1	3	1589	-1	E													0	False	F
QGNH01001312.1_2	QGNH01001312.1	QGNH01001312.1	2	1684	2643	-1	E													0	False	F
QGNH01001312.1_3	QGNH01001312.1	QGNH01001312.1	3	2640	3638	-1	E													0	False	F
QGNH01001312.1_4	QGNH01001312.1	QGNH01001312.1	4	3679	4980	-1	E													0	False	F
QGNH01001312.1_5	QGNH01001312.1	QGNH01001312.1	5	4991	6580	-1	E													0	False	F
QGNH01001312.1_6	QGNH01001312.1	QGNH01001312.1	6	6580	8403	-1	E													0	False	
QGNH01001312.1_7	QGNH01001312.1	QGNH01001312.1	7	8414	9238	-1	E													0	False	
QGNH01001312.1_8	QGNH01001312.1	QGNH01001312.1	8	9235	9762	-1	E													0	False	
QGNH01001312.1_9	QGNH01001312.1	QGNH01001312.1	9	9759	10454	-1	E													0	False	
QGNH01001312.1_10	QGNH01001312.1	QGNH01001312.1	10	10461	11204	-1	E													0	False	
QGNH01001312.1_11	QGNH01001312.1	QGNH01001312.1	11	11206	12783	-1	E													0	False	
QGNH01001312.1_12	QGNH01001312.1	QGNH01001312.1	12	12917	13255	-1	E													0	False	
QGNH01001312.1_13	QGNH01001312.1	QGNH01001312.1	13	13278	13817	-1	E													0	False	
QGNH01001312.1_14	QGNH01001312.1	QGNH01001312.1	14	13851	14336	-1	D			YP_009787958.1	YP_009787958.1 endonuclease VII [Pectobacterium phage PP74]	False	0.546	95.0	9.204e-22	Recombination endonuclease VII [PF02945.18]	VOG00650	sp|O64250|VG59_BPMD2 Gene 59 protein; Xu	Xu	0	False	
QGNH01001312.1_15	QGNH01001312.1	QGNH01001312.1	15	14377	16251	-1	D									Protein of unknown function (DUF2586) [PF10758.12]				0	False	
QGNH01001312.1_16	QGNH01001312.1	QGNH01001312.1	16	16255	16563	-1	E													0	False	
QGNH01001312.1_17	QGNH01001312.1	QGNH01001312.1	17	16560	17072	-1	E													0	False	
QGNH01001312.1_18	QGNH01001312.1	QGNH01001312.1	18	17072	17521	-1	D									Phage virion morphogenesis family [PF05069.16]				0	False	
QGNH01001312.1_19	QGNH01001312.1	QGNH01001312.1	19	17518	18468	-1	D									Bacteriophage Mu, Gp36 [PF07030.15]				0	False	
QGNH01001312.1_20	QGNH01001312.1	QGNH01001312.1	20	18465	18599	-1	E													0	False	
QGNH01001312.1_21	QGNH01001312.1	QGNH01001312.1	21	18685	19134	-1	E													0	False	
QGNH01001312.1_22	QGNH01001312.1	QGNH01001312.1	22	19255	20232	-1	D			YP_009797329.1	YP_009797329.1 major head protein [Faecalibacterium phage FP_Mushu]	False	0.299	140.0	7.034e-35	Mu-like prophage major head subunit gpT [PF10124.12]	VOG04241	sp|Q9T1W1|CAPSD_BPMU Major capsid protein; XhXs	Xh;Xs	0	False	V
QGNH01001312.1_23	QGNH01001312.1	QGNH01001312.1	23	20321	20878	-1	E										VOG03879	REFSEQ virion structural protein; Xu	Xu	0	False	
QGNH01001312.1_24	QGNH01001312.1	QGNH01001312.1	24	21161	22804	-1	D			YP_009226541.1	YP_009226541.1 head maturation protease [Ralstonia phage RS138]	False	0.364	94.0	1.523e-18	Mu-like prophage I protein [PF10123.12]	VOG01958	sp|Q01267|PRO_BPMU Protease I; XhXs	Xh;Xs	0	False	V
QGNH01001312.1_25	QGNH01001312.1	QGNH01001312.1	25	22801	23064	-1	E													0	False	
QGNH01001312.1_26	QGNH01001312.1	QGNH01001312.1	26	23097	24821	-1	D			YP_010099255.1	YP_010099255.1 head morphogenesis [Gordonia phage Fosterous]	False	0.231	97.0	1.825e-19	Intein splicing domain [PF14890.9]; Phage Mu protein F like protein [PF04233.17]	VOG14588	REFSEQ head protein; Xu	Xu	0	False	
QGNH01001312.1_27	QGNH01001312.1	QGNH01001312.1	27	25001	25228	-1	E													0	False	
QGNH01001312.1_28	QGNH01001312.1	QGNH01001312.1	28	25578	25820	-1	E													0	False	
QGNH01001312.1_29	QGNH01001312.1	QGNH01001312.1	29	25817	26350	-1	E													0	False	
QGNH01001312.1_30	QGNH01001312.1	QGNH01001312.1	30	26373	28394	-1	D									Protein of unknown function (DUF935) [PF06074.15]				0	False	
QGNH01001312.1_31	QGNH01001312.1	QGNH01001312.1	31	28391	28651	-1	E													0	False	
QGNH01001312.1_32	QGNH01001312.1	QGNH01001312.1	32	29499	29759	1	E													0	False	
QGNH01001312.1_33	QGNH01001312.1	QGNH01001312.1	33	29765	30985	-1	D			YP_009593385.1	YP_009593385.1 terminase large subunit [Acinetobacter phage YMC11/11/R3177]	False	0.324	197.0	5.4909999999999995e-53	Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	V
QGNH01001312.1_34	QGNH01001312.1	QGNH01001312.1	34	31143	31664	-1	E													0	False	
QGNH01001312.1_35	QGNH01001312.1	QGNH01001312.1	35	31689	32864	-1	D			YP_009147004.1	YP_009147004.1 DNA methyltransferase [Aurantimonas phage AmM-1]	False	0.377	271.0	1.546e-78	DNA methylase [PF01555.21]; ParB/Sulfiredoxin domain [PF02195.21]	VOG00306	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I; XhXp	Xh;Xp	0	False	
QGNH01001312.1_36	QGNH01001312.1	QGNH01001312.1	36	32861	33082	-1	E													0	False	
QGNH01001312.1_37	QGNH01001312.1	QGNH01001312.1	37	33262	34689	-1	D			YP_009217081.1	YP_009217081.1 MAG: DNA helicase [Phormidium phage MIS-PhV1B]	False	0.278	158.0	3.54e-39	Virulence-associated protein E [PF05272.14]				0	False	
QGNH01001312.1_38	QGNH01001312.1	QGNH01001312.1	38	34871	35230	-1	D									VRR-NUC domain [PF08774.14]	VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	
QGNH01001312.1_39	QGNH01001312.1	QGNH01001312.1	39	35227	35430	-1	E													0	False	
QGNH01001312.1_40	QGNH01001312.1	QGNH01001312.1	40	35427	36833	-1	C	K19789	DNA repair protein RadD	YP_008873210.1	YP_008873210.1 DEAD/DEAH box helicase [Pseudomonas phage PPpW-3]	False	0.348	238.0	3.0119999999999995e-66	Type III restriction enzyme, res subunit [PF04851.18]; DEAD/DEAH box helicase [PF00270.32]; SWI2/SNF2 ATPase [PF18766.4]; AAA domain [PF13604.9]; Uncharacterised protein family UPF0547 [PF10571.12]	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	F
QGNH01001312.1_41	QGNH01001312.1	QGNH01001312.1	41	36833	37030	-1	E													0	False	F
QGNH01001312.1_42	QGNH01001312.1	QGNH01001312.1	42	37030	37293	-1	E													0	False	F
QGNH01001312.1_43	QGNH01001312.1	QGNH01001312.1	43	37516	37737	-1	E													0	False	F
QGNH01001312.1_44	QGNH01001312.1	QGNH01001312.1	44	37734	37976	-1	E													0	False	F
QGNH01001312.1_45	QGNH01001312.1	QGNH01001312.1	45	37969	38199	-1	E													0	False	F
QGNH01001312.1_46	QGNH01001312.1	QGNH01001312.1	46	38196	38543	-1	E													0	False	F
QGNH01001312.1_47	QGNH01001312.1	QGNH01001312.1	47	38616	38927	-1	E													0	False	F
QGNH01001312.1_48	QGNH01001312.1	QGNH01001312.1	48	38924	40195	-1	E													0	False	F
QGNH01001312.1_49	QGNH01001312.1	QGNH01001312.1	49	40192	40746	-1	E													0	False	F
QGNH01001312.1_50	QGNH01001312.1	QGNH01001312.1	50	40710	40919	-1	D									MT-A70 [PF05063.17]				0	False	F
