	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
AF301375_AF301375.1_1	AF301375	AF301375.1	1	1	105	1	E											0
AF301375_AF301375.1_2	AF301375	AF301375.1	2	117	1265	1	C	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]								DNA / pantothenate metabolism flavoprotein [PF04127.18]; Flavoprotein [PF02441.22]	0
AF301375_AF301375.1_3	AF301375	AF301375.1	3	1557	2786	1	D										Phage integrase family [PF00589.25]	0
AF301375_AF301375.1_4	AF301375	AF301375.1	4	3031	3207	-1	E											0
AF301375_AF301375.1_5	AF301375	AF301375.1	5	3339	3791	1	E											0
AF301375_AF301375.1_6	AF301375	AF301375.1	6	3792	3932	1	E											0
AF301375_AF301375.1_7	AF301375	AF301375.1	7	3926	4048	1	E											0
AF301375_AF301375.1_8	AF301375	AF301375.1	8	4091	4615	1	E											0
AF301375_AF301375.1_9	AF301375	AF301375.1	9	4615	4800	1	E											0
AF301375_AF301375.1_10	AF301375	AF301375.1	10	4800	5267	1	E											0
AF301375_AF301375.1_11	AF301375	AF301375.1	11	5264	5401	1	E											0
AF301375_AF301375.1_12	AF301375	AF301375.1	12	5356	5598	1	E											0
AF301375_AF301375.1_13	AF301375	AF301375.1	13	5601	5834	1	E											0
AF301375_AF301375.1_14	AF301375	AF301375.1	14	5837	6121	1	E											0
AF301375_AF301375.1_15	AF301375	AF301375.1	15	6118	6582	1	E											0
AF301375_AF301375.1_16	AF301375	AF301375.1	16	7093	7848	1	E											0
AF301375_AF301375.1_17	AF301375	AF301375.1	17	7898	8221	1	E											0
AF301375_AF301375.1_18	AF301375	AF301375.1	18	8233	9711	1	E											0
AF301375_AF301375.1_19	AF301375	AF301375.1	19	9689	10078	1	D										ASCH domain [PF04266.17]	0
AF301375_AF301375.1_20	AF301375	AF301375.1	20	10178	10513	1	E											0
AF301375_AF301375.1_21	AF301375	AF301375.1	21	10510	10728	1	E											0
AF301375_AF301375.1_22	AF301375	AF301375.1	22	10950	11174	1	E											0
AF301375_AF301375.1_23	AF301375	AF301375.1	23	11215	11736	1	E											0
AF301375_AF301375.1_24	AF301375	AF301375.1	24	11693	13084	1	C	K06909	phage terminase large subunit								Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]	0
AF301375_AF301375.1_25	AF301375	AF301375.1	25	13077	14699	1	D										Phage portal protein [PF04860.15]	0
AF301375_AF301375.1_26	AF301375	AF301375.1	26	14837	15445	1	E											0
AF301375_AF301375.1_27	AF301375	AF301375.1	27	15516	16736	1	D										Putative phage serine protease XkdF [PF14550.9]	0
AF301375_AF301375.1_28	AF301375	AF301375.1	28	16751	17695	1	E											0
AF301375_AF301375.1_29	AF301375	AF301375.1	29	17767	18087	1	E											0
AF301375_AF301375.1_30	AF301375	AF301375.1	30	18104	18415	1	E											0
AF301375_AF301375.1_31	AF301375	AF301375.1	31	18412	18822	1	E											0
AF301375_AF301375.1_32	AF301375	AF301375.1	32	18819	19223	1	E											0
AF301375_AF301375.1_33	AF301375	AF301375.1	33	19229	19936	1	E											0
AF301375_AF301375.1_34	AF301375	AF301375.1	34	20008	20499	1	E											0
AF301375_AF301375.1_35	AF301375	AF301375.1	35	20529	20684	1	E											0
AF301375_AF301375.1_36	AF301375	AF301375.1	36	20698	21129	-1	E											0
AF301375_AF301375.1_37	AF301375	AF301375.1	37	21192	24665	1	D										Phage-related minor tail protein [PF10145.12]	0
AF301375_AF301375.1_38	AF301375	AF301375.1	38	24662	25096	1	E											0
AF301375_AF301375.1_39	AF301375	AF301375.1	39	25101	25886	1	E											0
AF301375_AF301375.1_40	AF301375	AF301375.1	40	25883	26581	1	E											0
AF301375_AF301375.1_41	AF301375	AF301375.1	41	26583	27614	1	E											0
AF301375_AF301375.1_42	AF301375	AF301375.1	42	27657	27806	1	E											0
AF301375_AF301375.1_43	AF301375	AF301375.1	43	27856	28425	1	E											0
AF301375_AF301375.1_44	AF301375	AF301375.1	44	28422	29144	1	E											0
AF301375_AF301375.1_45	AF301375	AF301375.1	45	29293	30147	1	D			MER0019308	C71	MER0019308 - pseudomurein endoisopeptidase Pei () [C71.001]#C71#{peptidase unit: 138-283}~source AAG39976~	False	328.0	7.412e-100	1.0	Pseudomurein endo-isopeptidase Pei [PF12386.11]; Pseudomurein-binding repeat [PF09373.13]	0
AF301375_AF301375.1_46	AF301375	AF301375.1	46	30333	31007	-1	C	K04795	fibrillarin-like pre-rRNA processing protein								Fibrillarin [PF01269.20]	0
