	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000261.1_1	QGNH01000261.1	QGNH01000261.1	1	1	357	-1	E													0	False	F
QGNH01000261.1_2	QGNH01000261.1	QGNH01000261.1	2	370	2370	-1	E													0	False	F
QGNH01000261.1_3	QGNH01000261.1	QGNH01000261.1	3	2481	3254	-1	E													0	False	F
QGNH01000261.1_4	QGNH01000261.1	QGNH01000261.1	4	3264	3806	-1	E													0	False	F
QGNH01000261.1_5	QGNH01000261.1	QGNH01000261.1	5	3854	4393	-1	E													0	False	F
QGNH01000261.1_6	QGNH01000261.1	QGNH01000261.1	6	4447	5670	-1	E													0	False	F
QGNH01000261.1_7	QGNH01000261.1	QGNH01000261.1	7	5692	6891	-1	E													0	False	
QGNH01000261.1_8	QGNH01000261.1	QGNH01000261.1	8	6929	7570	-1	E													0	False	
QGNH01000261.1_9	QGNH01000261.1	QGNH01000261.1	9	7567	7851	-1	E													0	False	
QGNH01000261.1_10	QGNH01000261.1	QGNH01000261.1	10	7851	8177	-1	E													0	False	
QGNH01000261.1_11	QGNH01000261.1	QGNH01000261.1	11	8161	8496	-1	E													0	False	
QGNH01000261.1_12	QGNH01000261.1	QGNH01000261.1	12	8483	8833	-1	E													0	False	
QGNH01000261.1_13	QGNH01000261.1	QGNH01000261.1	13	8830	10680	-1	E													0	False	
QGNH01000261.1_14	QGNH01000261.1	QGNH01000261.1	14	10796	11002	-1	E													0	False	
QGNH01000261.1_15	QGNH01000261.1	QGNH01000261.1	15	11015	11305	-1	E													0	False	
QGNH01000261.1_16	QGNH01000261.1	QGNH01000261.1	16	11306	11896	-1	E													0	False	F
QGNH01000261.1_17	QGNH01000261.1	QGNH01000261.1	17	11859	12170	-1	E													0	False	F
QGNH01000261.1_18	QGNH01000261.1	QGNH01000261.1	18	12170	13636	-1	C	K06909	phage terminase large subunit	YP_009612455.1	YP_009612455.1 terminase large subunit [Arthrobacter phage Shade]	False	181.0	6.660999999999999e-47	0.277	Phage terminase large subunit [PF04466.16]	VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01000261.1_19	QGNH01000261.1	QGNH01000261.1	19	13986	14408	-1	E													0	False	F
QGNH01000261.1_20	QGNH01000261.1	QGNH01000261.1	20	15032	15214	1	E													0	False	F
QGNH01000261.1_21	QGNH01000261.1	QGNH01000261.1	21	15233	15442	1	E													0	False	F
QGNH01000261.1_22	QGNH01000261.1	QGNH01000261.1	22	15407	15871	-1	E													0	False	F
QGNH01000261.1_23	QGNH01000261.1	QGNH01000261.1	23	15918	16136	1	E													0	False	F
QGNH01000261.1_24	QGNH01000261.1	QGNH01000261.1	24	16138	16632	1	E													0	False	F
