	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001807.1_1	QGNH01001807.1	QGNH01001807.1	1	3	218	-1	E					0	False	F
QGNH01001807.1_2	QGNH01001807.1	QGNH01001807.1	2	223	1356	-1	E					0	False	F
QGNH01001807.1_3	QGNH01001807.1	QGNH01001807.1	3	1371	2219	-1	E					0	False	F
QGNH01001807.1_4	QGNH01001807.1	QGNH01001807.1	4	2185	2583	-1	E					0	False	F
QGNH01001807.1_5	QGNH01001807.1	QGNH01001807.1	5	2696	3001	-1	E					0	False	F
QGNH01001807.1_6	QGNH01001807.1	QGNH01001807.1	6	2964	3146	-1	E					0	False	F
QGNH01001807.1_7	QGNH01001807.1	QGNH01001807.1	7	3112	3345	-1	E					0	False	F
QGNH01001807.1_8	QGNH01001807.1	QGNH01001807.1	8	4937	5356	1	E					0	False	F
QGNH01001807.1_9	QGNH01001807.1	QGNH01001807.1	9	5991	6152	1	E					0	False	F
QGNH01001807.1_10	QGNH01001807.1	QGNH01001807.1	10	6157	6444	1	E					0	False	F
QGNH01001807.1_11	QGNH01001807.1	QGNH01001807.1	11	6441	6791	1	E					0	False	F
QGNH01001807.1_12	QGNH01001807.1	QGNH01001807.1	12	6803	7357	1	E					0	False	F
QGNH01001807.1_13	QGNH01001807.1	QGNH01001807.1	13	7372	7695	1	E					0	False	F
QGNH01001807.1_14	QGNH01001807.1	QGNH01001807.1	14	7822	8136	1	E					0	False	F
QGNH01001807.1_15	QGNH01001807.1	QGNH01001807.1	15	8142	8345	1	E					0	False	F
QGNH01001807.1_16	QGNH01001807.1	QGNH01001807.1	16	8627	9250	1	E					0	False	F
QGNH01001807.1_17	QGNH01001807.1	QGNH01001807.1	17	9269	9478	1	E					0	False	F
QGNH01001807.1_18	QGNH01001807.1	QGNH01001807.1	18	9480	9779	1	E					0	False	F
QGNH01001807.1_19	QGNH01001807.1	QGNH01001807.1	19	10587	10877	1	E					0	False	F
