	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001060.1_1	QGNH01001060.1	QGNH01001060.1	1	1	207	-1	E											0	False	F
QGNH01001060.1_2	QGNH01001060.1	QGNH01001060.1	2	237	989	-1	E											0	False	F
QGNH01001060.1_3	QGNH01001060.1	QGNH01001060.1	3	1961	2209	1	E											0	False	F
QGNH01001060.1_4	QGNH01001060.1	QGNH01001060.1	4	2278	2586	-1	E											0	False	F
QGNH01001060.1_5	QGNH01001060.1	QGNH01001060.1	5	2599	2796	-1	E											0	False	F
QGNH01001060.1_6	QGNH01001060.1	QGNH01001060.1	6	3072	3455	-1	E											0	False	F
QGNH01001060.1_7	QGNH01001060.1	QGNH01001060.1	7	3858	3998	-1	E											0	False	F
QGNH01001060.1_8	QGNH01001060.1	QGNH01001060.1	8	4105	4449	-1	E											0	False	F
QGNH01001060.1_9	QGNH01001060.1	QGNH01001060.1	9	4531	4836	-1	E											0	False	F
QGNH01001060.1_10	QGNH01001060.1	QGNH01001060.1	10	4841	5302	-1	E											0	False	F
QGNH01001060.1_11	QGNH01001060.1	QGNH01001060.1	11	5583	6167	1	E											0	False	F
QGNH01001060.1_12	QGNH01001060.1	QGNH01001060.1	12	6264	7787	1	D	YP_009030553.1	YP_009030553.1 terminase large subunit [Pseudomonas phage KPP25]	False	184.0	1.215e-47	0.283	Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001060.1_13	QGNH01001060.1	QGNH01001060.1	13	7784	9886	1	E											0	False	F
QGNH01001060.1_14	QGNH01001060.1	QGNH01001060.1	14	10095	10814	1	E											0	False	F
