	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054996_NC_054996_1	NC_054996	NC_054996	1	253	423	-1	E								0
NC_054996_NC_054996_2	NC_054996	NC_054996	2	424	798	-1	E								0
NC_054996_NC_054996_3	NC_054996	NC_054996	3	819	1121	-1	E								0
NC_054996_NC_054996_4	NC_054996	NC_054996	4	1114	1437	-1	E								0
NC_054996_NC_054996_5	NC_054996	NC_054996	5	1438	1938	-1	E								0
NC_054996_NC_054996_6	NC_054996	NC_054996	6	1935	2099	-1	E								0
NC_054996_NC_054996_7	NC_054996	NC_054996	7	2112	2483	-1	D			Lactococcus phage single-stranded DNA binding protein [PF16773.8]					0
NC_054996_NC_054996_8	NC_054996	NC_054996	8	2549	3088	-1	D			ERF superfamily [PF04404.15]					0
NC_054996_NC_054996_9	NC_054996	NC_054996	9	3088	3240	-1	E								0
NC_054996_NC_054996_10	NC_054996	NC_054996	10	3309	3512	-1	E								0
NC_054996_NC_054996_11	NC_054996	NC_054996	11	3512	3757	-1	E								0
NC_054996_NC_054996_12	NC_054996	NC_054996	12	3738	3911	-1	E								0
NC_054996_NC_054996_13	NC_054996	NC_054996	13	3904	4254	-1	E								0
NC_054996_NC_054996_14	NC_054996	NC_054996	14	4254	4427	-1	E								0
NC_054996_NC_054996_15	NC_054996	NC_054996	15	4484	4873	-1	E								0
NC_054996_NC_054996_16	NC_054996	NC_054996	16	4873	5253	-1	E								0
NC_054996_NC_054996_17	NC_054996	NC_054996	17	5325	6224	-1	D			AAA domain [PF13481.9]					0
NC_054996_NC_054996_18	NC_054996	NC_054996	18	6226	6426	-1	E								0
NC_054996_NC_054996_19	NC_054996	NC_054996	19	6413	6568	-1	E								0
NC_054996_NC_054996_20	NC_054996	NC_054996	20	7180	7329	1	E								0
NC_054996_NC_054996_21	NC_054996	NC_054996	21	7340	7825	1	D			Lactococcus phage M3 protein [PF07066.14]					0
NC_054996_NC_054996_22	NC_054996	NC_054996	22	7879	8574	1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_054996_NC_054996_23	NC_054996	NC_054996	23	8585	9424	1	E								0
NC_054996_NC_054996_24	NC_054996	NC_054996	24	9375	10808	1	C	K06904	uncharacterized protein	Lactococcus lactis bacteriophage major capsid protein [PF06673.14]					0
NC_054996_NC_054996_25	NC_054996	NC_054996	25	10836	11540	1	E								0
NC_054996_NC_054996_26	NC_054996	NC_054996	26	11558	12175	1	D			Phage tail tube protein [PF06488.14]					0
NC_054996_NC_054996_27	NC_054996	NC_054996	27	12246	12500	1	E								0
NC_054996_NC_054996_28	NC_054996	NC_054996	28	12688	13092	1	E								0
NC_054996_NC_054996_29	NC_054996	NC_054996	29	13085	15205	1	D			Tape measure protein [PF20155.2]					0
NC_054996_NC_054996_30	NC_054996	NC_054996	30	15202	15489	1	E								1
NC_054996_NC_054996_31	NC_054996	NC_054996	31	15502	17058	1	D			Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					0
NC_054996_NC_054996_32	NC_054996	NC_054996	32	17058	17357	1	E								0
NC_054996_NC_054996_33	NC_054996	NC_054996	33	17350	19236	1	E								0
NC_054996_NC_054996_34	NC_054996	NC_054996	34	19238	20323	1	E								0
NC_054996_NC_054996_35	NC_054996	NC_054996	35	20316	21509	1	E								0
NC_054996_NC_054996_36	NC_054996	NC_054996	36	21529	21822	1	E								0
