	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001717.1_1	QGNH01001717.1	QGNH01001717.1	1	2	316	-1	E											0	False	F
QGNH01001717.1_2	QGNH01001717.1	QGNH01001717.1	2	316	834	-1	E	YP_512271.1	YP_512271.1 internal virion protein [Escherichia phage phiV10]	False	0.311	71.0	2.474e-13		VOG01668	REFSEQ internal virion protein; Xu	Xu	0	False	F
QGNH01001717.1_3	QGNH01001717.1	QGNH01001717.1	3	836	1177	-1	E											0	False	F
QGNH01001717.1_4	QGNH01001717.1	QGNH01001717.1	4	1174	1413	-1	E											0	False	F
QGNH01001717.1_5	QGNH01001717.1	QGNH01001717.1	5	1456	2787	-1	E											0	False	F
QGNH01001717.1_6	QGNH01001717.1	QGNH01001717.1	6	2784	3245	-1	D	YP_007001986.1	YP_007001986.1 internal virion protein [Escherichia phage TL-2011b]	False	0.432	108.0	2.1300000000000003e-26	Bacteriophage T7, probable scaffold protein Gp13 [PF11090.11]	VOG01323	sp|P03723|GP13_BPT7 Probable scaffold protein gp13; Xu	Xu	0	False	F
QGNH01001717.1_7	QGNH01001717.1	QGNH01001717.1	7	3232	3450	-1	E											0	False	F
QGNH01001717.1_8	QGNH01001717.1	QGNH01001717.1	8	3451	5895	-1	E	YP_009287745.1	YP_009287745.1 tail protein [Enterobacter phage Tyrion]	True	0.381	523.0	2.317e-158		VOG02059	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12; XpXrXs	Xp;Xs;Xr	0	False	VF
QGNH01001717.1_9	QGNH01001717.1	QGNH01001717.1	9	5897	6508	-1	E	YP_010660692.1	YP_010660692.1 tail protein [Pseudomonas phage UFJF_PfDIW6]	False	0.312	98.0	5.962999999999999e-22					0	False	
QGNH01001717.1_10	QGNH01001717.1	QGNH01001717.1	10	6505	6762	-1	E											0	False	
QGNH01001717.1_11	QGNH01001717.1	QGNH01001717.1	11	6827	7306	-1	E	YP_009007075.1	YP_009007075.1 Hypothetical Protein CF86_gp08 [Pseudomonas phage vB_PaeP_Tr60_Ab31]	False	0.287	69.0	1.073e-12					0	False	
QGNH01001717.1_12	QGNH01001717.1	QGNH01001717.1	12	7331	8380	-1	E	YP_007001980.1	YP_007001980.1 major head protein [Escherichia phage TL-2011b]	False	0.47	300.0	2.823e-89		VOG02257	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01001717.1_13	QGNH01001717.1	QGNH01001717.1	13	8429	8812	-1	E											0	False	F
QGNH01001717.1_14	QGNH01001717.1	QGNH01001717.1	14	8822	9532	-1	E	YP_516220.1	YP_516220.1 hypothetical protein SGPHI_0042 [Sodalis phage phiSG1]	False	0.499	123.0	3.96e-30		VOG10710	REFSEQ protease; Xu	Xu	0	False	F
QGNH01001717.1_15	QGNH01001717.1	QGNH01001717.1	15	9850	11553	-1	D	YP_007001977.1	YP_007001977.1 head-tail adaptor [Escherichia phage TL-2011b]	True	0.456	450.0	3.845e-137	Bacteriophage head to tail connecting protein [PF12236.11]	VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xp;Xs;Xr	0	False	VF
QGNH01001717.1_16	QGNH01001717.1	QGNH01001717.1	16	11557	11760	-1	E											0	False	F
QGNH01001717.1_17	QGNH01001717.1	QGNH01001717.1	17	11763	12770	-1	E	YP_007001973.1	YP_007001973.1 putative phage terminase, large subunit [Escherichia phage TL-2011b]	False	0.527	331.0	3.795e-100					0	False	F
