	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000746.1_1	QGNH01000746.1	QGNH01000746.1	1	151	651	1	E																		0	False	F
QGNH01000746.1_2	QGNH01000746.1	QGNH01000746.1	2	664	1074	1	E																		0	False	F
QGNH01000746.1_3	QGNH01000746.1	QGNH01000746.1	3	1078	1515	1	E																		0	False	F
QGNH01000746.1_4	QGNH01000746.1	QGNH01000746.1	4	1512	1925	1	D	YP_010359327.1	YP_010359327.1 transpeptidase catalytic domain [uncultured phage cr77_1]	False	0.504	134.0	1.381e-35								Family of unknown function (DUF5675) [PF18925.3]	VOG03732	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000746.1_5	QGNH01000746.1	QGNH01000746.1	5	1994	2113	-1	E																		0	False	F
QGNH01000746.1_6	QGNH01000746.1	QGNH01000746.1	6	2115	2306	-1	E																		0	False	F
QGNH01000746.1_7	QGNH01000746.1	QGNH01000746.1	7	2303	2482	-1	E																		0	False	F
QGNH01000746.1_8	QGNH01000746.1	QGNH01000746.1	8	2502	3464	-1	D	YP_009834212.1	YP_009834212.1 ribonucleotide reductase [Lentibacter phage vB_LenP_ICBM2]	True	0.671	415.0	1.661e-129								Ribonucleotide reductase, barrel domain [PF02867.18]				0	False	MKEF
QGNH01000746.1_9	QGNH01000746.1	QGNH01000746.1	9	3454	3825	-1	D														Recombination endonuclease VII [PF02945.18]	VOG00650	sp|O64250|VG59_BPMD2 Gene 59 protein; Xu	Xu	0	False	F
QGNH01000746.1_10	QGNH01000746.1	QGNH01000746.1	10	3818	4888	-1	D	YP_010719527.1	YP_010719527.1 adenosylcobalamin-dependent ribonucleoside-triphosphate reductase [Pseudomonas phage JG054]	True	0.673	422.0	3.768e-131								Ribonucleotide reductase alpha domain [PF17975.4]				0	False	F
QGNH01000746.1_11	QGNH01000746.1	QGNH01000746.1	11	4866	5045	-1	E																		0	False	F
QGNH01000746.1_12	QGNH01000746.1	QGNH01000746.1	12	5020	5175	-1	E																		0	False	
QGNH01000746.1_13	QGNH01000746.1	QGNH01000746.1	13	5175	5603	-1	E																		0	False	
QGNH01000746.1_14	QGNH01000746.1	QGNH01000746.1	14	5603	5770	-1	E																		0	False	
QGNH01000746.1_15	QGNH01000746.1	QGNH01000746.1	15	5754	6038	-1	E																		0	False	
QGNH01000746.1_16	QGNH01000746.1	QGNH01000746.1	16	6038	6775	-1	D	YP_009609850.1	YP_009609850.1 DNA polymerase exonuclease subunit [Acidovorax phage ACP17]	False	0.61	286.0	3.121e-86								RNase_H superfamily [PF13482.9]	VOG01302	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase; XhXr	Xh;Xr	0	False	V
QGNH01000746.1_17	QGNH01000746.1	QGNH01000746.1	17	6772	7059	-1	E	YP_009849906.1	YP_009849906.1 nucleoside triphosphate pyrophosphohydrolase [Panteoa phage Kyle]	False	0.402	66.0	6.725e-13									VOG00558	REFSEQ nucleoside triphosphate pyrophosphohydrolase; Xu	Xu	0	False	
QGNH01000746.1_18	QGNH01000746.1	QGNH01000746.1	18	7056	7283	-1	E																		0	False	
QGNH01000746.1_19	QGNH01000746.1	QGNH01000746.1	19	7484	8320	-1	D	YP_009834207.1	YP_009834207.1 exonuclease [Lentibacter phage vB_LenP_ICBM2]	False	0.364	133.0	4.67e-33								5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.23]	VOG07202	sp|P13319|RNH_BPT4 Ribonuclease H; Xr	Xr	0	False	V
QGNH01000746.1_20	QGNH01000746.1	QGNH01000746.1	20	8321	8530	-1	E																		0	False	
QGNH01000746.1_21	QGNH01000746.1	QGNH01000746.1	21	8527	9042	-1	E																		0	False	
QGNH01000746.1_22	QGNH01000746.1	QGNH01000746.1	22	9042	9200	-1	E																		0	False	
QGNH01000746.1_23	QGNH01000746.1	QGNH01000746.1	23	9230	9958	-1	D	YP_008320274.1	YP_008320274.1 DNA polymerase [Puniceispirillum phage HMO-2011]	False	0.298	107.0	1.155e-24								DNA polymerase family A [PF00476.23]	VOG01301	sp|P0A551|DPO1_MYCBO DNA polymerase I; XhXr	Xh;Xr	0	False	V
QGNH01000746.1_24	QGNH01000746.1	QGNH01000746.1	24	9949	10602	-1	D	YP_009056262.1	YP_009056262.1 DNA polymerase [Vibrio phage ICP2_2013_A_Haiti]	False	0.283	89.0	8.249e-19								DNA polymerase family A [PF00476.23]				0	False	
QGNH01000746.1_25	QGNH01000746.1	QGNH01000746.1	25	10703	10933	-1	E																		0	False	
