	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000339.1_1	QGNH01000339.1	QGNH01000339.1	1	234	551	-1	E					0	False	F
QGNH01000339.1_2	QGNH01000339.1	QGNH01000339.1	2	548	895	-1	E					0	False	F
QGNH01000339.1_3	QGNH01000339.1	QGNH01000339.1	3	892	1332	-1	E					0	False	F
QGNH01000339.1_4	QGNH01000339.1	QGNH01000339.1	4	1299	1427	-1	E					0	False	F
QGNH01000339.1_5	QGNH01000339.1	QGNH01000339.1	5	1427	1750	-1	E					0	False	F
QGNH01000339.1_6	QGNH01000339.1	QGNH01000339.1	6	1750	2214	-1	E					0	False	F
QGNH01000339.1_7	QGNH01000339.1	QGNH01000339.1	7	2187	2489	-1	E					0	False	F
QGNH01000339.1_8	QGNH01000339.1	QGNH01000339.1	8	2612	2872	-1	E					0	False	F
QGNH01000339.1_9	QGNH01000339.1	QGNH01000339.1	9	3003	3302	-1	E					0	False	F
QGNH01000339.1_10	QGNH01000339.1	QGNH01000339.1	10	3316	3672	-1	E					0	False	F
QGNH01000339.1_11	QGNH01000339.1	QGNH01000339.1	11	3701	4159	-1	D	Family of unknown function (DUF5662) [PF18907.3]				0	False	F
QGNH01000339.1_12	QGNH01000339.1	QGNH01000339.1	12	4224	5018	-1	E					0	False	F
QGNH01000339.1_13	QGNH01000339.1	QGNH01000339.1	13	5015	7105	-1	E		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000339.1_14	QGNH01000339.1	QGNH01000339.1	14	7187	7432	-1	E					0	False	F
QGNH01000339.1_15	QGNH01000339.1	QGNH01000339.1	15	7436	8335	-1	E					0	False	F
QGNH01000339.1_16	QGNH01000339.1	QGNH01000339.1	16	8545	8841	-1	E					0	False	F
QGNH01000339.1_17	QGNH01000339.1	QGNH01000339.1	17	8996	9469	-1	E					0	False	F
QGNH01000339.1_18	QGNH01000339.1	QGNH01000339.1	18	9494	9730	-1	D	Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]				0	False	F
QGNH01000339.1_19	QGNH01000339.1	QGNH01000339.1	19	9734	10060	-1	E					0	False	F
QGNH01000339.1_20	QGNH01000339.1	QGNH01000339.1	20	10139	10618	-1	E					0	False	F
QGNH01000339.1_21	QGNH01000339.1	QGNH01000339.1	21	10727	10957	-1	E					0	False	F
QGNH01000339.1_22	QGNH01000339.1	QGNH01000339.1	22	11017	11478	-1	E					0	False	F
QGNH01000339.1_23	QGNH01000339.1	QGNH01000339.1	23	11465	11680	-1	E					0	False	F
QGNH01000339.1_24	QGNH01000339.1	QGNH01000339.1	24	11677	11943	-1	E					0	False	F
