	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000585.1_1	QGNH01000585.1	QGNH01000585.1	1	1	342	1	D														Helix-turn-helix domain [PF14090.9]				0	False	F
QGNH01000585.1_2	QGNH01000585.1	QGNH01000585.1	2	339	671	1	E																		0	False	F
QGNH01000585.1_3	QGNH01000585.1	QGNH01000585.1	3	1103	1276	1	E																		0	False	F
QGNH01000585.1_4	QGNH01000585.1	QGNH01000585.1	4	1431	3191	1	D														Zonular occludens toxin (Zot) [PF05707.15]; Helicase HerA, central domain [PF01935.20]; Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]	VOG01157	sp|P27381|PKG9_BPPRD DNA packaging ATPase P9; XhXrXs	Xs;Xh;Xr	0	False	VF
QGNH01000585.1_5	QGNH01000585.1	QGNH01000585.1	5	3163	3942	-1	E																		0	False	F
QGNH01000585.1_6	QGNH01000585.1	QGNH01000585.1	6	3980	4213	-1	E																		0	False	F
QGNH01000585.1_7	QGNH01000585.1	QGNH01000585.1	7	4314	4760	1	D	YP_009837571.1	YP_009837571.1 Holliday junction resolvase [Anoxybacillus phage A403]	False	0.365	63.0	5.937e-11								Protein of unknown function (DUF1064) [PF06356.14]	VOG00381	sp|P00641|ENDO_BPT7 Endonuclease I; Xp	Xp	0	False	F
QGNH01000585.1_8	QGNH01000585.1	QGNH01000585.1	8	4779	5306	-1	E																		0	False	F
QGNH01000585.1_9	QGNH01000585.1	QGNH01000585.1	9	5386	5547	1	E																		0	False	
QGNH01000585.1_10	QGNH01000585.1	QGNH01000585.1	10	5571	5828	1	E																		0	False	
QGNH01000585.1_11	QGNH01000585.1	QGNH01000585.1	11	5857	6279	1	E																		0	False	
QGNH01000585.1_12	QGNH01000585.1	QGNH01000585.1	12	6291	6650	1	D	YP_009798695.1	YP_009798695.1 hypothetical protein HOS85_gp025 [Lactobacillus phage Maenad]	False	0.376	81.0	1.102e-17								YopX protein [PF09643.13]	VOG04684	sp|O34401|YOPX_BACSU SPbeta prophage-derived uncharacterized protein YopX; Xu	Xu	0	False	
QGNH01000585.1_13	QGNH01000585.1	QGNH01000585.1	13	6647	6748	1	E																		0	False	
QGNH01000585.1_14	QGNH01000585.1	QGNH01000585.1	14	6748	6939	1	E																		0	False	
QGNH01000585.1_15	QGNH01000585.1	QGNH01000585.1	15	6936	7154	1	E																		0	False	
QGNH01000585.1_16	QGNH01000585.1	QGNH01000585.1	16	7101	7571	-1	E																		0	False	
QGNH01000585.1_17	QGNH01000585.1	QGNH01000585.1	17	7623	8141	1	E																		0	False	
QGNH01000585.1_18	QGNH01000585.1	QGNH01000585.1	18	8110	9555	1	D	YP_007002934.1	YP_007002934.1 terminase large subunit [Haemophilus phage SuMu]	False	0.229	135.0	1.1900000000000002e-31								Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	V
QGNH01000585.1_19	QGNH01000585.1	QGNH01000585.1	19	9985	10389	1	E																		0	False	
QGNH01000585.1_20	QGNH01000585.1	QGNH01000585.1	20	10390	10695	1	D	YP_009174434.1	YP_009174434.1 putative heat shock protein 40 [Yellowstone lake phycodnavirus 3]	False	0.645	77.0	2.306e-16								DnaJ domain [PF00226.34]				0	False	
QGNH01000585.1_21	QGNH01000585.1	QGNH01000585.1	21	10696	13038	1	D	YP_009010474.1	YP_009010474.1 portal protein [Geobacillus phage GBK2]	False	0.22	167.0	1.147e-40								Phage portal protein [PF04860.15]; Phage Mu protein F like protein [PF04233.17]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xh;Xr;Xs	0	False	V
QGNH01000585.1_22	QGNH01000585.1	QGNH01000585.1	22	13077	13649	1	E																		0	False	
QGNH01000585.1_23	QGNH01000585.1	QGNH01000585.1	23	13701	17240	1	E																		0	False	
QGNH01000585.1_24	QGNH01000585.1	QGNH01000585.1	24	17275	17907	-1	E																		0	False	
QGNH01000585.1_25	QGNH01000585.1	QGNH01000585.1	25	17900	18619	-1	E																		0	False	
QGNH01000585.1_26	QGNH01000585.1	QGNH01000585.1	26	18676	18804	1	E																		0	False	
QGNH01000585.1_27	QGNH01000585.1	QGNH01000585.1	27	18801	19142	1	E																		0	False	
QGNH01000585.1_28	QGNH01000585.1	QGNH01000585.1	28	19186	19734	1	E																		0	False	
QGNH01000585.1_29	QGNH01000585.1	QGNH01000585.1	29	19756	21231	1	D							MER1087442	S78	MER1087442 - family S78 unassigned peptidases (Devosia riboflavina) [S78.UPW]#S78#{peptidase unit: 23-144}~source A0A087M3M1~	False	69.0	1.047e-10	0.344					0	False	P
QGNH01000585.1_30	QGNH01000585.1	QGNH01000585.1	30	21253	22521	1	D														Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
