	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001903.1_1	QGNH01001903.1	QGNH01001903.1	1	50	274	1	E											0	False	F
QGNH01001903.1_2	QGNH01001903.1	QGNH01001903.1	2	271	2250	1	E	YP_009797323.1	YP_009797323.1 terminase large subunit [Faecalibacterium phage FP_Mushu]	False	111.0	1.083e-23	0.22		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001903.1_3	QGNH01001903.1	QGNH01001903.1	3	2270	4375	1	E											0	False	F
QGNH01001903.1_4	QGNH01001903.1	QGNH01001903.1	4	4563	5351	1	E											0	False	F
QGNH01001903.1_5	QGNH01001903.1	QGNH01001903.1	5	5341	6180	-1	E											0	False	
QGNH01001903.1_6	QGNH01001903.1	QGNH01001903.1	6	6257	6703	1	E											0	False	
QGNH01001903.1_7	QGNH01001903.1	QGNH01001903.1	7	6762	7013	1	E											0	False	
QGNH01001903.1_8	QGNH01001903.1	QGNH01001903.1	8	7016	7549	1	E											0	False	
QGNH01001903.1_9	QGNH01001903.1	QGNH01001903.1	9	7570	8097	1	E											0	False	
QGNH01001903.1_10	QGNH01001903.1	QGNH01001903.1	10	8094	8663	1	E											0	False	
QGNH01001903.1_11	QGNH01001903.1	QGNH01001903.1	11	8683	9444	1	E											0	False	
QGNH01001903.1_12	QGNH01001903.1	QGNH01001903.1	12	9446	11317	1	E											0	False	F
QGNH01001903.1_13	QGNH01001903.1	QGNH01001903.1	13	11321	11755	1	E											0	False	F
QGNH01001903.1_14	QGNH01001903.1	QGNH01001903.1	14	11774	11935	1	E											0	False	F
QGNH01001903.1_15	QGNH01001903.1	QGNH01001903.1	15	11932	12138	-1	E											0	False	F
QGNH01001903.1_16	QGNH01001903.1	QGNH01001903.1	16	12077	13243	-1	D							O-Antigen ligase [PF04932.18]				0	False	F
QGNH01001903.1_17	QGNH01001903.1	QGNH01001903.1	17	13309	13605	1	E											0	False	F
QGNH01001903.1_18	QGNH01001903.1	QGNH01001903.1	18	13618	14295	1	E											0	False	F
QGNH01001903.1_19	QGNH01001903.1	QGNH01001903.1	19	14555	14671	1	E											0	False	F
