	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
GCA_000896815.1_JQ010983.1_1	GCA_000896815.1	JQ010983.1	1	304	990	1	E		0
GCA_000896815.1_JQ010983.1_2	GCA_000896815.1	JQ010983.1	2	1184	2917	1	D	MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]	0
GCA_000896815.1_JQ010983.1_3	GCA_000896815.1	JQ010983.1	3	2928	3173	1	E		0
GCA_000896815.1_JQ010983.1_4	GCA_000896815.1	JQ010983.1	4	3170	3436	1	E		0
GCA_000896815.1_JQ010983.1_5	GCA_000896815.1	JQ010983.1	5	3468	3716	1	E		0
GCA_000896815.1_JQ010983.1_6	GCA_000896815.1	JQ010983.1	6	3713	4111	1	E		0
GCA_000896815.1_JQ010983.1_7	GCA_000896815.1	JQ010983.1	7	4111	4635	1	E		0
GCA_000896815.1_JQ010983.1_8	GCA_000896815.1	JQ010983.1	8	4642	5205	1	E		0
GCA_000896815.1_JQ010983.1_9	GCA_000896815.1	JQ010983.1	9	5420	5773	1	E		0
GCA_000896815.1_JQ010983.1_10	GCA_000896815.1	JQ010983.1	10	5780	5989	1	E		0
GCA_000896815.1_JQ010983.1_11	GCA_000896815.1	JQ010983.1	11	5995	6159	1	E		0
GCA_000896815.1_JQ010983.1_12	GCA_000896815.1	JQ010983.1	12	6156	7112	1	D	Archaeal phage integrase [PF16795.8]	0
GCA_000896815.1_JQ010983.1_13	GCA_000896815.1	JQ010983.1	13	7291	7707	1	E		0
GCA_000896815.1_JQ010983.1_14	GCA_000896815.1	JQ010983.1	14	7704	7991	1	E		0
GCA_000896815.1_JQ010983.1_15	GCA_000896815.1	JQ010983.1	15	8284	8553	1	E		0
GCA_000896815.1_JQ010983.1_16	GCA_000896815.1	JQ010983.1	16	8599	8883	1	E		0
GCA_000896815.1_JQ010983.1_17	GCA_000896815.1	JQ010983.1	17	8876	9331	1	E		0
GCA_000896815.1_JQ010983.1_18	GCA_000896815.1	JQ010983.1	18	9334	10227	1	E		0
GCA_000896815.1_JQ010983.1_19	GCA_000896815.1	JQ010983.1	19	10224	10664	1	E		0
GCA_000896815.1_JQ010983.1_20	GCA_000896815.1	JQ010983.1	20	10661	11437	1	E		0
GCA_000896815.1_JQ010983.1_21	GCA_000896815.1	JQ010983.1	21	11437	14091	1	E		0
GCA_000896815.1_JQ010983.1_22	GCA_000896815.1	JQ010983.1	22	14048	14338	1	E		0
GCA_000896815.1_JQ010983.1_23	GCA_000896815.1	JQ010983.1	23	14339	16207	1	E		0
GCA_000896815.1_JQ010983.1_24	GCA_000896815.1	JQ010983.1	24	16209	16556	1	E		0
GCA_000896815.1_JQ010983.1_25	GCA_000896815.1	JQ010983.1	25	16556	18622	1	D	Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	0
GCA_000896815.1_JQ010983.1_26	GCA_000896815.1	JQ010983.1	26	18634	18885	1	D	Family of unknown function (DUF5771) [PF19075.3]	0
GCA_000896815.1_JQ010983.1_27	GCA_000896815.1	JQ010983.1	27	18892	19095	1	E		0
GCA_000896815.1_JQ010983.1_28	GCA_000896815.1	JQ010983.1	28	19183	19728	1	E		0
GCA_000896815.1_JQ010983.1_29	GCA_000896815.1	JQ010983.1	29	19874	20608	-1	E		0
GCA_000896815.1_JQ010983.1_30	GCA_000896815.1	JQ010983.1	30	20714	20962	-1	D	C2H2-type zinc finger [PF13894.9]	0
GCA_000896815.1_JQ010983.1_31	GCA_000896815.1	JQ010983.1	31	21033	21353	-1	D	prlF antitoxin for toxin YhaV_toxin [PF15937.8]; Antidote-toxin recognition MazE, bacterial antitoxin [PF04014.21]	0
