	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001005.1_1	QGNH01001005.1	QGNH01001005.1	1	2	616	1	E											0	False	F
QGNH01001005.1_2	QGNH01001005.1	QGNH01001005.1	2	909	1130	1	E											0	False	F
QGNH01001005.1_3	QGNH01001005.1	QGNH01001005.1	3	1493	1822	1	E											0	False	F
QGNH01001005.1_4	QGNH01001005.1	QGNH01001005.1	4	1917	3464	1	E											0	False	F
QGNH01001005.1_5	QGNH01001005.1	QGNH01001005.1	5	3464	6256	1	E	YP_009602758.1	YP_009602758.1 major tail protein [Arthrobacter phage Korra]	False	0.345	74.0	5.684e-12					0	False	F
QGNH01001005.1_6	QGNH01001005.1	QGNH01001005.1	6	6257	6943	1	E	YP_010670041.1	YP_010670041.1 HNH endonuclease [Synechococcus phage S-SRM01]	False	0.554	94.0	2.78e-20					0	False	F
QGNH01001005.1_7	QGNH01001005.1	QGNH01001005.1	7	6955	7383	1	E											0	False	F
QGNH01001005.1_8	QGNH01001005.1	QGNH01001005.1	8	7385	7897	1	E											0	False	F
QGNH01001005.1_9	QGNH01001005.1	QGNH01001005.1	9	7901	8428	1	E											0	False	F
QGNH01001005.1_10	QGNH01001005.1	QGNH01001005.1	10	8430	9641	1	E											0	False	F
QGNH01001005.1_11	QGNH01001005.1	QGNH01001005.1	11	9643	11061	1	E											0	False	F
QGNH01001005.1_12	QGNH01001005.1	QGNH01001005.1	12	11105	11263	1	E											0	False	F
QGNH01001005.1_13	QGNH01001005.1	QGNH01001005.1	13	11300	11563	1	E											0	False	F
QGNH01001005.1_14	QGNH01001005.1	QGNH01001005.1	14	11585	11848	1	E											0	False	F
