	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001667.1_1	QGNH01001667.1	QGNH01001667.1	1	223	714	1	E																				0	False	F
QGNH01001667.1_2	QGNH01001667.1	QGNH01001667.1	2	711	968	1	E																				0	False	F
QGNH01001667.1_3	QGNH01001667.1	QGNH01001667.1	3	971	1618	1	C	K07474	phage terminase small subunit																		0	False	F
QGNH01001667.1_4	QGNH01001667.1	QGNH01001667.1	4	1572	3167	1	E			YP_010668098.1	YP_010668098.1 terminase large subunit [Burkholderia phage Magia]	False	327.0	1.731e-95	0.396									VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001667.1_5	QGNH01001667.1	QGNH01001667.1	5	3167	3307	1	E																				0	False	F
QGNH01001667.1_6	QGNH01001667.1	QGNH01001667.1	6	3318	4817	1	D																Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xh;Xr;Xs	0	False	VF
QGNH01001667.1_7	QGNH01001667.1	QGNH01001667.1	7	4820	6478	1	C	K06904	uncharacterized protein							MER0322860	S78	MER0322860 - prohead peptidase (bacteriophage HK97) (Pseudomonas aeruginosa) [S78.001]#S78#{peptidase unit: 20-213}~source YP_005973938~	False	60.0	1.039e-07	0.254	Caudovirus prohead serine protease [PF04586.20]	VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xh;Xs	0	False	VPF
QGNH01001667.1_8	QGNH01001667.1	QGNH01001667.1	8	6509	7984	1	D																Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
QGNH01001667.1_9	QGNH01001667.1	QGNH01001667.1	9	8054	8506	1	E																				0	False	
QGNH01001667.1_10	QGNH01001667.1	QGNH01001667.1	10	8766	9116	1	E																				0	False	F
QGNH01001667.1_11	QGNH01001667.1	QGNH01001667.1	11	9106	10419	1	D																Methyltransferase domain [PF13489.9]				0	False	F
QGNH01001667.1_12	QGNH01001667.1	QGNH01001667.1	12	10410	10634	1	E																				0	False	F
QGNH01001667.1_13	QGNH01001667.1	QGNH01001667.1	13	10631	10912	1	E																				0	False	F
QGNH01001667.1_14	QGNH01001667.1	QGNH01001667.1	14	10909	11262	1	E																				0	False	F
QGNH01001667.1_15	QGNH01001667.1	QGNH01001667.1	15	11305	12054	1	E																				0	False	F
QGNH01001667.1_16	QGNH01001667.1	QGNH01001667.1	16	12062	12505	1	E																				0	False	F
QGNH01001667.1_17	QGNH01001667.1	QGNH01001667.1	17	12509	13525	1	D																Protein of unknown function (DUF5672) [PF18922.3]				0	False	F
QGNH01001667.1_18	QGNH01001667.1	QGNH01001667.1	18	13539	13703	1	E																				0	False	F
QGNH01001667.1_19	QGNH01001667.1	QGNH01001667.1	19	13696	13827	1	E																				0	False	F
