	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001434.1_1	QGNH01001434.1	QGNH01001434.1	1	2	160	1	E																		0	False	F
QGNH01001434.1_2	QGNH01001434.1	QGNH01001434.1	2	219	554	1	E																		0	False	F
QGNH01001434.1_3	QGNH01001434.1	QGNH01001434.1	3	555	764	1	E																		0	False	F
QGNH01001434.1_4	QGNH01001434.1	QGNH01001434.1	4	764	979	1	E																		0	False	F
QGNH01001434.1_5	QGNH01001434.1	QGNH01001434.1	5	979	1236	1	E																		0	False	F
QGNH01001434.1_6	QGNH01001434.1	QGNH01001434.1	6	1236	1640	1	E																		0	False	F
QGNH01001434.1_7	QGNH01001434.1	QGNH01001434.1	7	1640	1885	1	E																		0	False	F
QGNH01001434.1_8	QGNH01001434.1	QGNH01001434.1	8	1889	2596	1	E																		0	False	F
QGNH01001434.1_9	QGNH01001434.1	QGNH01001434.1	9	2638	4920	1	D	YP_006546302.1	YP_006546302.1 portal protein [Thermoanaerobacterium phage THSA-485A]	False	0.274	169.0	2.439e-41								Phage portal protein [PF04860.15]; Phage Mu protein F like protein [PF04233.17]	VOG00441	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region; Xu	Xu	0	False	F
QGNH01001434.1_10	QGNH01001434.1	QGNH01001434.1	10	5127	5378	1	E																		0	False	
QGNH01001434.1_11	QGNH01001434.1	QGNH01001434.1	11	5404	5781	1	E																		0	False	
QGNH01001434.1_12	QGNH01001434.1	QGNH01001434.1	12	5735	6253	1	E																		0	False	
QGNH01001434.1_13	QGNH01001434.1	QGNH01001434.1	13	6404	7975	1	E	YP_009273501.1	YP_009273501.1 hypothetical protein BH789_gp019 [Gordonia phage GMA6]	False	0.62	87.0	2.84e-16												0	False	
QGNH01001434.1_14	QGNH01001434.1	QGNH01001434.1	14	8042	9811	1	E															VOG10791	REFSEQ major capsid protein; Xu	Xu	0	False	
QGNH01001434.1_15	QGNH01001434.1	QGNH01001434.1	15	9899	10837	1	E																		0	False	
QGNH01001434.1_16	QGNH01001434.1	QGNH01001434.1	16	11184	11771	1	E																		0	False	
QGNH01001434.1_17	QGNH01001434.1	QGNH01001434.1	17	11790	12008	1	E																		0	False	
QGNH01001434.1_18	QGNH01001434.1	QGNH01001434.1	18	12008	12517	1	E																		0	False	
QGNH01001434.1_19	QGNH01001434.1	QGNH01001434.1	19	12581	13687	1	E																		0	False	
QGNH01001434.1_20	QGNH01001434.1	QGNH01001434.1	20	13712	14026	1	E																		0	False	
QGNH01001434.1_21	QGNH01001434.1	QGNH01001434.1	21	14113	14373	1	E																		0	False	
QGNH01001434.1_22	QGNH01001434.1	QGNH01001434.1	22	14355	16835	1	E																		0	False	
QGNH01001434.1_23	QGNH01001434.1	QGNH01001434.1	23	16832	17986	1	D														Conserved hypothetical protein 2217 (DUF2460) [PF09343.13]				0	False	
QGNH01001434.1_24	QGNH01001434.1	QGNH01001434.1	24	17983	18918	1	E																		0	False	
QGNH01001434.1_25	QGNH01001434.1	QGNH01001434.1	25	18918	19388	1	D							MER0725078	C40	MER0725078 - family C40 non-peptidase homologues (Accumulibacter sp. BA-93) [C40.UNW]#C40#{peptidase unit: 6-122}~source A0A011PDC4~	False	76.0	8.971e-15	0.356					0	False	P
QGNH01001434.1_26	QGNH01001434.1	QGNH01001434.1	26	19385	23080	1	E																		0	False	F
QGNH01001434.1_27	QGNH01001434.1	QGNH01001434.1	27	23091	23549	1	E																		0	False	F
QGNH01001434.1_28	QGNH01001434.1	QGNH01001434.1	28	23527	24408	1	D														SMP-30/Gluconolactonase/LRE-like region [PF08450.15]				0	False	F
QGNH01001434.1_29	QGNH01001434.1	QGNH01001434.1	29	24375	26189	1	E																		0	False	F
