	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_050154_NC_050154_1	NC_050154	NC_050154	1	227	1264	1	E											0
NC_050154_NC_050154_2	NC_050154	NC_050154	2	1292	2800	-1	E											0
NC_050154_NC_050154_3	NC_050154	NC_050154	3	2800	4164	-1	E											0
NC_050154_NC_050154_4	NC_050154	NC_050154	4	4161	4553	-1	E											0
NC_050154_NC_050154_5	NC_050154	NC_050154	5	4662	5054	-1	E											0
NC_050154_NC_050154_6	NC_050154	NC_050154	6	5054	5629	-1	E											0
NC_050154_NC_050154_7	NC_050154	NC_050154	7	6279	6443	-1	D										Protein of unknown function (DUF3927) [PF13064.9]	0
NC_050154_NC_050154_8	NC_050154	NC_050154	8	6443	6877	-1	C	K05793	tellurite resistance protein TerB								Tellurite resistance protein TerB [PF05099.16]	0
NC_050154_NC_050154_9	NC_050154	NC_050154	9	9085	10293	-1	E											0
NC_050154_NC_050154_10	NC_050154	NC_050154	10	10407	10706	-1	E											0
NC_050154_NC_050154_11	NC_050154	NC_050154	11	10703	10903	-1	E											0
NC_050154_NC_050154_12	NC_050154	NC_050154	12	10918	11409	-1	D										VRR-NUC domain [PF08774.14]	0
NC_050154_NC_050154_13	NC_050154	NC_050154	13	11549	11809	-1	E											0
NC_050154_NC_050154_14	NC_050154	NC_050154	14	11812	12192	-1	E											0
NC_050154_NC_050154_15	NC_050154	NC_050154	15	12283	19119	-1	D										N-6 DNA Methylase [PF02384.19]; SNF2-related domain [PF00176.26]; Eco57I restriction-modification methylase [PF07669.14]; Helicase conserved C-terminal domain [PF00271.34]	0
NC_050154_NC_050154_16	NC_050154	NC_050154	16	19271	19756	1	D										CHAP domain [PF05257.19]	0
NC_050154_NC_050154_17	NC_050154	NC_050154	17	19789	19986	-1	E											0
NC_050154_NC_050154_18	NC_050154	NC_050154	18	19986	20693	-1	D										Phage regulatory protein Rha (Phage_pRha) [PF09669.13]	0
NC_050154_NC_050154_19	NC_050154	NC_050154	19	20693	20917	-1	E											0
NC_050154_NC_050154_20	NC_050154	NC_050154	20	21331	22293	-1	E											0
NC_050154_NC_050154_21	NC_050154	NC_050154	21	22494	23492	-1	E											0
NC_050154_NC_050154_22	NC_050154	NC_050154	22	23506	25188	-1	D										Bacteriophage T4-like portal protein (Gp20) [PF07230.14]	0
NC_050154_NC_050154_23	NC_050154	NC_050154	23	25273	25605	-1	E											0
NC_050154_NC_050154_24	NC_050154	NC_050154	24	25650	26207	-1	E											0
NC_050154_NC_050154_25	NC_050154	NC_050154	25	26333	27697	-1	D										ddrB-like ParB superfamily domain [PF18763.4]	0
NC_050154_NC_050154_26	NC_050154	NC_050154	26	27792	28166	-1	E											0
NC_050154_NC_050154_27	NC_050154	NC_050154	27	28166	30103	-1	D										Defence against restriction A N-terminal [PF18788.4]; Defence against restriction A C-terminal [PF18789.4]	0
NC_050154_NC_050154_28	NC_050154	NC_050154	28	30096	30716	-1	D										Defence against restriction A N-terminal [PF18788.4]	0
NC_050154_NC_050154_29	NC_050154	NC_050154	29	30706	31152	-1	D										LydA-holin antagonist [PF16084.8]	0
NC_050154_NC_050154_30	NC_050154	NC_050154	30	31152	31478	-1	E											0
NC_050154_NC_050154_31	NC_050154	NC_050154	31	31584	32144	1	C	K21528	Enterobacteriaceae phage serine recombinase [EC:3.1.22.- 6.5.1.-]								Resolvase, N terminal domain [PF00239.24]; Helix-turn-helix domain of resolvase [PF02796.18]	0
NC_050154_NC_050154_32	NC_050154	NC_050154	32	32192	33712	1	E											0
NC_050154_NC_050154_33	NC_050154	NC_050154	33	33715	34248	1	D										Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]	0
NC_050154_NC_050154_34	NC_050154	NC_050154	34	34277	34807	-1	D										Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]	0
NC_050154_NC_050154_35	NC_050154	NC_050154	35	34808	37627	-1	E											0
NC_050154_NC_050154_36	NC_050154	NC_050154	36	37630	38076	-1	E											0
NC_050154_NC_050154_37	NC_050154	NC_050154	37	38171	39016	-1	E											0
NC_050154_NC_050154_38	NC_050154	NC_050154	38	39027	40457	-1	E											0
NC_050154_NC_050154_39	NC_050154	NC_050154	39	40454	40828	-1	E											0
NC_050154_NC_050154_40	NC_050154	NC_050154	40	40834	44616	-1	E											0
NC_050154_NC_050154_41	NC_050154	NC_050154	41	44631	45452	-1	E											0
NC_050154_NC_050154_42	NC_050154	NC_050154	42	45841	46596	1	D										Initiator Replication protein [PF01051.24]	0
NC_050154_NC_050154_43	NC_050154	NC_050154	43	46978	47685	-1	E											0
NC_050154_NC_050154_44	NC_050154	NC_050154	44	47701	48252	-1	E											0
NC_050154_NC_050154_45	NC_050154	NC_050154	45	48307	48798	-1	E											0
NC_050154_NC_050154_46	NC_050154	NC_050154	46	48807	49397	-1	E											0
NC_050154_NC_050154_47	NC_050154	NC_050154	47	49447	50181	-1	E											0
NC_050154_NC_050154_48	NC_050154	NC_050154	48	50225	51883	-1	E											0
NC_050154_NC_050154_49	NC_050154	NC_050154	49	51951	52229	-1	D										Bacterial Ig-like domain (group 2) [PF02368.21]	0
NC_050154_NC_050154_50	NC_050154	NC_050154	50	52273	52377	-1	E											0
NC_050154_NC_050154_51	NC_050154	NC_050154	51	52377	54008	-1	E											0
NC_050154_NC_050154_52	NC_050154	NC_050154	52	54233	54625	1	E											0
NC_050154_NC_050154_53	NC_050154	NC_050154	53	54642	55100	1	E											0
NC_050154_NC_050154_54	NC_050154	NC_050154	54	55254	55706	-1	E											0
NC_050154_NC_050154_55	NC_050154	NC_050154	55	55783	56589	-1	E											0
NC_050154_NC_050154_56	NC_050154	NC_050154	56	56589	56873	-1	E											0
NC_050154_NC_050154_57	NC_050154	NC_050154	57	57140	58096	1	C	K18640	plasmid segregation protein ParM								StbA protein [PF06406.14]	0
NC_050154_NC_050154_58	NC_050154	NC_050154	58	58109	58447	1	D										Plasmid stability protein [PF10784.12]	0
NC_050154_NC_050154_59	NC_050154	NC_050154	59	58735	59376	1	D										VirC1 protein [PF07015.14]; ATPase MipZ [PF09140.14]; AAA domain [PF13614.9]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; Cellulose biosynthesis protein BcsQ [PF06564.15]	0
NC_050154_NC_050154_60	NC_050154	NC_050154	60	59369	59656	1	E											0
NC_050154_NC_050154_61	NC_050154	NC_050154	61	59925	61586	1	C	K01886	glutaminyl-tRNA synthetase [EC:6.1.1.18]								tRNA synthetases class I (E and Q), catalytic domain [PF00749.24]; tRNA synthetases class I (E and Q), anti-codon binding domain [PF03950.21]	0
NC_050154_NC_050154_62	NC_050154	NC_050154	62	61635	62540	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	0
NC_050154_NC_050154_63	NC_050154	NC_050154	63	62533	63213	-1	E											0
NC_050154_NC_050154_64	NC_050154	NC_050154	64	63197	64102	-1	C	K03554	recombination associated protein RdgC								Putative exonuclease, RdgC [PF04381.15]	0
NC_050154_NC_050154_65	NC_050154	NC_050154	65	64162	64815	-1	E											0
NC_050154_NC_050154_66	NC_050154	NC_050154	66	64812	65792	-1	E											0
NC_050154_NC_050154_67	NC_050154	NC_050154	67	65796	66563	-1	E											0
NC_050154_NC_050154_68	NC_050154	NC_050154	68	66560	67351	-1	E											0
NC_050154_NC_050154_69	NC_050154	NC_050154	69	67514	67816	1	C	K07334	toxin HigB-1								RelE-like toxin of type II toxin-antitoxin system HigB [PF05015.16]	0
NC_050154_NC_050154_70	NC_050154	NC_050154	70	67887	68225	1	C	K21498	antitoxin HigA-1									0
NC_050154_NC_050154_71	NC_050154	NC_050154	71	68282	68641	1	C	K18831	HTH-type transcriptional regulator / antitoxin HigA									0
NC_050154_NC_050154_72	NC_050154	NC_050154	72	68704	69432	1	E											0
NC_050154_NC_050154_73	NC_050154	NC_050154	73	69466	70659	-1	E											0
NC_050154_NC_050154_74	NC_050154	NC_050154	74	70652	70981	-1	E											0
NC_050154_NC_050154_75	NC_050154	NC_050154	75	71175	71309	1	E											0
NC_050154_NC_050154_76	NC_050154	NC_050154	76	71310	71963	-1	E											0
NC_050154_NC_050154_77	NC_050154	NC_050154	77	72246	73142	1	E											0
NC_050154_NC_050154_78	NC_050154	NC_050154	78	73182	73532	-1	E											0
NC_050154_NC_050154_79	NC_050154	NC_050154	79	73678	73962	-1	E											0
NC_050154_NC_050154_80	NC_050154	NC_050154	80	74022	74963	-1	D										Phage regulatory protein Rha (Phage_pRha) [PF09669.13]	0
NC_050154_NC_050154_81	NC_050154	NC_050154	81	74963	75178	-1	E											0
NC_050154_NC_050154_82	NC_050154	NC_050154	82	75234	75533	1	E											0
NC_050154_NC_050154_83	NC_050154	NC_050154	83	75491	75658	-1	E											0
NC_050154_NC_050154_84	NC_050154	NC_050154	84	75990	76568	-1	D										Recombination enhancement, RecA-dependent nuclease [PF16786.8]	1
NC_050154_NC_050154_85	NC_050154	NC_050154	85	76689	76841	1	E											0
NC_050154_NC_050154_86	NC_050154	NC_050154	86	76841	77452	1	D										Domain of unknown function (DUF4406) [PF14359.9]	0
NC_050154_NC_050154_87	NC_050154	NC_050154	87	77449	77766	1	E											0
NC_050154_NC_050154_88	NC_050154	NC_050154	88	77756	78112	1	E											0
NC_050154_NC_050154_89	NC_050154	NC_050154	89	78109	78777	1	D										Ead/Ea22-like protein [PF13935.9]	0
NC_050154_NC_050154_90	NC_050154	NC_050154	90	78774	79097	1	D										ClpX C4-type zinc finger [PF06689.16]	0
NC_050154_NC_050154_91	NC_050154	NC_050154	91	79189	79464	1	D										Domain of unknown function (DUF4752) [PF15944.8]	0
NC_050154_NC_050154_92	NC_050154	NC_050154	92	79461	79685	1	E											0
NC_050154_NC_050154_93	NC_050154	NC_050154	93	79682	79993	1	E											0
NC_050154_NC_050154_94	NC_050154	NC_050154	94	79990	80682	1	C	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]								Calcineurin-like phosphoesterase [PF00149.31]	0
NC_050154_NC_050154_95	NC_050154	NC_050154	95	80781	81776	1	D										Protein of unknown function (DUF968) [PF06147.14]	0
NC_050154_NC_050154_96	NC_050154	NC_050154	96	81790	82089	1	E											0
