	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000407.1_1	QGNH01000407.1	QGNH01000407.1	1	50	985	-1	D	YP_009841853.1	YP_009841853.1 terminase-like family protein [Bacillus phage vB_BboS-125]	False	103.0	1.872e-22	0.246	Terminase RNaseH-like domain [PF17289.5]				0	False	F
QGNH01000407.1_2	QGNH01000407.1	QGNH01000407.1	2	1202	1861	1	E											0	False	F
QGNH01000407.1_3	QGNH01000407.1	QGNH01000407.1	3	1958	2191	1	E											0	False	F
QGNH01000407.1_4	QGNH01000407.1	QGNH01000407.1	4	2235	2777	-1	E											0	False	F
QGNH01000407.1_5	QGNH01000407.1	QGNH01000407.1	5	3030	3761	-1	E											0	False	F
QGNH01000407.1_6	QGNH01000407.1	QGNH01000407.1	6	3793	4278	-1	E											0	False	F
QGNH01000407.1_7	QGNH01000407.1	QGNH01000407.1	7	5213	5461	1	E											0	False	F
QGNH01000407.1_8	QGNH01000407.1	QGNH01000407.1	8	5537	5878	-1	D							zinc-ribbon domain [PF13240.9]				0	False	F
QGNH01000407.1_9	QGNH01000407.1	QGNH01000407.1	9	5990	6232	1	D							Helix-turn-helix domain [PF12844.10]				0	False	F
QGNH01000407.1_10	QGNH01000407.1	QGNH01000407.1	10	6484	6678	-1	E											0	False	F
QGNH01000407.1_11	QGNH01000407.1	QGNH01000407.1	11	6860	7063	-1	E											0	False	F
QGNH01000407.1_12	QGNH01000407.1	QGNH01000407.1	12	7229	7597	-1	E											0	False	F
QGNH01000407.1_13	QGNH01000407.1	QGNH01000407.1	13	7609	8304	-1	E											1	False	F
QGNH01000407.1_14	QGNH01000407.1	QGNH01000407.1	14	8996	9658	-1	E											0	False	F
QGNH01000407.1_15	QGNH01000407.1	QGNH01000407.1	15	9899	10078	1	E											0	False	F
