	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001574.1_1	QGNH01001574.1	QGNH01001574.1	1	1	486	-1	E															0	False	F
QGNH01001574.1_2	QGNH01001574.1	QGNH01001574.1	2	529	1602	-1	D	YP_009778745.1	YP_009778745.1 glycosyltransferase [Synechococcus phage ACG-2014f_Syn7803US26]	True	0.676	481.0	9.279e-152	Glycosyl transferases group 1 [PF00534.23]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	False	MKF
QGNH01001574.1_3	QGNH01001574.1	QGNH01001574.1	3	1610	2185	-1	D	YP_010097864.1	YP_010097864.1 2OG-Fe(II) oxygenase [Synechococcus virus S-PRM1]	False	0.469	163.0	1.383e-44	2OG-Fe(II) oxygenase superfamily [PF13640.9]					VOG01318	REFSEQ 2OG-Fe(II) oxygenase; Xu	Xu	0	False	MKF
QGNH01001574.1_4	QGNH01001574.1	QGNH01001574.1	4	2182	2544	-1	E															0	False	F
QGNH01001574.1_5	QGNH01001574.1	QGNH01001574.1	5	2577	3167	-1	D	YP_009174463.1	YP_009174463.1 long tail fiber protein distal subunit [Yellowstone lake phycodnavirus 2]	False	0.412	90.0	2.387e-19	Chaperone of endosialidase [PF13884.9]								0	False	F
QGNH01001574.1_6	QGNH01001574.1	QGNH01001574.1	6	3164	5509	-1	D							Collagen triple helix repeat (20 copies) [PF01391.21]					VOG02739	sp|P08120|CO4A1_DROME Collagen alpha-1(IV) chain; Xh	Xh	0	False	F
QGNH01001574.1_7	QGNH01001574.1	QGNH01001574.1	7	5527	5751	-1	E												VOG00991	REFSEQ virion structural protein; Xu	Xu	0	False	
QGNH01001574.1_8	QGNH01001574.1	QGNH01001574.1	8	5754	8549	-1	E	YP_010107261.1	YP_010107261.1 virulence associated protein [Agrobacterium phage OLIVR5]	False	0.24	172.0	7.978000000000001e-42						VOG04291	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001574.1_9	QGNH01001574.1	QGNH01001574.1	9	8562	12335	-1	D	YP_007517923.1	YP_007517923.1 VrlC protein [Pelagibacter phage HTVC008M]	False	0.22	318.0	1.593e-86	Domain of unknown function (DUF4815) [PF16075.8]					VOG04291	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001574.1_10	QGNH01001574.1	QGNH01001574.1	10	12344	14020	-1	E	YP_010670459.1	YP_010670459.1 baseplate wedge subunit [Synechococcus phage S-H38]	False	0.264	141.0	2.942e-33						VOG07688	REFSEQ baseplate wedge subunit; Xu	Xu	0	False	F
QGNH01001574.1_11	QGNH01001574.1	QGNH01001574.1	11	14046	16637	-1	E	YP_009098968.1	YP_009098968.1 baseplate wedge subunit [Caulobacter phage Cr30]	False	0.179	111.0	1.974e-23						VOG19216	REFSEQ hypothetical protein; Xu	Xu	0	False	F
