	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000054.1_1	QGNH01000054.1	QGNH01000054.1	1	2	127	-1	E					0	False	F
QGNH01000054.1_2	QGNH01000054.1	QGNH01000054.1	2	124	1158	-1	D	Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.9]; Fn3 associated [PF13287.9]				0	False	F
QGNH01000054.1_3	QGNH01000054.1	QGNH01000054.1	3	1161	2975	-1	E					0	False	F
QGNH01000054.1_4	QGNH01000054.1	QGNH01000054.1	4	3193	3588	-1	E					0	False	F
QGNH01000054.1_5	QGNH01000054.1	QGNH01000054.1	5	3581	3955	-1	E					0	False	F
QGNH01000054.1_6	QGNH01000054.1	QGNH01000054.1	6	4034	4174	1	E					0	False	F
QGNH01000054.1_7	QGNH01000054.1	QGNH01000054.1	7	4155	5399	-1	E					0	False	F
QGNH01000054.1_8	QGNH01000054.1	QGNH01000054.1	8	5412	5615	-1	E					0	False	
QGNH01000054.1_9	QGNH01000054.1	QGNH01000054.1	9	5590	5769	-1	E					0	False	
QGNH01000054.1_10	QGNH01000054.1	QGNH01000054.1	10	5776	5880	-1	E					0	False	
QGNH01000054.1_11	QGNH01000054.1	QGNH01000054.1	11	5926	6087	-1	E					0	False	
QGNH01000054.1_12	QGNH01000054.1	QGNH01000054.1	12	6225	6575	-1	E					0	False	
QGNH01000054.1_13	QGNH01000054.1	QGNH01000054.1	13	6636	7514	-1	E					0	False	
QGNH01000054.1_14	QGNH01000054.1	QGNH01000054.1	14	7569	8846	-1	E					0	False	
QGNH01000054.1_15	QGNH01000054.1	QGNH01000054.1	15	8888	9874	-1	E					0	False	
QGNH01000054.1_16	QGNH01000054.1	QGNH01000054.1	16	9904	10203	-1	E					0	False	
QGNH01000054.1_17	QGNH01000054.1	QGNH01000054.1	17	10228	10329	-1	E					0	False	
QGNH01000054.1_18	QGNH01000054.1	QGNH01000054.1	18	10502	10744	-1	E					0	False	
QGNH01000054.1_19	QGNH01000054.1	QGNH01000054.1	19	10777	12924	-1	E					0	False	F
QGNH01000054.1_20	QGNH01000054.1	QGNH01000054.1	20	13019	13807	-1	E					0	False	F
QGNH01000054.1_21	QGNH01000054.1	QGNH01000054.1	21	13791	14015	-1	E					0	False	F
QGNH01000054.1_22	QGNH01000054.1	QGNH01000054.1	22	14018	14275	-1	E					0	False	F
QGNH01000054.1_23	QGNH01000054.1	QGNH01000054.1	23	14272	14949	-1	E					0	False	F
QGNH01000054.1_24	QGNH01000054.1	QGNH01000054.1	24	14946	15215	-1	E					0	False	F
QGNH01000054.1_25	QGNH01000054.1	QGNH01000054.1	25	15229	15438	-1	E					0	False	F
QGNH01000054.1_26	QGNH01000054.1	QGNH01000054.1	26	15451	15768	-1	E					0	False	F
