	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000324.1_1	QGNH01000324.1	QGNH01000324.1	1	2	1483	-1	E							0	False	F
QGNH01000324.1_2	QGNH01000324.1	QGNH01000324.1	2	1493	2158	-1	E							0	False	F
QGNH01000324.1_3	QGNH01000324.1	QGNH01000324.1	3	2301	2786	1	E							0	False	F
QGNH01000324.1_4	QGNH01000324.1	QGNH01000324.1	4	2735	3658	-1	E							0	False	F
QGNH01000324.1_5	QGNH01000324.1	QGNH01000324.1	5	3686	4636	-1	E							0	False	F
QGNH01000324.1_6	QGNH01000324.1	QGNH01000324.1	6	4599	6596	-1	E							0	False	F
QGNH01000324.1_7	QGNH01000324.1	QGNH01000324.1	7	6596	6907	-1	E							0	False	
QGNH01000324.1_8	QGNH01000324.1	QGNH01000324.1	8	7111	7539	-1	E							0	False	
QGNH01000324.1_9	QGNH01000324.1	QGNH01000324.1	9	7541	7939	-1	E							0	False	F
QGNH01000324.1_10	QGNH01000324.1	QGNH01000324.1	10	7950	8639	-1	E							0	False	F
QGNH01000324.1_11	QGNH01000324.1	QGNH01000324.1	11	8678	9349	-1	E							0	False	F
QGNH01000324.1_12	QGNH01000324.1	QGNH01000324.1	12	9368	9844	-1	E							0	False	F
QGNH01000324.1_13	QGNH01000324.1	QGNH01000324.1	13	9865	10125	-1	E							0	False	F
QGNH01000324.1_14	QGNH01000324.1	QGNH01000324.1	14	10122	11273	-1	E							0	False	F
QGNH01000324.1_15	QGNH01000324.1	QGNH01000324.1	15	11277	12545	-1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
