L1	L2	L3	L4	KO	Function	EC	Count
20_Hydrolysis of polymers	Starch			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
20_Hydrolysis of polymers	Xylose			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
01_Fermentation	Bifidobacterium shunt			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
01_Fermentation	Heterolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
01_Fermentation	Homolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1
01_Fermentation	Heterolactic fermentation			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
21_Cellular response to stress	Cellular response to stress			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation VIII			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
21_Cellular response to stress	Cellular response to stress			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
10_TCA cycle	TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Reductive TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	TCA cycle			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
