Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP030760.1_3121670_3122047_+	VOG00002		2.7e-13	47.8
NZ_CP030764.1_454612_455295_-	VOG00002		1.2e-12	44.6
NZ_CP030763.1_90897_91517_+	VOG00002		4.8e-12	42.3
NZ_CP030763.1_493827_494285_-	VOG00002		1e-11	41.5
NZ_CP030760.1_3387368_3387934_+	VOG00002		3.5e-11	40.8
NZ_CP030760.1_1119666_1120409_+	VOG00004		8.8e-26	87.7
NZ_CP030761.1_1052241_1053344_+	VOG00006		5.6e-11	39.4
NZ_CP030760.1_360712_360936_-	VOG00006		1.9e-07	28.9
NZ_CP030762.1_34762_35295_+	VOG00006		3.9e-07	27.7
NZ_CP030764.1_155592_161129_-	VOG00025		1.3e-23	77.8
NZ_CP030764.1_82351_87819_+	VOG00025		5.3e-16	52.7
NZ_CP030764.1_492425_494830_-	VOG00025		1.1e-15	46.9
NZ_CP030762.1_4551_4871_+	VOG00033		1.4e-16	57.6
NZ_CP030762.1_9755_10075_+	VOG00033		1.4e-16	57.6
NZ_CP030760.1_3136168_3136488_-	VOG00033		1.4e-16	57.6
NZ_CP030760.1_2906001_2906975_-	VOG00033		2.3e-16	56.6
NZ_CP030760.1_2638327_2638584_-	VOG00033		6e-09	32.5
NZ_CP030760.1_3702097_3705876_-	VOG00047		1.1e-33	114.0
NZ_CP030760.1_294248_295051_+	VOG00047		1.1e-15	53.9
NZ_CP030760.1_2206401_2206910_+	VOG00053		3.6e-24	82.9
NZ_CP030760.1_3934768_3935823_-	VOG00055		4e-81	271.2
NZ_CP030763.1_213346_214449_+	VOG00055		2.1e-77	257.8
NZ_CP030763.1_191479_192450_-	VOG00055		1.3e-64	215.5
NZ_CP030760.1_1945537_1946553_+	VOG00055		7.8e-64	214.0
NZ_CP030760.1_3724509_3725552_+	VOG00055		8.4e-63	210.7
NZ_CP030760.1_2702310_2703263_+	VOG00056		1.4e-56	189.8
NZ_CP030760.1_4146403_4147269_-	VOG00056		6.2e-51	171.2
NZ_CP030760.1_2770328_2771263_+	VOG00056		1.1e-50	170.2
NZ_CP030762.1_7611_8477_-	VOG00056		1.6e-50	169.8
NZ_CP030762.1_68841_69842_+	VOG00056		2.9e-49	165.6
NZ_CP030760.1_1748474_1749898_-	VOG00060		6.5e-16	27.3
NZ_CP030760.1_836647_837087_-	VOG00066		2e-08	31.6
NZ_CP030760.1_478898_479254_-	VOG00066		1.3e-07	29.3
NZ_CP030763.1_356826_357266_+	VOG00066		2e-07	27.5
NZ_CP030760.1_2867746_2868474_+	VOG00071		7.6e-16	55.2
NZ_CP030764.1_541646_542356_-	VOG00071		6.2e-16	54.5
NZ_CP030760.1_3297000_3300050_+	VOG00075		3.5e-142	472.8
NZ_CP030760.1_3231889_3232515_+	VOG00075		4.7e-18	62.1
NZ_CP030760.1_3465204_3465674_-	VOG00082		7.5e-44	147.8
NZ_CP030760.1_3117280_3118002_+	VOG00088		2.5e-25	86.8
NZ_CP030760.1_701455_701913_-	VOG00089		4e-17	59.7
NZ_CP030760.1_4524440_4524955_+	VOG00089		1.9e-16	57.4
NZ_CP030760.1_4503419_4503913_-	VOG00089		7.9e-16	55.5
NZ_CP030760.1_1180488_1180994_-	VOG00089		1.4e-15	54.7
NZ_CP030760.1_1867643_1868152_+	VOG00089		3.8e-14	49.8
NZ_CP030760.1_249101_250015_+	VOG00094		2.6e-18	63.1
NZ_CP030760.1_4496233_4496886_-	VOG00106		1.2e-15	54.6
NZ_CP030760.1_4271067_4271762_-	VOG00106		5e-14	49.2
NZ_CP030760.1_1093563_1094360_+	VOG00106		1.2e-13	47.9
NZ_CP030760.1_1124435_1125232_+	VOG00106		2.1e-12	43.7
NZ_CP030760.1_3965763_3966920_-	VOG00106		2.3e-12	43.5
NZ_CP030760.1_1797941_1799764_+	VOG00107		6.8e-35	117.7
