	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_028957.1_1	NC_028957.1	NC_028957.1	1	1	2235	-1	D			YP_009213838.1	YP_009213838.1 RIIA lysis inhibitor [Escherichia phage vB_EcoM_VR26]	True	0.957	1498	0.0								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]					VOG00493	sp|P03690|VR2A_BPT4 Protein rIIA; XhXr	Xh;Xr	0	False	VF
NC_028957.1_2	NC_028957.1	NC_028957.1	2	2243	2446	-1	E			YP_009209744.1	YP_009209744.1 hypothetical protein AVV67_gp002 [Escherichia phage vB_EcoM_VR25]	False	0.917	131	6.465e-36													VOG07246	sp|P25186|Y00A_BPT4 Uncharacterized 8.1 kDa protein in rIIA-Gp60 intergenic region; Xu	Xu	0	False	F
NC_028957.1_3	NC_028957.1	NC_028957.1	3	2412	2711	-1	E			YP_009213840.1	YP_009213840.1 hypothetical protein AVV66_gp003 [Escherichia phage vB_EcoM_VR26]	False	0.916	192	1.576e-56													VOG09217	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028957.1_4	NC_028957.1	NC_028957.1	4	2787	2939	-1	E			YP_009213841.1	YP_009213841.1 hypothetical protein AVV66_gp004 [Escherichia phage vB_EcoM_VR26]	False	1.0	116	4.598e-31													VOG09214	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028957.1_5	NC_028957.1	NC_028957.1	5	2982	4814	-1	C	K26040	Escherichia phage DNA topoisomerase large subunit [EC:5.6.2.2]	YP_009213842.1	YP_009213842.1 DNA topoisomerase II large subunit [Escherichia phage vB_EcoM_VR26]	True	0.964	1239	0.0								DNA gyrase B [PF00204.28]; C-terminal associated domain of TOPRIM [PF16898.8]					VOG01293	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit; Xh	Xh	0	False	F
NC_028957.1_6	NC_028957.1	NC_028957.1	6	4821	5579	-1	D			YP_009213843.1	YP_009213843.1 endonuclease VII [Escherichia phage vB_EcoM_VR26]	True	1.0	539	5.851e-174								Recombination endonuclease VII [PF02945.18]								0	False	F
NC_028957.1_7	NC_028957.1	NC_028957.1	7	5576	5836	-1	E			YP_009213844.1	YP_009213844.1 hypothetical protein AVV66_gp007 [Escherichia phage vB_EcoM_VR26]	False	0.983	181	7.987e-53													VOG01627	sp|Q01435|Y00C_BPT4 Uncharacterized 7.2 kDa protein in Gp39-comCA intergenic region; Xu	Xu	0	False	
NC_028957.1_8	NC_028957.1	NC_028957.1	8	5843	6016	-1	D			YP_009213845.1	YP_009213845.1 FmdB-like transcriptional regulator [Escherichia phage vB_EcoM_VR26]	False	1.0	126	1.268e-34								Zinc ribbon domain [PF09723.13]					VOG00919	sp|Q01434|Y00D_BPT4 Uncharacterized 5.1 kDa protein in Gp39-comCA intergenic region; Xu	Xu	1	False	
NC_028957.1_9	NC_028957.1	NC_028957.1	9	6024	6383	-1	E			YP_009213846.1	YP_009213846.1 hypothetical protein AVV66_gp009 [Escherichia phage vB_EcoM_VR26]	False	0.985	250	3.83e-76													VOG00928	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region; Xu	Xu	0	False	
NC_028957.1_10	NC_028957.1	NC_028957.1	10	6376	6600	-1	E			YP_009207188.1	YP_009207188.1 cef modifier of supressor tRNAs [Escherichia phage vB_EcoM_VR20]	False	0.985	156	1.4519999999999998e-44													VOG07239	sp|Q01436|CEF_BPT4 Protein cef; Xu	Xu	0	False	
NC_028957.1_11	NC_028957.1	NC_028957.1	11	6651	7142	-1	D			YP_009213848.1	YP_009213848.1 MotB-like transcriptional regulator [Escherichia phage vB_EcoM_VR26]	False	0.968	334	1.056e-104								Modifier of transcription [PF17613.5]					VOG02032	sp|Q01437|MOTB_BPT4 Transcription regulatory protein motB; Xu	Xu	0	False	
NC_028957.1_12	NC_028957.1	NC_028957.1	12	7220	7972	-1	D			YP_009213849.1	YP_009213849.1 hypothetical protein AVV66_gp012 [Escherichia phage vB_EcoM_VR26]	True	0.966	510	7.231e-164								Modifier of transcription [PF17613.5]					VOG02032	sp|Q01437|MOTB_BPT4 Transcription regulatory protein motB; Xu	Xu	0	False	
NC_028957.1_13	NC_028957.1	NC_028957.1	13	7972	8229	-1	E			YP_009209754.1	YP_009209754.1 hypothetical protein AVV67_gp012 [Escherichia phage vB_EcoM_VR25]	False	0.955	173	3.098e-50													VOG18431	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028957.1_14	NC_028957.1	NC_028957.1	14	8297	8980	-1	C	K26049	Escherichia phage exodeoxyribonuclease [EC:3.1.11.1]	YP_009213851.1	YP_009213851.1 exonuclease [Escherichia phage vB_EcoM_VR26]	True	0.98	471	6.413e-151								3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease; Xu	Xu	0	False	
NC_028957.1_15	NC_028957.1	NC_028957.1	15	8973	9212	-1	E			YP_004063696.1	YP_004063696.1 DexA.2 conserved hypothetical protein [Escherichia phage vB_EcoM_VR7]	False	0.988	167	2.645e-48													VOG06374	sp|P32285|Y00G_BPT4 Uncharacterized protein dexA.1; Xu	Xu	0	False	
NC_028957.1_16	NC_028957.1	NC_028957.1	16	9205	10533	-1	C	K21499	Escherichia phage ATP-dependent DNA helicase [EC:5.6.2.3]	YP_009213853.1	YP_009213853.1 Dda-like helicase [Escherichia phage vB_EcoM_VR26]	True	0.973	908	8.861999999999999e-298								Dda helicase SH3 domain [PF18343.4]; AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17]; AAA domain [PF13245.9]					VOG00111	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda; XhXr	Xh;Xr	0	False	V
NC_028957.1_17	NC_028957.1	NC_028957.1	17	10530	10826	-1	E			YP_009213854.1	YP_009213854.1 hypothetical protein AVV66_gp017 [Escherichia phage vB_EcoM_VR26]	False	0.986	206	1.712e-61													VOG01090	sp|P39419|Y01A_BPT4 Uncharacterized 12.1 kDa protein in dda-modA intergenic region; Xu	Xu	0	False	
NC_028957.1_18	NC_028957.1	NC_028957.1	18	10831	11577	-1	E			YP_009213855.1	YP_009213855.1 Srd anti-sigma factor [Escherichia phage vB_EcoM_VR26]	True	0.936	488	2.235e-156																0	False	
NC_028957.1_19	NC_028957.1	NC_028957.1	19	11713	12327	-1	E			YP_009213856.1	YP_009213856.1 RNA polymerase ADP-ribosylase [Escherichia phage vB_EcoM_VR26]	True	0.985	426	1.215e-135													VOG02098	sp|P39423|MODB_BPT4 NAD--protein ADP-ribosyltransferase modB; XhXs	Xh;Xs	0	False	V
NC_028957.1_20	NC_028957.1	NC_028957.1	20	12375	12932	-1	E			YP_009213857.1	YP_009213857.1 RNA polymerase ADP-ribosylase [Escherichia phage vB_EcoM_VR26]	True	0.965	378	2.546e-119													VOG02098	sp|P39423|MODB_BPT4 NAD--protein ADP-ribosyltransferase modB; XhXs	Xh;Xs	0	False	V
NC_028957.1_21	NC_028957.1	NC_028957.1	21	12989	13225	-1	E			YP_009209762.1	YP_009209762.1 hypothetical protein AVV67_gp020 [Escherichia phage vB_EcoM_VR25]	False	0.931	153	3.063e-43													VOG18430	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028957.1_22	NC_028957.1	NC_028957.1	22	13222	13398	-1	E			YP_009213859.1	YP_009213859.1 hypothetical protein AVV66_gp022 [Escherichia phage vB_EcoM_VR26]	False	1.0	125	3.453e-34													VOG07242	sp|P39424|Y01E_BPT4 Uncharacterized 7.0 kDa protein in modB-mrh intergenic region; Xu	Xu	0	False	
NC_028957.1_23	NC_028957.1	NC_028957.1	23	13398	13886	-1	E			YP_009213860.1	YP_009213860.1 Mrh transcription modulator under heat shock [Escherichia phage vB_EcoM_VR26]	False	0.997	344	7.088e-108													VOG02379	sp|P39425|Y01F_BPT4 Uncharacterized 18.3 kDa protein in modB-mrh intergenic region; Xu	Xu	0	False	
