Target Name	ID	EC value	E-Value (sequence)	Score (domain)
strain_GIC31_complete_genome_2244091_2244630_-	VOG00002		1.5e-13	48.6
strain_GIC31_complete_genome_2667918_2669108_-	VOG00002		1.5e-12	45.1
strain_GIC31_complete_genome_287257_287466_-	VOG00002		1e-10	39.2
strain_GIC31_complete_genome_152114_152593_-	VOG00002		5.4e-08	30.2
strain_GIC31_complete_genome_119458_119664_+	VOG00002		8.2e-08	29.8
strain_GIC31_complete_genome_2313179_2314402_-	VOG00004		2.9e-13	46.2
strain_GIC31_complete_genome_1756183_1758126_-	VOG00025		7.8e-53	175.9
strain_GIC31_complete_genome_2016598_2016912_-	VOG00033		3.6e-18	62.8
strain_GIC31_complete_genome_2114312_2114731_-	VOG00033		9.5e-13	45.0
strain_GIC31_complete_genome_1184032_1184346_-	VOG00033		3.6e-11	39.9
strain_GIC31_complete_genome_941190_941534_+	VOG00033		9.3e-10	35.1
strain_GIC31_complete_genome_2101272_2102393_+	VOG00033		3.4e-07	26.5
strain_GIC31_complete_genome_560065_561672_-	VOG00051		2.2e-15	52.8
strain_GIC31_complete_genome_358927_359628_-	VOG00051		1.1e-14	50.8
strain_GIC31_complete_genome_577815_579869_-	VOG00051		1.2e-14	50.8
strain_GIC31_complete_genome_500789_501877_+	VOG00055		3.7e-81	271.2
strain_GIC31_complete_genome_499836_500780_+	VOG00055		3e-68	228.7
strain_GIC31_complete_genome_493254_494270_-	VOG00055		5.5e-67	224.4
strain_GIC31_complete_genome_323825_325804_+	VOG00055		2.5e-40	135.6
strain_GIC31_complete_genome_1328156_1329193_-	VOG00055		1.2e-17	61.5
strain_GIC31_complete_genome_1349896_1350906_-	VOG00056		4.1e-61	202.6
strain_GIC31_complete_genome_1190737_1191621_+	VOG00056		4e-60	201.5
strain_GIC31_complete_genome_1722772_1723653_-	VOG00056		1.3e-50	170.0
strain_GIC31_complete_genome_512872_513741_-	VOG00056		1e-48	163.9
strain_GIC31_complete_genome_1222135_1223145_-	VOG00056		6.1e-10	35.8
strain_GIC31_complete_genome_529717_530742_+	VOG00060		3.1e-15	52.8
strain_GIC31_complete_genome_1058407_1059315_+	VOG00060		3.9e-13	45.4
strain_GIC31_complete_genome_1991746_1992342_-	VOG00060		1.7e-12	39.6
strain_GIC31_complete_genome_2865280_2866662_-	VOG00060		1.7e-08	30.5
strain_GIC31_complete_genome_152734_153276_-	VOG00066		3.4e-08	30.9
strain_GIC31_complete_genome_2821200_2822381_-	VOG00072		2.7e-115	383.6
strain_GIC31_complete_genome_180569_181741_-	VOG00072		2.5e-114	380.6
strain_GIC31_complete_genome_465305_466504_-	VOG00072		4.4e-104	346.8
strain_GIC31_complete_genome_970091_971329_+	VOG00072		4.9e-98	326.7
strain_GIC31_complete_genome_449059_450150_+	VOG00072		2.4e-94	314.6
strain_GIC31_complete_genome_994058_996655_+	VOG00075		8.8e-116	385.3
strain_GIC31_complete_genome_1601554_1602711_-	VOG00075		6.8e-08	28.4
strain_GIC31_complete_genome_1682303_1686667_-	VOG00088		5.3e-30	101.1
strain_GIC31_complete_genome_1615983_1618802_-	VOG00088		1.4e-26	90.5
strain_GIC31_complete_genome_1285497_1286063_-	VOG00088		7.4e-20	68.6
strain_GIC31_complete_genome_2489034_2489495_+	VOG00089		2.1e-19	67.0
strain_GIC31_complete_genome_1408534_1409043_-	VOG00089		2.2e-18	63.7
strain_GIC31_complete_genome_744138_744965_+	VOG00089		7.9e-28	60.5
strain_GIC31_complete_genome_1838312_1838755_+	VOG00089		1.6e-16	57.7
strain_GIC31_complete_genome_139717_140151_+	VOG00089		4e-15	53.2
strain_GIC31_complete_genome_1638472_1639173_-	VOG00106		1.2e-13	47.8
strain_GIC31_complete_genome_2108252_2108977_-	VOG00106		2.2e-11	40.4
strain_GIC31_complete_genome_2807870_2810764_-	VOG00107		9.9e-52	173.2
strain_GIC31_complete_genome_2046595_2048784_+	VOG00107		8.5e-51	170.1
strain_GIC31_complete_genome_2281134_2282663_-	VOG00107		9e-32	107.3
strain_GIC31_complete_genome_777184_779160_+	VOG00107		5.6e-30	100.1
strain_GIC31_complete_genome_2832817_2834262_+	VOG00107		2.5e-27	92.6
strain_GIC31_complete_genome_2081980_2082198_-	VOG00110		2e-07	27.5
strain_GIC31_complete_genome_1903396_1905606_-	VOG00111		3.7e-76	254.5
strain_GIC31_complete_genome_897561_899960_-	VOG00122		2.2e-217	721.9
strain_GIC31_complete_genome_2536614_2537075_-	VOG00123		2.2e-22	77.7
strain_GIC31_complete_genome_1572721_1573167_+	VOG00123		1.3e-20	71.9
strain_GIC31_complete_genome_1359919_1360461_-	VOG00123		9.7e-15	52.6
strain_GIC31_complete_genome_2342436_2343005_-	VOG00123		1.9e-13	48.1
strain_GIC31_complete_genome_409862_410392_-	VOG00123		1.3e-10	39.2
strain_GIC31_complete_genome_2261333_2262439_+	VOG00127		4.5e-09	32.9
strain_GIC31_complete_genome_2396977_2398050_+	VOG00127		5.8e-08	27.0
strain_GIC31_complete_genome_1947153_1947929_+	VOG00129		1.6e-14	51.2
strain_GIC31_complete_genome_909086_909559_+	VOG00129		2.8e-11	40.3
strain_GIC31_complete_genome_2268467_2268946_+	VOG00129		9.1e-11	38.9
strain_GIC31_complete_genome_1357954_1358565_+	VOG00129		5.2e-10	36.4
strain_GIC31_complete_genome_1419006_1419725_+	VOG00137		3.1e-32	109.3
strain_GIC31_complete_genome_2066540_2067844_-	VOG00137		3.5e-30	102.7
strain_GIC31_complete_genome_250229_251764_+	VOG00137		5.3e-31	101.1
strain_GIC31_complete_genome_151104_152096_+	VOG00137		2.5e-29	99.9
strain_GIC31_complete_genome_420158_420874_-	VOG00137		4.1e-28	95.7
strain_GIC31_complete_genome_1066747_1067841_+	VOG00158		9.6e-69	204.9
strain_GIC31_complete_genome_2550797_2551501_-	VOG00158		6.2e-58	194.1
strain_GIC31_complete_genome_203745_204305_-	VOG00158		3.1e-23	76.1
strain_GIC31_complete_genome_109014_109589_+	VOG00158		4.5e-22	73.0
strain_GIC31_complete_genome_62695_63438_+	VOG00158		2.5e-21	72.4
strain_GIC31_complete_genome_1623243_1624364_-	VOG00164		7.3e-17	58.2
strain_GIC31_complete_genome_542170_543324_+	VOG00164		6.2e-14	49.1
strain_GIC31_complete_genome_504372_505550_+	VOG00164		5.6e-08	28.6
strain_GIC31_complete_genome_2794672_2796540_+	VOG00182		8e-44	147.7
strain_GIC31_complete_genome_2245445_2246623_-	VOG00184		3.9e-102	294.9
strain_GIC31_complete_genome_1727312_1728103_-	VOG00196		1.2e-06	25.5
strain_GIC31_complete_genome_2071354_2072211_+	VOG00211		5e-10	36.2
strain_GIC31_complete_genome_922436_922948_+	VOG00248		2.1e-24	83.6
strain_GIC31_complete_genome_251914_252588_+	VOG00259		1e-24	74.3
strain_GIC31_complete_genome_2787384_2788058_+	VOG00259		1e-24	74.3
strain_GIC31_complete_genome_522684_522968_+	VOG00259		7e-17	59.2
strain_GIC31_complete_genome_702451_703251_+	VOG00261		8.6e-33	111.1
strain_GIC31_complete_genome_1382963_1383811_-	VOG00261		4.5e-21	72.1
strain_GIC31_complete_genome_1264518_1265405_+	VOG00261		5.8e-21	71.9
strain_GIC31_complete_genome_1919559_1920410_+	VOG00261		2.2e-21	69.9
strain_GIC31_complete_genome_809963_810727_+	VOG00261		3.6e-18	62.8
strain_GIC31_complete_genome_1260678_1263689_+	VOG00264		6.1e-47	90.1
strain_GIC31_complete_genome_2048944_2050929_+	VOG00264		4.2e-24	82.1
strain_GIC31_complete_genome_1738644_1742210_-	VOG00264		6.7e-42	76.8
strain_GIC31_complete_genome_1738644_1742210_-	VOG00264		6.7e-42	70.3
strain_GIC31_complete_genome_1134782_1136479_+	VOG00264		6.9e-21	45.3
strain_GIC31_complete_genome_382707_384116_-	VOG00272		1.5e-24	82.1
strain_GIC31_complete_genome_2523647_2523931_-	VOG00279		1.5e-14	50.9
strain_GIC31_complete_genome_2904620_2906296_+	VOG00282		5.3e-34	115.3
strain_GIC31_complete_genome_1939623_1940618_-	VOG00282		6.3e-15	52.1
strain_GIC31_complete_genome_361810_362421_+	VOG00282		6.5e-12	42.3
strain_GIC31_complete_genome_2516499_2518391_-	VOG00282		1.6e-09	34.1
strain_GIC31_complete_genome_2466501_2468297_-	VOG00288		5.4e-95	317.0
strain_GIC31_complete_genome_114252_116048_+	VOG00288		3.1e-93	311.3
strain_GIC31_complete_genome_2852524_2853876_-	VOG00297		1.3e-94	315.6
strain_GIC31_complete_genome_1722212_1722760_-	VOG00301		1.9e-12	44.1
