L1	KO	Function	EC	Count
Function unknown	VOG00002	sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559		1
Virus protein with function beneficial for the host	VOG00004	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122		1
Virus protein with function beneficial for the host	VOG00025	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818		1
Virus protein with function beneficial for the host	VOG00033	sp|P00276|GLRX_BPT4 Glutaredoxin		1
Virus protein with function beneficial for the host | Virus structure	VOG00051	sp|O64333|TIPK_BPN15 Tail tip assembly protein K		1
Virus protein with function beneficial for the host	VOG00055	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1		1
Virus protein with function beneficial for the host | Virus replication	VOG00056	sp|P22877|INTR_SACER Integrase		1
Virus protein with function beneficial for the host	VOG00060	sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase		1
Function unknown	VOG00066	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI		1
Virus replication	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease		1
Virus protein with function beneficial for the host | Virus replication	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase		1
Function unknown	VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00089	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase		1
Virus protein with function beneficial for the host	VOG00106	sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8		1
Virus protein with function beneficial for the host	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW		1
Function unknown	VOG00110	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59		1
Virus protein with function beneficial for the host | Virus replication	VOG00111	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda		1
Virus protein with function beneficial for the host	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha		1
Virus protein with function beneficial for the host	VOG00123	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2		1
Function unknown	VOG00127	REFSEQ radical SAM domain-containing protein		1
Function unknown	VOG00129	sp|Q196U9|VF414_IIV3 Putative hydrolase 111R		1
Function unknown	VOG00137	REFSEQ peptidase		1
Virus protein with function beneficial for the host	VOG00158	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor		1
Function unknown	VOG00164	sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356		1
Virus protein with function beneficial for the host | Virus replication	VOG00182	sp|P03690|VR2A_BPT4 Protein rIIA		1
Virus protein with function beneficial for the host | Virus replication	VOG00184	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB		1
Function unknown	VOG00196	sp|O64253|VG61_BPMD2 Gene 61 protein		1
