	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001003.1_1	QGNH01001003.1	QGNH01001003.1	1	1	129	-1	E											0	False	F
QGNH01001003.1_2	QGNH01001003.1	QGNH01001003.1	2	238	1473	-1	E											0	False	F
QGNH01001003.1_3	QGNH01001003.1	QGNH01001003.1	3	1549	1830	-1	E											0	False	F
QGNH01001003.1_4	QGNH01001003.1	QGNH01001003.1	4	1879	2280	-1	E											0	False	F
QGNH01001003.1_5	QGNH01001003.1	QGNH01001003.1	5	2321	2761	-1	E											0	False	F
QGNH01001003.1_6	QGNH01001003.1	QGNH01001003.1	6	2872	3039	1	E											0	False	F
QGNH01001003.1_7	QGNH01001003.1	QGNH01001003.1	7	3036	3422	-1	E											0	False	F
QGNH01001003.1_8	QGNH01001003.1	QGNH01001003.1	8	3479	3760	-1	E											0	False	F
QGNH01001003.1_9	QGNH01001003.1	QGNH01001003.1	9	3763	4224	-1	E											0	False	F
QGNH01001003.1_10	QGNH01001003.1	QGNH01001003.1	10	4269	6137	-1	E	YP_002122381.1	YP_002122381.1 V20 [Sputnik virophage]	False	0.243	196.0	1.348e-50		VOG05312	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20; Xs	Xs	0	False	VF
QGNH01001003.1_11	QGNH01001003.1	QGNH01001003.1	11	6203	7237	-1	E	YP_008859634.1	YP_008859634.1 minor virion protein [Zamilon virus]	False	0.197	76.0	2.346e-13		VOG03088	sp|B4YNF9|V19_SPTNK Structural protein V19; Xs	Xs	0	False	VF
QGNH01001003.1_12	QGNH01001003.1	QGNH01001003.1	12	7268	7780	1	E	YP_008859641.1	YP_008859641.1 hypothetical protein X812_gp12 [Zamilon virus]	False	0.433	121.0	1.775e-30		VOG16709	sp|B4YNE9|V9_SPTNK Uncharacterized protein V9; Xu	Xu	0	False	F
QGNH01001003.1_13	QGNH01001003.1	QGNH01001003.1	13	7775	8341	-1	D							Methyltransferase domain [PF13578.9]				0	False	F
QGNH01001003.1_14	QGNH01001003.1	QGNH01001003.1	14	8373	8717	-1	E											1	False	F
QGNH01001003.1_15	QGNH01001003.1	QGNH01001003.1	15	8765	9868	-1	E	YP_008859647.1	YP_008859647.1 DNA packaging protein [Zamilon virus]	False	0.357	129.0	1.359e-30		VOG05703	sp|B4YNE3|V3_SPTNK Uncharacterized protein V3; Xu	Xu	0	False	F
QGNH01001003.1_16	QGNH01001003.1	QGNH01001003.1	16	10062	11372	-1	E											0	False	F
QGNH01001003.1_17	QGNH01001003.1	QGNH01001003.1	17	11424	11939	-1	E											0	False	F
