	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_048136.1_NC_048136.1_1	NC_048136.1	NC_048136.1	1	933	1433	1	D			DNA mimic ocr [PF08684.13]	0
NC_048136.1_NC_048136.1_2	NC_048136.1	NC_048136.1	2	1433	1588	1	E				0
NC_048136.1_NC_048136.1_3	NC_048136.1	NC_048136.1	3	1590	1715	1	E				0
NC_048136.1_NC_048136.1_4	NC_048136.1	NC_048136.1	4	1874	2068	1	E				0
NC_048136.1_NC_048136.1_5	NC_048136.1	NC_048136.1	5	2068	2394	1	E				0
NC_048136.1_NC_048136.1_6	NC_048136.1	NC_048136.1	6	2498	5179	1	C	K21313	Escherichia phage RNA polymerase [EC:2.7.7.6]	DNA-dependent RNA polymerase [PF00940.22]; DNA-directed RNA polymerase N-terminal [PF14700.9]	0
NC_048136.1_NC_048136.1_7	NC_048136.1	NC_048136.1	7	5192	5407	1	E				0
NC_048136.1_NC_048136.1_8	NC_048136.1	NC_048136.1	8	5579	5758	1	E				0
NC_048136.1_NC_048136.1_9	NC_048136.1	NC_048136.1	9	5763	6026	1	D			Bacteriophage T7-like, gene 1.2 [PF10922.11]	0
NC_048136.1_NC_048136.1_10	NC_048136.1	NC_048136.1	10	6026	7093	1	D			DNA ligase C-terminal domain [PF17879.4]; ATP dependent DNA ligase domain [PF01068.24]	0
NC_048136.1_NC_048136.1_11	NC_048136.1	NC_048136.1	11	7225	7485	1	E				0
NC_048136.1_NC_048136.1_12	NC_048136.1	NC_048136.1	12	7478	7786	1	E				0
NC_048136.1_NC_048136.1_13	NC_048136.1	NC_048136.1	13	7864	8022	1	D			RNA polymerase inhibitor [PF16857.8]	0
NC_048136.1_NC_048136.1_14	NC_048136.1	NC_048136.1	14	8080	8778	1	C	K25280	Escherichia phage single-stranded DNA-binding protein		0
NC_048136.1_NC_048136.1_15	NC_048136.1	NC_048136.1	15	8814	9233	1	C	K21525	Escherichia phage endonuclease I [EC:3.1.21.2]	Phage endonuclease I [PF05367.14]	0
NC_048136.1_NC_048136.1_16	NC_048136.1	NC_048136.1	16	9230	9460	1	E				0
NC_048136.1_NC_048136.1_17	NC_048136.1	NC_048136.1	17	9450	9908	1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	N-acetylmuramoyl-L-alanine amidase [PF01510.28]	0
NC_048136.1_NC_048136.1_18	NC_048136.1	NC_048136.1	18	9922	10134	1	E				0
NC_048136.1_NC_048136.1_19	NC_048136.1	NC_048136.1	19	10203	11903	1	C	K21502	Escherichia phage DNA primase/helicase [EC:2.7.7.- 5.6.2.3]	DnaB-like helicase C terminal domain [PF03796.18]; Toprim-like [PF13155.9]; KaiC [PF06745.16]	0
NC_048136.1_NC_048136.1_20	NC_048136.1	NC_048136.1	20	11920	12450	1	E				0
NC_048136.1_NC_048136.1_21	NC_048136.1	NC_048136.1	21	12523	14541	1	C	K21238	Escherichia phage DNA-directed DNA polymerase [EC:2.7.7.7]	DNA polymerase family A [PF00476.23]	0
NC_048136.1_NC_048136.1_22	NC_048136.1	NC_048136.1	22	14621	15016	1	D			HNH endonuclease [PF13392.9]	0
NC_048136.1_NC_048136.1_23	NC_048136.1	NC_048136.1	23	15119	15292	1	E				0
NC_048136.1_NC_048136.1_24	NC_048136.1	NC_048136.1	24	15292	15582	1	D			Bacteriophage T7, gene 5.5 [PF11247.11]	0
NC_048136.1_NC_048136.1_25	NC_048136.1	NC_048136.1	25	15579	15788	1	E				0
