	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000817.1_1	QGNH01000817.1	QGNH01000817.1	1	48	1025	-1	E					0	False	F
QGNH01000817.1_2	QGNH01000817.1	QGNH01000817.1	2	1047	2492	1	E					0	False	F
QGNH01000817.1_3	QGNH01000817.1	QGNH01000817.1	3	2489	2896	-1	E					0	False	F
QGNH01000817.1_4	QGNH01000817.1	QGNH01000817.1	4	3036	3608	1	E					0	False	F
QGNH01000817.1_5	QGNH01000817.1	QGNH01000817.1	5	3499	4953	-1	E					0	False	F
QGNH01000817.1_6	QGNH01000817.1	QGNH01000817.1	6	5029	9354	1	E					0	False	
QGNH01000817.1_7	QGNH01000817.1	QGNH01000817.1	7	9319	11613	-1	E					0	False	
QGNH01000817.1_8	QGNH01000817.1	QGNH01000817.1	8	11698	13134	1	E					0	False	
QGNH01000817.1_9	QGNH01000817.1	QGNH01000817.1	9	13232	14380	1	E					0	False	F
QGNH01000817.1_10	QGNH01000817.1	QGNH01000817.1	10	14416	17394	1	E					0	False	F
QGNH01000817.1_11	QGNH01000817.1	QGNH01000817.1	11	17391	17732	-1	E					0	False	F
QGNH01000817.1_12	QGNH01000817.1	QGNH01000817.1	12	17726	18169	-1	D	Protein of unknown function (DUF498/DUF598) [PF04430.17]	VOG22938	sp|Q32PA8|AAMDC_BOVIN Mth938 domain-containing protein; Xu	Xu	0	False	F
QGNH01000817.1_13	QGNH01000817.1	QGNH01000817.1	13	18418	18519	-1	E					0	False	F
