	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_020082.1_1	NC_020082.1	NC_020082.1	1	1	498	1	C	K07474	phage terminase small subunit	YP_007348914.1	YP_007348914.1 putative terminase, small subunit [Edwardsiella phage MSW-3]	False	0.937	326.0	8.782e-102	Terminase small subunit [PF03592.19]					VOG01634	sp|P68928|TERS_BPSF6 Terminase small subunit; Xr	Xr	0	False	VF
NC_020082.1_2	NC_020082.1	NC_020082.1	2	485	1873	1	C	K06909	phage terminase large subunit	YP_007348915.1	YP_007348915.1 terminase large subunit [Edwardsiella phage MSW-3]	True	0.979	956.0	4.586e-314	Phage terminase large subunit [PF04466.16]					VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
NC_020082.1_3	NC_020082.1	NC_020082.1	3	1870	2085	1	E			YP_007348916.1	YP_007348916.1 hypothetical protein G428_gp03 [Edwardsiella phage MSW-3]	False	1.0	115.0	3.467e-30									0	False	F
NC_020082.1_4	NC_020082.1	NC_020082.1	4	2130	3503	1	C	K09961	uncharacterized protein	YP_007348917.1	YP_007348917.1 portal protein [Edwardsiella phage MSW-3]	True	0.97	935.0	4.726e-307	Protein of unknown function (DUF1073) [PF06381.14]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
NC_020082.1_5	NC_020082.1	NC_020082.1	5	3504	4238	-1	E			YP_007348918.1	YP_007348918.1 hypothetical protein G428_gp05 [Edwardsiella phage MSW-3]	True	0.985	351.0	5.886000000000002e-109						VOG26274	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_020082.1_6	NC_020082.1	NC_020082.1	6	4304	6091	1	D			YP_007348919.1	YP_007348919.1 head protein [Edwardsiella phage MSW-3]	True	0.978	1229.0	0.0	Phage Mu protein F like protein [PF04233.17]; Intein splicing domain [PF14890.9]					VOG14588	REFSEQ head protein; Xu	Xu	0	False	F
NC_020082.1_7	NC_020082.1	NC_020082.1	7	6088	6285	-1	E			YP_007348920.1	YP_007348920.1 hypothetical protein G428_gp07 [Edwardsiella phage MSW-3]	False	1.0	68.0	3.487e-14									0	False	
NC_020082.1_8	NC_020082.1	NC_020082.1	8	6290	6448	-1	E			YP_007348921.1	YP_007348921.1 hypothetical protein G428_gp08 [Edwardsiella phage MSW-3]	False	0.95	82.0	2.658e-19									0	False	
NC_020082.1_9	NC_020082.1	NC_020082.1	9	6685	7035	-1	E			YP_009004701.1	YP_009004701.1 hypothetical protein CH09_gp54 [Edwardsiella phage eiAU-183]	False	0.387	79.0	8.887e-17						VOG27210	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_10	NC_020082.1	NC_020082.1	10	7038	7319	-1	E			YP_007348924.1	YP_007348924.1 hypothetical protein G428_gp11 [Edwardsiella phage MSW-3]	False	1.0	201.0	1.118e-59						VOG26273	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_11	NC_020082.1	NC_020082.1	11	7319	7942	-1	E			YP_007348925.1	YP_007348925.1 hypothetical protein G428_gp12 [Edwardsiella phage MSW-3]	True	1.0	459.0	5.977e-147						VOG01219	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_12	NC_020082.1	NC_020082.1	12	7989	9212	1	C	K09960	uncharacterized protein	YP_007348926.1	YP_007348926.1 head maturation protease [Edwardsiella phage MSW-3]	True	0.931	796.0	1.247e-259	Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					VOG02460	sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405; Xu	Xu	0	False	
NC_020082.1_13	NC_020082.1	NC_020082.1	13	9212	9709	1	E			YP_007348927.1	YP_007348927.1 virion structural protein [Edwardsiella phage MSW-3]	False	0.908	315.0	6.042e-98									0	False	
NC_020082.1_14	NC_020082.1	NC_020082.1	14	9714	10778	1	D			YP_007348928.1	YP_007348928.1 major head protein [Edwardsiella phage MSW-3]	True	0.981	734.0	2.331e-239	Uncharacterized protein conserved in bacteria (DUF2184) [PF09950.12]					VOG02112	sp|A0A0U5AF03|CAPSD_BPK22 Major capsid protein; Xs	Xs	0	False	V
NC_020082.1_15	NC_020082.1	NC_020082.1	15	11116	11385	1	E			YP_007348929.1	YP_007348929.1 hypothetical protein G428_gp16 [Edwardsiella phage MSW-3]	False	0.955	181.0	6.752999999999999e-53						VOG26276	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_16	NC_020082.1	NC_020082.1	16	11551	11889	1	E			YP_007348930.1	YP_007348930.1 hypothetical protein G428_gp17 [Edwardsiella phage MSW-3]	False	1.0	240.0	7.329999999999999e-73									0	False	
NC_020082.1_17	NC_020082.1	NC_020082.1	17	11886	12338	1	E			YP_007348931.1	YP_007348931.1 hypothetical protein G428_gp18 [Edwardsiella phage MSW-3]	False	0.789	244.0	1.023e-73									0	False	
NC_020082.1_18	NC_020082.1	NC_020082.1	18	12469	12648	-1	E			YP_007348932.1	YP_007348932.1 hypothetical protein G428_gp19 [Edwardsiella phage MSW-3]	False	0.956	121.0	1.187e-32									0	False	
NC_020082.1_19	NC_020082.1	NC_020082.1	19	12645	13124	-1	E			YP_007348933.1	YP_007348933.1 hypothetical protein G428_gp20 [Edwardsiella phage MSW-3]	False	0.963	324.0	3.194e-101						VOG04081	sp|Q03547|VEAE_BPP22 Eae protein; Xu	Xu	0	False	
NC_020082.1_20	NC_020082.1	NC_020082.1	20	13197	13619	1	D			YP_007348934.1	YP_007348934.1 virion structural protein [Edwardsiella phage MSW-3]	False	1.0	300.0	4.047e-93	Protein of unknown function (DUF4054) [PF13262.9]					VOG00732	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_020082.1_21	NC_020082.1	NC_020082.1	21	13918	14511	1	E			YP_007348935.1	YP_007348935.1 tail completion or Neck1 protein [Edwardsiella phage MSW-3]	True	0.958	399.0	2.468e-126						VOG02678	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
NC_020082.1_22	NC_020082.1	NC_020082.1	22	14513	14872	1	E			YP_007348936.1	YP_007348936.1 hypothetical protein G428_gp23 [Edwardsiella phage MSW-3]	False	0.995	252.0	4.197e-77						VOG00405	REFSEQ minor head protein; Xu	Xu	0	False	
NC_020082.1_23	NC_020082.1	NC_020082.1	23	14862	15380	1	E			YP_007348937.1	YP_007348937.1 hypothetical protein G428_gp24 [Edwardsiella phage MSW-3]	True	0.967	352.0	1.105e-110						VOG04135	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_24	NC_020082.1	NC_020082.1	24	15445	16587	1	D			YP_007348938.1	YP_007348938.1 tail sheath [Edwardsiella phage MSW-3]	True	0.97	778.0	5.084e-254	Protein of unknown function (DUF3383) [PF11863.11]					VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	
NC_020082.1_25	NC_020082.1	NC_020082.1	25	16601	17005	1	E			YP_007348939.1	YP_007348939.1 hypothetical protein G428_gp26 [Edwardsiella phage MSW-3]	False	0.945	268.0	2.83e-82						VOG03723	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10; Xs	Xs	0	False	V
NC_020082.1_26	NC_020082.1	NC_020082.1	26	17005	17406	1	E			YP_007348940.1	YP_007348940.1 hypothetical protein G428_gp27 [Edwardsiella phage MSW-3]	False	0.945	266.0	1.3079999999999998e-81						VOG00091	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
NC_020082.1_27	NC_020082.1	NC_020082.1	27	17555	18214	1	E			YP_007348941.1	YP_007348941.1 tail fiber protein [Edwardsiella phage MSW-3]	True	0.944	436.0	9.312e-139						VOG01485	REFSEQ tail fiber protein; Xu	Xu	0	False	
NC_020082.1_28	NC_020082.1	NC_020082.1	28	18211	18507	1	E			YP_007348942.1	YP_007348942.1 virion structural protein [Edwardsiella phage MSW-3]	False	1.0	209.0	1.365e-62						VOG00258	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_020082.1_29	NC_020082.1	NC_020082.1	29	18508	18648	-1	E			YP_007348943.1	YP_007348943.1 hypothetical protein G428_gp30 [Edwardsiella phage MSW-3]	False	0.945	94.0	1.94e-23						VOG26275	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_30	NC_020082.1	NC_020082.1	30	18635	18991	-1	E			YP_007348944.1	YP_007348944.1 hypothetical protein G428_gp31 [Edwardsiella phage MSW-3]	False	0.975	226.0	4.541e-68						VOG26277	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_31	NC_020082.1	NC_020082.1	31	18981	19331	-1	E			YP_008869247.1	YP_008869247.1 hypothetical protein X848_gp34 [Edwardsiella phage PEi21]	False	0.932	229.0	6.191000000000001e-69						VOG00540	sp|O64212|VG19_BPMD2 Gene 19 protein; Xu	Xu	0	False	
NC_020082.1_32	NC_020082.1	NC_020082.1	32	19328	19546	-1	E			YP_007348946.1	YP_007348946.1 hypothetical protein G428_gp33 [Edwardsiella phage MSW-3]	False	1.0	157.0	6.974e-45						VOG14589	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_020082.1_33	NC_020082.1	NC_020082.1	33	19540	19815	-1	D			YP_007348947.1	YP_007348947.1 hypothetical protein G428_gp34 [Edwardsiella phage MSW-3]	False	1.0	199.0	2.615e-59	Bacteriophage P22, NinX [PF10765.12]					VOG00711	sp|Q38665|NINX_BPP22 Putative protein ninX; Xu	Xu	0	False	
NC_020082.1_34	NC_020082.1	NC_020082.1	34	19875	21158	1	E			YP_007348948.1	YP_007348948.1 tail fiber protein/ lysozyme [Edwardsiella phage MSW-3]	True	0.921	824.0	3.2509999999999995e-269									0	False	
NC_020082.1_35	NC_020082.1	NC_020082.1	35	21155	22546	1	D			YP_007348949.1	YP_007348949.1 hypothetical protein G428_gp36 [Edwardsiella phage MSW-3]	True	0.971	948.0	1.911e-311	Transglycosylase SLT domain [PF01464.23]					VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	
NC_020082.1_36	NC_020082.1	NC_020082.1	36	22681	23406	1	D			YP_008869253.1	YP_008869253.1 baseplate spike [Edwardsiella phage PEi21]	True	0.942	479.0	4.261e-153	Phage protein Gp138 N-terminal domain [PF18352.4]; GpV Apex motif [PF18946.3]					VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xp;Xh;Xs	0	False	V
NC_020082.1_37	NC_020082.1	NC_020082.1	37	23403	23774	1	E			YP_008869254.1	YP_008869254.1 baseplate wedge subunit [Edwardsiella phage PEi21]	False	0.942	245.0	1.502e-74									0	False	
