	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000357.1_1	QGNH01000357.1	QGNH01000357.1	1	1	141	-1	E																		0	False	F
QGNH01000357.1_2	QGNH01000357.1	QGNH01000357.1	2	200	346	1	E																		0	False	F
QGNH01000357.1_3	QGNH01000357.1	QGNH01000357.1	3	356	625	1	E																		0	False	F
QGNH01000357.1_4	QGNH01000357.1	QGNH01000357.1	4	564	707	-1	E																		0	False	F
QGNH01000357.1_5	QGNH01000357.1	QGNH01000357.1	5	748	3696	-1	D	YP_009618565.1	YP_009618565.1 tail protein [Shigella phage Sf14]	False	0.319	130.0	4.275e-29	MER0218250	I43	MER0218250 - family I43 unassigned peptidase inhibitors (Pedosphaera parvula) [I43.UPW]#I43#{inhibitor unit: 679-746}~source ZP_03629640~	False	70.0	1.785e-10	0.524	Immunoglobulin I-set domain [PF07679.19]; Immunoglobulin domain [PF13927.9]; Immunoglobulin domain [PF13895.9]	VOG17365	sp|P18056|HOC_BPT4 Highly immunogenic outer capsid protein; Xs	Xs	0	False	VPF
QGNH01000357.1_6	QGNH01000357.1	QGNH01000357.1	6	4011	4430	1	E																		0	False	F
QGNH01000357.1_7	QGNH01000357.1	QGNH01000357.1	7	4535	4912	1	E																		0	False	F
QGNH01000357.1_8	QGNH01000357.1	QGNH01000357.1	8	4930	5436	1	E	YP_009100957.1	YP_009100957.1 hypothetical protein N22_050 [Idiomarinaceae phage 1N2-2]	False	0.283	72.0	1.178e-13												0	False	F
QGNH01000357.1_9	QGNH01000357.1	QGNH01000357.1	9	5426	5704	-1	E																		0	False	
QGNH01000357.1_10	QGNH01000357.1	QGNH01000357.1	10	5722	6042	1	E																		0	False	
QGNH01000357.1_11	QGNH01000357.1	QGNH01000357.1	11	6011	6268	-1	E																		0	False	F
QGNH01000357.1_12	QGNH01000357.1	QGNH01000357.1	12	6473	6604	-1	E																		0	False	F
QGNH01000357.1_13	QGNH01000357.1	QGNH01000357.1	13	6688	7155	-1	E																		0	False	F
QGNH01000357.1_14	QGNH01000357.1	QGNH01000357.1	14	7180	7374	-1	E																		0	False	F
QGNH01000357.1_15	QGNH01000357.1	QGNH01000357.1	15	7627	7887	1	E																		0	False	F
QGNH01000357.1_16	QGNH01000357.1	QGNH01000357.1	16	7966	8214	-1	E																		0	False	F
QGNH01000357.1_17	QGNH01000357.1	QGNH01000357.1	17	8211	8630	-1	E																		0	False	F
QGNH01000357.1_18	QGNH01000357.1	QGNH01000357.1	18	8627	8827	-1	E																		0	False	F
QGNH01000357.1_19	QGNH01000357.1	QGNH01000357.1	19	8837	9043	-1	E																		0	False	F
QGNH01000357.1_20	QGNH01000357.1	QGNH01000357.1	20	9059	9523	1	E																		0	False	F
QGNH01000357.1_21	QGNH01000357.1	QGNH01000357.1	21	9548	9856	1	E																		0	False	F
QGNH01000357.1_22	QGNH01000357.1	QGNH01000357.1	22	10363	10503	1	E																		0	False	F
QGNH01000357.1_23	QGNH01000357.1	QGNH01000357.1	23	10852	11112	-1	E																		0	False	F
