	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001147.1_1	QGNH01001147.1	QGNH01001147.1	1	50	1366	-1	E															0	False	F
QGNH01001147.1_2	QGNH01001147.1	QGNH01001147.1	2	1540	1803	-1	E															0	False	F
QGNH01001147.1_3	QGNH01001147.1	QGNH01001147.1	3	1912	2073	1	E															0	False	F
QGNH01001147.1_4	QGNH01001147.1	QGNH01001147.1	4	2188	3405	1	E															0	False	F
QGNH01001147.1_5	QGNH01001147.1	QGNH01001147.1	5	3456	5837	1	E															0	False	F
QGNH01001147.1_6	QGNH01001147.1	QGNH01001147.1	6	6054	6350	-1	E															0	False	
QGNH01001147.1_7	QGNH01001147.1	QGNH01001147.1	7	6981	8771	-1	E															0	False	
QGNH01001147.1_8	QGNH01001147.1	QGNH01001147.1	8	8784	10484	-1	E															0	False	
QGNH01001147.1_9	QGNH01001147.1	QGNH01001147.1	9	10481	14329	-1	E															0	False	
QGNH01001147.1_10	QGNH01001147.1	QGNH01001147.1	10	14329	19773	-1	E															0	False	
QGNH01001147.1_11	QGNH01001147.1	QGNH01001147.1	11	20596	20754	1	E															0	False	
QGNH01001147.1_12	QGNH01001147.1	QGNH01001147.1	12	20833	22695	1	D							Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]								0	False	
QGNH01001147.1_13	QGNH01001147.1	QGNH01001147.1	13	23028	23276	-1	E															0	False	
QGNH01001147.1_14	QGNH01001147.1	QGNH01001147.1	14	23436	24095	1	E															0	False	
