	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001323.1_1	QGNH01001323.1	QGNH01001323.1	1	3	482	-1	E															0	False	F
QGNH01001323.1_2	QGNH01001323.1	QGNH01001323.1	2	492	1157	-1	E															0	False	F
QGNH01001323.1_3	QGNH01001323.1	QGNH01001323.1	3	1198	1530	-1	E															0	False	F
QGNH01001323.1_4	QGNH01001323.1	QGNH01001323.1	4	1527	3125	-1	D	YP_010677000.1	YP_010677000.1 head closure Hc3 [Shewanella phage X14]	False	0.223	89.0	7.267e-17	Phage stabilisation protein [PF11134.11]					VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	F
QGNH01001323.1_5	QGNH01001323.1	QGNH01001323.1	5	3158	3862	-1	E															0	False	F
QGNH01001323.1_6	QGNH01001323.1	QGNH01001323.1	6	3961	4737	-1	E															0	False	F
QGNH01001323.1_7	QGNH01001323.1	QGNH01001323.1	7	4800	6122	-1	E															0	False	F
QGNH01001323.1_8	QGNH01001323.1	QGNH01001323.1	8	6187	6948	-1	E															0	False	
QGNH01001323.1_9	QGNH01001323.1	QGNH01001323.1	9	7184	7393	-1	E															0	False	
QGNH01001323.1_10	QGNH01001323.1	QGNH01001323.1	10	7390	7605	-1	E															0	False	
QGNH01001323.1_11	QGNH01001323.1	QGNH01001323.1	11	7602	7928	-1	E															0	False	
QGNH01001323.1_12	QGNH01001323.1	QGNH01001323.1	12	7931	8074	-1	E															0	False	
QGNH01001323.1_13	QGNH01001323.1	QGNH01001323.1	13	8071	8283	-1	E															0	False	
QGNH01001323.1_14	QGNH01001323.1	QGNH01001323.1	14	8280	8489	-1	E															0	False	
QGNH01001323.1_15	QGNH01001323.1	QGNH01001323.1	15	8482	8676	-1	E															0	False	
QGNH01001323.1_16	QGNH01001323.1	QGNH01001323.1	16	8660	8848	-1	E															0	False	
QGNH01001323.1_17	QGNH01001323.1	QGNH01001323.1	17	8853	9041	-1	E															0	False	
QGNH01001323.1_18	QGNH01001323.1	QGNH01001323.1	18	9007	9381	-1	E															0	False	
QGNH01001323.1_19	QGNH01001323.1	QGNH01001323.1	19	9371	11593	-1	D	YP_009222589.1	YP_009222589.1 portal protein [Rhodoferax phage P26218]	False	0.171	68.0	2.59e-10	Phage P22-like portal protein [PF16510.8]					VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	V
QGNH01001323.1_20	QGNH01001323.1	QGNH01001323.1	20	11577	13148	-1	E	YP_009823358.1	YP_009823358.1 putative terminase large subunit [Escherichia phage PTXU04]	False	0.395	327.0	9.711e-96						VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01001323.1_21	QGNH01001323.1	QGNH01001323.1	21	13105	13434	-1	E															0	False	
QGNH01001323.1_22	QGNH01001323.1	QGNH01001323.1	22	13739	14173	-1	E	YP_010078509.1	YP_010078509.1 terminase small subunit [Ralstonia phage Heva]	False	0.469	109.0	1.083e-26									0	False	
