	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
AM419438.1_1	AM419438	AM419438.1	1	130	990	1	D			YP_919028.1	YP_919028.1 hypothetical protein BJ1_gp01 [Archaeal BJ1 virus]	True	0.98	593.0	6.990000000000001e-192	Glycosyl transferase family 8 [PF01501.23]	GT8	GT8 lipopolysaccharide alpha-1,3-galactosyltransferase (EC 2.4.1.44); UDP-Glc: (glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.-); lipopolysaccharide glucosyltransferase 1 (EC 2.4.1.58); glycogenin glucosyltransferase (EC 2.4.1.186); inositol 1-alpha-galactosyltransferase (galactinol synthase) (EC 2.4.1.123); homogalacturonan alpha-1,4-galacturonosyltransferase (EC 2.4.1.43); UDP-GlcA: xylan alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Gal:glucoside alpha-1,3-galactosyltransferase (EC 2.4.1.-)	2.4.1.123,2.4.1.186,2.4.1.44,2.4.1.58,2.4.1.-,2.4.2.-	GT8.hmm	VOG02426	sp|P27129|RFAJ_ECOLI Lipopolysaccharide 1,2-glucosyltransferase; Xh	Xh	0	False	F
AM419438.1_2	AM419438	AM419438.1	2	1146	1805	1	E			YP_919029.1	YP_919029.1 hypothetical protein BJ1_gp02 [Archaeal BJ1 virus]	True	0.97	450.0	1.497e-143						VOG01682	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AM419438.1_3	AM419438	AM419438.1	3	1873	2097	1	E																	0	False	F
AM419438.1_4	AM419438	AM419438.1	4	2207	2425	1	E			YP_919031.1	YP_919031.1 hypothetical protein BJ1_gp04 [Archaeal BJ1 virus]	False	1.0	156.0	1.803e-44									0	False	F
AM419438.1_5	AM419438	AM419438.1	5	2541	3191	-1	E			YP_919032.1	YP_919032.1 J domain-containing protein [Archaeal BJ1 virus]	True	0.978	447.0	8.615000000000001e-143						VOG02502	REFSEQ DnaJ-like chaperonin; Xu	Xu	0	False	F
AM419438.1_6	AM419438	AM419438.1	6	3178	3393	-1	E			YP_919033.1	YP_919033.1 hypothetical protein BJ1_gp06 [Archaeal BJ1 virus]	False	0.975	148.0	7.019e-42									0	False	F
AM419438.1_7	AM419438	AM419438.1	7	3598	3993	1	E			YP_919034.1	YP_919034.1 hypothetical protein BJ1_gp07 [Archaeal BJ1 virus]	False	0.959	267.0	8.659999999999998e-82									0	False	F
AM419438.1_8	AM419438	AM419438.1	8	3993	4463	1	E			YP_919035.1	YP_919035.1 hypothetical protein BJ1_gp08 [Archaeal BJ1 virus]	False	0.921	303.0	6.985e-94									0	False	F
AM419438.1_9	AM419438	AM419438.1	9	4456	4851	1	E			YP_919036.1	YP_919036.1 hypothetical protein BJ1_gp09 [Archaeal BJ1 virus]	False	0.99	276.0	4.425000000000001e-85						VOG26248	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AM419438.1_10	AM419438	AM419438.1	10	4844	5218	1	E			YP_919037.1	YP_919037.1 hypothetical protein BJ1_gp10 [Archaeal BJ1 virus]	False	0.987	261.0	7.042e-80									0	False	F
AM419438.1_11	AM419438	AM419438.1	11	5208	5357	1	E			YP_919038.1	YP_919038.1 hypothetical protein BJ1_gp11 [Archaeal BJ1 virus]	False	0.914	96.0	3.38e-24									0	False	
AM419438.1_12	AM419438	AM419438.1	12	5350	5574	1	E			YP_919039.1	YP_919039.1 hypothetical protein BJ1_gp12 [Archaeal BJ1 virus]	False	0.996	158.0	2.984e-45						VOG36397	REFSEQ hypothetical protein; Xu	Xu	0	False	
AM419438.1_13	AM419438	AM419438.1	13	5571	5744	1	E			YP_919040.1	YP_919040.1 hypothetical protein BJ1_gp13 [Archaeal BJ1 virus]	False	0.882	107.0	7.0760000000000005e-28									0	False	
AM419438.1_14	AM419438	AM419438.1	14	5741	5986	1	E			YP_919041.1	YP_919041.1 hypothetical protein BJ1_gp14 [Archaeal BJ1 virus]	False	1.0	177.0	1.073e-51						VOG03162	REFSEQ hypothetical protein; Xu	Xu	0	False	
AM419438.1_15	AM419438	AM419438.1	15	5998	6417	-1	E			YP_919042.1	YP_919042.1 hypothetical protein BJ1_gp15 [Archaeal BJ1 virus]	False	0.927	272.0	1.531e-83									0	False	
AM419438.1_16	AM419438	AM419438.1	16	6637	7713	1	D			YP_919043.1	YP_919043.1 AAA family ATPase [Archaeal BJ1 virus]	True	0.96	724.0	5.413e-236	AAA ATPase domain [PF13191.9]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; AAA domain [PF13401.9]					VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xr;Xh	0	False	V
AM419438.1_17	AM419438	AM419438.1	17	7919	8284	-1	E			YP_919044.1	YP_919044.1 hypothetical protein BJ1_gp17 [Archaeal BJ1 virus]	False	0.911	233.0	3.348e-70									0	False	
