Name	Count
Carbohydrate metabolism	1864
Energy metabolism	486
Amino acid metabolism	1753
Endocrine system	666
Cancer: overview	371
Protein families: genetic information processing	642
Protein families: signaling and cellular processes	2812
Signal transduction	2321
Infectious disease: bacterial	316
Neurodegenerative disease	356
Cardiovascular disease	142
Cellular community - prokaryotes	532
Protein families: metabolism	2617
Membrane transport	792
Lipid metabolism	292
Transport and catabolism	157
Cell growth and death	354
Environmental adaptation	136
Unclassified: metabolism	321
Metabolism of other amino acids	203
Glycan biosynthesis and metabolism	156
Excretory system	31
Digestive system	72
Xenobiotics biodegradation and metabolism	507
Metabolism of cofactors and vitamins	260
Metabolism of terpenoids and polyketides	147
Biosynthesis of other secondary metabolites	232
Cell motility	56
Nucleotide metabolism	411
Aging	69
Replication and repair	124
Sensory system	51
Immune system	537
Infectious disease: viral	441
Cancer: specific types	452
Nervous system	297
Development and regeneration	129
Substance dependence	43
Folding, sorting and degradation	65
Endocrine and metabolic disease	138
Transcription	107
Cellular community - eukaryotes	142
Circulatory system	94
Infectious disease: parasitic	100
Drug resistance: antineoplastic	107
Drug resistance: antimicrobial	44
Translation	23
Immune disease	5
Poorly characterized	8
Unclassified: signaling and cellular processes	1
Unclassified: genetic information processing	2
Viral protein families	1
