Name	Count
01_Fermentation	216
21_Cellular response to stress	227
06_Amino acid utilization biosynthesis metabolism	430
20_Hydrolysis of polymers	95
08_Hydrocarbon degradation	30
10_TCA cycle	24
15_Methylotrophy	22
19_Saccharide and derivated synthesis	134
07_Nucleic acid metabolism	117
14_Methanogenesis	9
05_Fatty acid oxidation	32
02_Homoacetogenesis	32
16_Embden Meyerhof-Parnos (EMP)	30
17_Gluconeogenesis	10
11_Nitrogen cycle	12
13_Hydrogen metabolism	2
18_Sulfur compounds metabolism	26
09_Carbohydrate Active enzyme - CAZy	57
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
12_Transporters	214
