Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP030761.1_662548_663909_-	COG0001		3.3e-141	469.5
NZ_CP030760.1_4863217_4864149_-	COG0002		7.6e-82	272.5
NZ_CP030760.1_2900608_2902038_-	COG0004		5.5e-173	573.7
NZ_CP030760.1_3339832_3340632_+	COG0005		1.3e-92	307.9
NZ_CP030763.1_49944_51422_-	COG0006		7.6e-102	337.8
NZ_CP030760.1_1449320_1451206_-	COG0006		7.7e-100	296.7
NZ_CP030760.1_1651198_1652349_+	COG0006		8.9e-81	269.4
NZ_CP030761.1_146638_148062_+	COG0006		3.5e-60	201.6
NZ_CP030760.1_1449320_1451206_-	COG0006		7.7e-100	33.9
NZ_CP030760.1_1022000_1022839_-	COG0007		2.3e-112	373.6
NZ_CP030760.1_2483321_2484787_+	COG0008		2.8e-163	542.2
NZ_CP030760.1_4103328_4104302_-	COG0009		4.6e-115	382.7
NZ_CP030763.1_741984_744128_-	COG0010		9.7e-102	337.1
NZ_CP030760.1_4864210_4865172_-	COG0010		6.2e-98	325.8
NZ_CP030760.1_2798684_2799886_+	COG0010		2.5e-97	323.6
NZ_CP030760.1_2736643_2737578_+	COG0010		1.3e-89	298.2
NZ_CP030760.1_1662234_1663349_+	COG0012		2.2e-173	573.9
NZ_CP030760.1_825139_827793_-	COG0013		0	1268.8
NZ_CP030763.1_124617_125282_+	COG0013		5.1e-26	56.6
NZ_CP030763.1_124617_125282_+	COG0013		5.1e-26	30.8
NZ_CP030760.1_3043120_3044361_+	COG0014		7.4e-188	622.2
NZ_CP030760.1_788014_789321_+	COG0015		2e-188	624.5
NZ_CP030762.1_122620_123990_+	COG0015		2.4e-155	515.3
NZ_CP030764.1_629141_630217_-	COG0015		7.6e-95	314.6
NZ_CP030760.1_3397203_3398285_+	COG0016		4.1e-163	541.4
NZ_CP030760.1_2296331_2297647_-	COG0017		2.9e-135	448.8
NZ_CP030760.1_297926_299683_+	COG0018		1.2e-191	635.7
NZ_CP030760.1_2673309_2674577_+	COG0019		1.6e-170	565.4
NZ_CP030760.1_2450550_2451683_-	COG0019		3.5e-115	382.8
NZ_CP030760.1_444047_444790_+	COG0020		5.3e-126	418.8
NZ_CP030760.1_2225160_2227133_+	COG0021		0	1032.4
NZ_CP030760.1_463644_465029_+	COG0022		5e-186	617.7
NZ_CP030763.1_11025_12038_-	COG0022		1.7e-175	581.9
NZ_CP030760.1_368463_369299_-	COG0024		1.1e-126	419.7
NZ_CP030760.1_1756116_1756874_-	COG0024		7.6e-89	295.3
NZ_CP030760.1_1194081_1195385_-	COG0025		3.5e-114	380.1
NZ_CP030761.1_212780_214321_-	COG0025		1.1e-113	378.6
NZ_CP030760.1_2271418_2272494_+	COG0026		3.5e-166	550.4
NZ_CP030760.1_1401282_1403132_-	COG0028		3.4e-243	806.0
NZ_CP030760.1_635645_637348_-	COG0028		1.2e-209	695.3
NZ_CP030761.1_525294_526979_-	COG0028		2.3e-195	648.0
NZ_CP030760.1_1510422_1512080_+	COG0028		3.8e-188	624.2
NZ_CP030761.1_118292_119938_+	COG0028		9.1e-181	599.7
NZ_CP030764.1_519998_521539_-	COG0029		1.9e-184	611.2
NZ_CP030760.1_4752076_4752903_-	COG0030		5.9e-97	322.3
NZ_CP030760.1_3460242_3461204_-	COG0031		7.2e-153	507.2
NZ_CP030760.1_217151_218188_-	COG0031		1.4e-128	427.0
NZ_CP030760.1_2408896_2410527_+	COG0033		3.5e-185	613.8
NZ_CP030760.1_4731672_4733162_-	COG0034		2.4e-206	683.9
NZ_CP030760.1_3343534_3344178_-	COG0035		1.3e-103	342.9
NZ_CP030760.1_786023_786700_+	COG0036		1.4e-122	407.9
NZ_CP030761.1_260804_261505_-	COG0036		6.7e-59	197.7
NZ_CP030760.1_810736_811605_-	COG0037		7.4e-88	293.2
NZ_CP030760.1_2186855_2188258_-	COG0037		2.3e-65	218.9
NZ_CP030760.1_1033597_1035387_+	COG0038		3.5e-139	462.3
NZ_CP030760.1_2784703_2785665_-	COG0039		1.2e-141	469.6
NZ_CP030760.1_4016922_4017617_+	COG0040		4.4e-77	257.7
NZ_CP030760.1_2270927_2271421_+	COG0041		2.4e-91	304.5
NZ_CP030760.1_475155_476150_+	COG0042		1.5e-121	403.3
NZ_CP030760.1_1143286_1144287_+	COG0042		2.5e-109	363.0
NZ_CP030760.1_2805632_2807074_+	COG0043		4.3e-127	422.0
NZ_CP030760.1_1986631_1988085_+	COG0044		3.1e-163	541.4
NZ_CP030760.1_2826407_2827840_+	COG0044		1e-150	500.1
NZ_CP030760.1_65205_66494_-	COG0044		2e-140	465.9
NZ_CP030760.1_3486780_3488159_-	COG0044		5.2e-111	369.1
NZ_CP030760.1_2783473_2784666_-	COG0045		3.2e-176	583.9
NZ_CP030760.1_799348_801579_+	COG0046		0	1105.6
NZ_CP030760.1_795813_796436_+	COG0047		3.1e-83	277.6
NZ_CP030760.1_100179_100550_+	COG0048		4.1e-75	249.3
NZ_CP030760.1_100628_101098_+	COG0049		7.5e-84	277.3
NZ_CP030760.1_103296_104471_+	COG0050		9.2e-258	854.8
NZ_CP030760.1_84084_85259_+	COG0050		9.2e-258	854.8
NZ_CP030760.1_104626_104934_+	COG0051		1.3e-57	191.1
NZ_CP030760.1_440644_441411_+	COG0052		1.7e-125	416.1
NZ_CP030760.1_1702171_1703085_-	COG0053		4.3e-107	355.7
NZ_CP030760.1_4820796_4821251_+	COG0054		1.3e-55	185.2
NZ_CP030760.1_1318982_1319416_+	COG0054		3.2e-43	144.7
NZ_CP030760.1_2760137_2761573_-	COG0055		3.9e-258	854.9
NZ_CP030760.1_2762509_2764038_-	COG0056		4.2e-248	822.7
NZ_CP030760.1_2227210_2228226_+	COG0057		1.2e-189	629.4
NZ_CP030760.1_2401495_2403957_+	COG0058		4.2e-257	852.7
NZ_CP030760.1_1365957_1366976_-	COG0059		1.5e-165	547.6
NZ_CP030760.1_4025096_4028065_+	COG0060		0	1158.8
NZ_CP030760.1_80152_80925_-	COG0061		4.5e-69	231.2
NZ_CP030760.1_589659_591131_+	COG0062		3.9e-156	517.8
NZ_CP030760.1_376514_378016_+	COG0064		3.4e-271	900.4
NZ_CP030760.1_2890822_2892231_+	COG0065		1.2e-237	788.3
NZ_CP030760.1_3064341_3064949_+	COG0066		1e-98	328.7
NZ_CP030764.1_451547_452875_-	COG0069		1.3e-129	430.0
NZ_CP030760.1_2361161_2366044_-	COG0070		0	2418.2
NZ_CP030764.1_452890_453576_-	COG0070		2e-39	131.0
NZ_CP030763.1_369524_370033_+	COG0071		3.8e-49	163.7
NZ_CP030761.1_727654_728295_-	COG0071		1.1e-48	163.2
NZ_CP030761.1_696390_696908_+	COG0071		7.7e-46	154.1
NZ_CP030761.1_695858_696343_+	COG0071		1.4e-38	130.2
NZ_CP030760.1_2369643_2370113_-	COG0071		3.8e-38	128.8
NZ_CP030760.1_3398302_3400725_+	COG0072		2.7e-298	989.2
