Name	Count
Acetylene degradation	5
Heterolactic fermentation	9
Lysine fermentation to acetate and butyrate	6
Pyruvate Fermentation	117
Response to osmotic stress	86
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	23
Phenylalanine metabolism	22
D-arginine and D-ornithine metabolism	2
Valine, leucine and isoleucine biosynthesis	12
Amino acid biosynthesis precursor pyruvate and oxaloacetate	148
Acetyl-coA fermentation to butyrate II (clostridium)	4
Acetoin biosynthesis	20
Starch	26
Xylose	26
Lysine biosynthesis	15
Tryptophan metabolism	16
Histidine degradation	3
Succinate fermentation to butyrate	2
Aromatic carboxylic acid degradation	9
Mixed acid fermentation	16
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	3
Incomplete TCA fork	8
Serine pathway for formaldehyde fixation	3
TCA cycle	10
Reductive TCA cycle	3
Cellular response to stress	35
Galactose	15
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	4
Homolactic fermentation	8
Histidine biosynthesis, pRpp => histidine	10
Other aromatics degradation	7
Glycine, serine and threonine metabolism	30
Polysaccharide biosynthesis and assembly of cell surface structure	121
Purine metabolism	63
Glutamate degradation V (via hydroxyglutarate)	8
Formaldehyde oxidation (glutathione-dependent)	5
From formate	4
Methane oxidation to cO2	6
Formaldehyde oxidation (tetrahydrofolate pathway)	4
Fatty acid alpha-oxidation	2
Fatty acid omega-oxidation	2
Valine, leucine and isoleucine degradation	26
Phenylalanine, tyrosine and tryptophan biosynthesis	23
Hydrocarbon degradation	2
Cysteine and methionine metabolism	23
Methionine biosynthesis	5
Bifidobacterium shunt	7
Glycolysis	13
EMP	11
Glycolysis III (EMP)	11
Gluconeogenesis in archea	7
Regulation of stress-activated protein kinase signaling cascade	1
Lysine degradation VIII	1
Methionine degradation	7
Arginine and proline metabolism	51
BTEX and related aromatics degradation	2
Fatty acid activation	7
Fatty acid beta-oxidation I	10
Oxydation deamination	3
Ammonia assimilation	6
From CO2	1
Hydrogen production VII (chlorophyta, cyanobacteria)	2
Nitrogenated compounds Reduction	3
Sulfur compounds cycle	22
Pyrimidine metabolism	44
Response to oxidative stress	10
Polycyclic aromatic hydrocarbon degradation	5
Response to nitrosative stress	15
Reductive acetyl coenzyme A pathway	17
Pyruvate fermentation to butanol	14
From acetate	4
Acetate formation from acetyl-coA I	2
Fatty acid beta-oxidation II (core pathway)	6
Glycosyltransferase	14
Trehalose metabolism in response to cold stress	2
Glycoside hydrolase	34
Disaccaride phosphorylase	13
Degradation of pyrimidine bases	4
Hexose	1
Pentose	3
EMP  in archea	8
Chemoautotrophic oxidation of sulfur compounds	4
Cellular response to oxidative stress	6
nan	3
Mannose	23
Gluconeogenesis	3
Polysaccharide lyase	4
Cellular response to osmotic stress	36
Pectin	1
Chitin	3
Arabinose	1
Carbohydrate esterase	5
D-glutamine and D-glutamate metabolism	4
Degradation of purine bases	6
Regulation of translation in response to oxidative stress	1
Fatty acid beta-oxidation IV (unsaturated)	4
Nitoaromatics degradation	2
Lysine degradation X	1
Fatty acid beta-oxidation III (unsaturated)	1
ABC transporters, prokaryotic type	180
Regulation of response to osmotic stress	31
Major Facilitator superfamily (MFS)	28
Nitrogen Fixation	3
Phosphotransferase system (pts)	6
Transamination	1
Cellular response to cation stress	2
Chlorinated aromatics degradation	2
Regulation of translational initiation in response to osmotic stress	2
Heterocyclic aromatics degradation	1
Deamination of cystein and methionine	1
Lysine degradation Iv	1
Lysine degradation v	1
Lysine degradation vI	1
