	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000971.1_1	QGNH01000971.1	QGNH01000971.1	1	3	212	-1	E											0	False	F
QGNH01000971.1_2	QGNH01000971.1	QGNH01000971.1	2	339	692	-1	E											0	False	F
QGNH01000971.1_3	QGNH01000971.1	QGNH01000971.1	3	649	1995	-1	E	YP_009186871.1	YP_009186871.1 hypothetical protein AUR69_gp07 [Hydrogenobaculum phage 1]	False	205.0	2.833e-55	0.338					0	False	F
QGNH01000971.1_4	QGNH01000971.1	QGNH01000971.1	4	1992	2177	-1	E											0	False	F
QGNH01000971.1_5	QGNH01000971.1	QGNH01000971.1	5	2424	2786	-1	E											0	False	F
QGNH01000971.1_6	QGNH01000971.1	QGNH01000971.1	6	2809	3252	-1	E											0	False	F
QGNH01000971.1_7	QGNH01000971.1	QGNH01000971.1	7	3264	4466	-1	E											0	False	F
QGNH01000971.1_8	QGNH01000971.1	QGNH01000971.1	8	4479	5390	-1	E											0	False	F
QGNH01000971.1_9	QGNH01000971.1	QGNH01000971.1	9	5520	5735	-1	E											0	False	
QGNH01000971.1_10	QGNH01000971.1	QGNH01000971.1	10	5753	6049	-1	E											0	False	
QGNH01000971.1_11	QGNH01000971.1	QGNH01000971.1	11	6065	6268	-1	E											0	False	
QGNH01000971.1_12	QGNH01000971.1	QGNH01000971.1	12	6282	6458	-1	E											0	False	
QGNH01000971.1_13	QGNH01000971.1	QGNH01000971.1	13	6466	6912	-1	E											0	False	
QGNH01000971.1_14	QGNH01000971.1	QGNH01000971.1	14	6964	7116	-1	E											0	False	
QGNH01000971.1_15	QGNH01000971.1	QGNH01000971.1	15	7113	7916	-1	E											0	False	F
QGNH01000971.1_16	QGNH01000971.1	QGNH01000971.1	16	7916	9427	-1	E											0	False	F
QGNH01000971.1_17	QGNH01000971.1	QGNH01000971.1	17	10072	10374	1	E											0	False	F
QGNH01000971.1_18	QGNH01000971.1	QGNH01000971.1	18	10376	10549	1	E											0	False	F
QGNH01000971.1_19	QGNH01000971.1	QGNH01000971.1	19	10539	10724	1	E											0	False	F
QGNH01000971.1_20	QGNH01000971.1	QGNH01000971.1	20	10703	10792	1	E											0	False	F
QGNH01000971.1_21	QGNH01000971.1	QGNH01000971.1	21	10826	11047	1	E											0	False	F
QGNH01000971.1_22	QGNH01000971.1	QGNH01000971.1	22	11050	11583	1	E											0	False	F
QGNH01000971.1_23	QGNH01000971.1	QGNH01000971.1	23	11588	11854	-1	E											0	False	F
QGNH01000971.1_24	QGNH01000971.1	QGNH01000971.1	24	11935	12195	-1	E											0	False	F
QGNH01000971.1_25	QGNH01000971.1	QGNH01000971.1	25	12302	12841	-1	E											0	False	F
