Gene	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217	JQGI01_HUD	RW2_complete	SH31	GIC31_complete	S17
"K00074"	1	1	1	1	1	0	0	0	0	0
"K00217"	1	1	1	1	1	0	0	0	0	0
"K00252"	1	1	1	1	1	0	0	0	0	0
"K00446"	1	1	1	1	1	0	0	0	0	0
"K00448"	1	1	1	1	1	0	0	0	0	0
"K00449"	1	1	1	1	1	0	0	0	0	0
"K00481"	1	1	1	1	1	0	0	0	0	0
"K00626"	1	1	1	1	1	0	0	0	0	0
"K01031"	1	1	1	1	1	0	0	0	0	0
"K01032"	1	1	1	1	1	0	0	0	0	0
"K01607"	1	1	1	1	1	0	0	0	0	0
"K01782"	1	1	1	1	1	0	0	0	0	0
"K01857"	1	1	1	1	1	0	0	0	0	0
"K02554"	1	1	1	1	1	0	0	0	0	0
"K04098"	1	1	1	1	1	0	0	0	0	0
"K07535"	1	1	1	1	1	0	0	0	0	0
"K07823"	1	1	1	1	1	0	0	0	0	0
"K10218"	1	1	1	1	1	0	0	0	0	0
"K14727"	1	1	1	1	1	0	0	0	0	0
"K20941"	1	1	1	1	1	0	0	0	0	0
"K20942"	1	1	1	1	1	0	0	0	0	0
"K22270"	1	1	1	1	1	0	0	0	0	0
"K07516"	0	0	0	0	0	1	1	1	1	1
