Gene	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217	JQGI01_HUD	RW2_complete	SH31	GIC31_complete	S17
"K00235"	1	1	1	1	1	0	0	0	0	0
"K00236"	1	1	1	1	1	0	0	0	0	0
"K00411"	1	1	1	1	1	0	0	0	0	0
"K00413"	1	1	1	1	1	0	0	0	0	0
"K02126"	1	1	1	1	1	0	0	0	0	0
"K02128"	1	1	1	1	1	0	0	0	0	0
"K02132"	1	1	1	1	1	0	0	0	0	0
"K02258"	1	1	1	1	1	0	0	0	0	0
"K02262"	1	1	1	1	1	0	0	0	0	0
"K03934"	1	1	1	1	1	0	0	0	0	0
"K03935"	1	1	1	1	1	0	0	0	0	0
"K03936"	1	1	1	1	1	0	0	0	0	0
"K03937"	1	1	1	1	1	0	0	0	0	0
"K03940"	1	1	1	1	1	0	0	0	0	0
"K03941"	1	1	1	1	1	0	0	0	0	0
"K03942"	1	1	1	1	1	0	0	0	0	0
"K03953"	1	1	1	1	1	0	0	0	0	0
"K09008"	1	1	1	1	1	0	0	0	0	0
"K11352"	1	1	1	1	1	0	0	0	0	0
"K18162"	1	1	1	1	1	0	0	0	0	0
"K18163"	1	1	1	1	1	0	0	0	0	0
"K18164"	1	1	1	1	1	0	0	0	0	0
