J	FCCCFC	Translation, ribosomal structure and biogenesis
A	FCDCFC	RNA processing and modification
K	FCDCEC	Transcription
L	FCDCDC	Replication, recombination and repair
B	FCDCCC	Chromatin structure and dynamics
D	FCFCDC	Cell cycle control, cell division, chromosome partitioning
Y	FCFCCC	Nuclear structure
V	FCFCBC	Defense mechanisms
T	FCFCAC	Signal transduction mechanisms
M	ECFCAC	Cell wall/membrane/envelope biogenesis
N	DCFCAC	Cell motility
Z	CCFCAC	Cytoskeleton
W	BCFCAC	Extracellular structures
U	ACFCAC	Intracellular trafficking, secretion, and vesicular transport
O	9CFCAC	Posttranslational modification, protein turnover, chaperones
X	9CFC9C	Mobilome: prophages, transposons
C	BCFCFC	Energy production and conversion
G	CCFCFC	Carbohydrate transport and metabolism
E	DCFCFC	Amino acid transport and metabolism
F	DCECFC	Nucleotide transport and metabolism
H	DCDCFC	Coenzyme transport and metabolism
I	DCCCFC	Lipid transport and metabolism
P	CCCCFC	Inorganic ion transport and metabolism
Q	BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
R	E0E0E0	General function prediction only
S	CCCCCC	Function unknown
