	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
GCA_002989825.1_JF917095.1_1	GCA_002989825.1	JF917095.1	1	3	1733	1	D	MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]	0
GCA_002989825.1_JF917095.1_2	GCA_002989825.1	JF917095.1	2	1744	1989	1	E		0
GCA_002989825.1_JF917095.1_3	GCA_002989825.1	JF917095.1	3	1986	2252	1	E		0
GCA_002989825.1_JF917095.1_4	GCA_002989825.1	JF917095.1	4	2284	2532	1	E		0
GCA_002989825.1_JF917095.1_5	GCA_002989825.1	JF917095.1	5	2529	2927	1	E		0
GCA_002989825.1_JF917095.1_6	GCA_002989825.1	JF917095.1	6	2927	3451	1	E		0
GCA_002989825.1_JF917095.1_7	GCA_002989825.1	JF917095.1	7	3458	4021	1	E		0
GCA_002989825.1_JF917095.1_8	GCA_002989825.1	JF917095.1	8	4236	4589	1	E		0
GCA_002989825.1_JF917095.1_9	GCA_002989825.1	JF917095.1	9	4596	4805	1	E		0
GCA_002989825.1_JF917095.1_10	GCA_002989825.1	JF917095.1	10	4811	4975	1	E		0
GCA_002989825.1_JF917095.1_11	GCA_002989825.1	JF917095.1	11	4972	5928	1	D	Archaeal phage integrase [PF16795.8]	0
GCA_002989825.1_JF917095.1_12	GCA_002989825.1	JF917095.1	12	6107	6523	1	E		0
GCA_002989825.1_JF917095.1_13	GCA_002989825.1	JF917095.1	13	6520	6807	1	E		0
GCA_002989825.1_JF917095.1_14	GCA_002989825.1	JF917095.1	14	7100	7369	1	E		0
GCA_002989825.1_JF917095.1_15	GCA_002989825.1	JF917095.1	15	7415	7699	1	E		0
GCA_002989825.1_JF917095.1_16	GCA_002989825.1	JF917095.1	16	7692	8147	1	E		0
GCA_002989825.1_JF917095.1_17	GCA_002989825.1	JF917095.1	17	8150	9043	1	E		0
GCA_002989825.1_JF917095.1_18	GCA_002989825.1	JF917095.1	18	9040	9480	1	E		0
GCA_002989825.1_JF917095.1_19	GCA_002989825.1	JF917095.1	19	9477	10253	1	E		0
GCA_002989825.1_JF917095.1_20	GCA_002989825.1	JF917095.1	20	10253	12907	1	E		0
GCA_002989825.1_JF917095.1_21	GCA_002989825.1	JF917095.1	21	12864	13154	1	E		0
GCA_002989825.1_JF917095.1_22	GCA_002989825.1	JF917095.1	22	13155	15023	1	E		0
GCA_002989825.1_JF917095.1_23	GCA_002989825.1	JF917095.1	23	15025	15372	1	E		0
GCA_002989825.1_JF917095.1_24	GCA_002989825.1	JF917095.1	24	15372	17438	1	D	Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	0
GCA_002989825.1_JF917095.1_25	GCA_002989825.1	JF917095.1	25	17450	17701	1	D	Family of unknown function (DUF5771) [PF19075.3]	0
GCA_002989825.1_JF917095.1_26	GCA_002989825.1	JF917095.1	26	17708	17911	1	E		0
GCA_002989825.1_JF917095.1_27	GCA_002989825.1	JF917095.1	27	17999	18544	1	E		0
GCA_002989825.1_JF917095.1_28	GCA_002989825.1	JF917095.1	28	18690	19424	-1	E		0
GCA_002989825.1_JF917095.1_29	GCA_002989825.1	JF917095.1	29	19530	19778	-1	D	C2H2-type zinc finger [PF13894.9]	0
GCA_002989825.1_JF917095.1_30	GCA_002989825.1	JF917095.1	30	19848	20675	1	D	prlF antitoxin for toxin YhaV_toxin [PF15937.8]	0
