	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000156.1_1	QGNH01000156.1	QGNH01000156.1	1	3	104	-1	E																				0	False	F
QGNH01000156.1_2	QGNH01000156.1	QGNH01000156.1	2	133	444	-1	E																				0	False	F
QGNH01000156.1_3	QGNH01000156.1	QGNH01000156.1	3	704	934	-1	E																				0	False	F
QGNH01000156.1_4	QGNH01000156.1	QGNH01000156.1	4	931	1437	-1	D																Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]				0	False	F
QGNH01000156.1_5	QGNH01000156.1	QGNH01000156.1	5	1993	2307	1	E																				0	False	F
QGNH01000156.1_6	QGNH01000156.1	QGNH01000156.1	6	2494	3423	1	D																Helix-turn-helix domain [PF13730.9]				0	False	F
QGNH01000156.1_7	QGNH01000156.1	QGNH01000156.1	7	3449	3823	1	E																				0	False	F
QGNH01000156.1_8	QGNH01000156.1	QGNH01000156.1	8	3835	4035	1	E																				0	False	F
QGNH01000156.1_9	QGNH01000156.1	QGNH01000156.1	9	4101	4661	1	E			YP_007674363.1	YP_007674363.1 hypothetical protein VPGG_00054 [Vibrio phage VBM1]	False	0.453	74.0	4.259e-14									VOG17442	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000156.1_10	QGNH01000156.1	QGNH01000156.1	10	4655	4843	1	E																				0	False	F
QGNH01000156.1_11	QGNH01000156.1	QGNH01000156.1	11	4886	5101	1	E																				0	False	F
QGNH01000156.1_12	QGNH01000156.1	QGNH01000156.1	12	5151	5306	1	E																				0	False	
QGNH01000156.1_13	QGNH01000156.1	QGNH01000156.1	13	5663	5962	1	E																				0	False	
QGNH01000156.1_14	QGNH01000156.1	QGNH01000156.1	14	5950	6327	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	YP_009146221.1	YP_009146221.1 RusA-like Holliday junction resolvase [Sulfitobacter phage NYA-2014a]	False	0.396	64.0	1.996e-11												0	False	
QGNH01000156.1_15	QGNH01000156.1	QGNH01000156.1	15	6381	6698	1	E																				0	False	
QGNH01000156.1_16	QGNH01000156.1	QGNH01000156.1	16	6882	7292	1	C	K17733	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	YP_009223760.1	YP_009223760.1 endolysin [Geobacillus virus E3]	False	0.477	121.0	6.046e-31	MER0219575	M15C	MER0219575 - subfamily M15C non-peptidase homologues (Herbaspirillum seropedicae) [M15.UNC]#M15C#{peptidase unit: 5-141}~source YP_003773663~	False	146.0	1.374e-39	0.561	D-alanyl-D-alanine carboxypeptidase [PF13539.9]; D-alanyl-D-alanine carboxypeptidase [PF02557.20]				0	False	P
QGNH01000156.1_17	QGNH01000156.1	QGNH01000156.1	17	7289	7498	1	E																				0	False	
QGNH01000156.1_18	QGNH01000156.1	QGNH01000156.1	18	7623	7988	1	D																Mor transcription activator family [PF08765.14]	VOG00662	REFSEQ late transcriptional activator; Xu	Xu	0	False	
QGNH01000156.1_19	QGNH01000156.1	QGNH01000156.1	19	8038	8424	1	E			YP_010765995.1	YP_010765995.1 hypothetical protein QGM59_gp41 [Pseudomonas phage Epa33]	False	0.369	81.0	2.163e-17												0	False	
QGNH01000156.1_20	QGNH01000156.1	QGNH01000156.1	20	8414	9631	1	C	K06909	phage terminase large subunit	YP_009598451.1	YP_009598451.1 terminase large subunit [Rhizobium phage RHEph04]	False	0.429	338.0	2.192e-101								Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01000156.1_21	QGNH01000156.1	QGNH01000156.1	21	9637	11127	1	D			YP_009168758.1	YP_009168758.1 portal protein [Pseudomonas phage JBD25]	False	0.371	301.0	2.289e-87								Protein of unknown function (DUF935) [PF06074.15]	VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	
QGNH01000156.1_22	QGNH01000156.1	QGNH01000156.1	22	11131	12381	1	D			YP_009797326.1	YP_009797326.1 minor head protein and DNA pilot [Faecalibacterium phage FP_Mushu]	False	0.364	126.0	3.87e-29								Phage Mu protein F like protein [PF04233.17]; phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease2 [PF18810.4]	VOG10177	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein; Xu	Xu	0	False	
QGNH01000156.1_23	QGNH01000156.1	QGNH01000156.1	23	12500	12913	1	D																Phage virion morphogenesis family [PF05069.16]	VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	
QGNH01000156.1_24	QGNH01000156.1	QGNH01000156.1	24	12942	13223	-1	E																				0	False	
QGNH01000156.1_25	QGNH01000156.1	QGNH01000156.1	25	13667	15118	-1	E			YP_009037296.1	YP_009037296.1 putative glycosyl hydrolase [Nitrincola phage 1M3-16]	False	0.242	147.0	1.7260000000000002e-35												0	False	
QGNH01000156.1_26	QGNH01000156.1	QGNH01000156.1	26	15123	16004	-1	E																	VOG17905	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000156.1_27	QGNH01000156.1	QGNH01000156.1	27	16018	16488	-1	E																				0	False	
QGNH01000156.1_28	QGNH01000156.1	QGNH01000156.1	28	16493	16846	-1	E																	VOG02552	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000156.1_29	QGNH01000156.1	QGNH01000156.1	29	16907	18076	1	D			YP_009226541.1	YP_009226541.1 head maturation protease [Ralstonia phage RS138]	False	0.415	226.0	3.7100000000000003e-63								Mu-like prophage I protein [PF10123.12]	VOG01958	sp|Q01267|PRO_BPMU Protease I; XhXs	Xs;Xh	0	False	V
QGNH01000156.1_30	QGNH01000156.1	QGNH01000156.1	30	18073	18420	1	D																Uncharacterized conserved protein (DUF2190) [PF09956.12]	VOG00395	REFSEQ head scaffolding protein; Xu	Xu	0	False	
QGNH01000156.1_31	QGNH01000156.1	QGNH01000156.1	31	18430	19374	1	D			YP_008129844.1	YP_008129844.1 major head protein [Rhizobium phage RR1-B]	False	0.448	242.0	9.867e-70								Phage major capsid protein E [PF03864.18]	VOG10432	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein; XhXs	Xs;Xh	0	False	V
QGNH01000156.1_32	QGNH01000156.1	QGNH01000156.1	32	19375	19557	1	E																				0	False	
QGNH01000156.1_33	QGNH01000156.1	QGNH01000156.1	33	19526	19933	1	D			YP_009226545.1	YP_009226545.1 head-tail adaptor [Ralstonia phage RS138]	False	0.416	87.0	1.842e-19								Bacteriophage Mu, Gp36 [PF07030.15]	VOG01664	sp|Q9T1V9|GPJ_BPMU Gene product J; Xh	Xh	0	False	
QGNH01000156.1_34	QGNH01000156.1	QGNH01000156.1	34	19933	20355	1	E																				0	False	
QGNH01000156.1_35	QGNH01000156.1	QGNH01000156.1	35	20364	20606	1	E																				0	False	
QGNH01000156.1_36	QGNH01000156.1	QGNH01000156.1	36	20603	20737	1	E																				0	False	
QGNH01000156.1_37	QGNH01000156.1	QGNH01000156.1	37	20730	22550	1	E			YP_004934612.1	YP_004934612.1 hypothetical protein S-CBS1_gp12 [Synechococcus phage S-CBS1]	False	0.298	94.0	2.59e-18												0	False	
