	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
OQ473814.1_1	GCA_030144915.1	OQ473814.1	1	2	259	1	E											0	False	F
OQ473814.1_2	GCA_030144915.1	OQ473814.1	2	361	450	-1	E											0	False	F
OQ473814.1_3	GCA_030144915.1	OQ473814.1	3	447	779	-1	E											0	False	F
OQ473814.1_4	GCA_030144915.1	OQ473814.1	4	779	1486	-1	E											0	False	F
OQ473814.1_5	GCA_030144915.1	OQ473814.1	5	1697	2080	1	E											0	False	F
OQ473814.1_6	GCA_030144915.1	OQ473814.1	6	2092	2316	1	E											0	False	F
OQ473814.1_7	GCA_030144915.1	OQ473814.1	7	2297	2479	1	E											0	False	F
OQ473814.1_8	GCA_030144915.1	OQ473814.1	8	2481	2657	1	D							Ribbon-helix-helix protein, copG family [PF01402.24]				0	False	F
OQ473814.1_9	GCA_030144915.1	OQ473814.1	9	2654	3061	1	E											0	False	F
OQ473814.1_10	GCA_030144915.1	OQ473814.1	10	3036	3344	1	E											0	False	F
OQ473814.1_11	GCA_030144915.1	OQ473814.1	11	3365	3949	1	E	YP_009408150.1	YP_009408150.1 hypothetical protein a188 [Metallosphaera turreted icosahedral virus]	False	0.293	62.0	5.23e-10					0	False	F
OQ473814.1_12	GCA_030144915.1	OQ473814.1	12	3942	4313	1	E											0	False	F
OQ473814.1_13	GCA_030144915.1	OQ473814.1	13	4336	4773	1	E											0	False	F
OQ473814.1_14	GCA_030144915.1	OQ473814.1	14	4770	5264	1	E											0	False	F
OQ473814.1_15	GCA_030144915.1	OQ473814.1	15	5257	5448	1	E											0	False	
OQ473814.1_16	GCA_030144915.1	OQ473814.1	16	5441	5764	1	E	YP_009408155.1	YP_009408155.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.443	74.0	3.734e-15					0	False	
OQ473814.1_17	GCA_030144915.1	OQ473814.1	17	5805	6089	1	E											0	False	
OQ473814.1_18	GCA_030144915.1	OQ473814.1	18	6101	6481	1	E											0	False	
OQ473814.1_19	GCA_030144915.1	OQ473814.1	19	6493	6909	1	E	YP_009408158.1	YP_009408158.1 structural protein c137 [Metallosphaera turreted icosahedral virus]	False	0.536	139.0	1.738e-37					0	False	
OQ473814.1_20	GCA_030144915.1	OQ473814.1	20	6955	7668	1	E											0	False	
OQ473814.1_21	GCA_030144915.1	OQ473814.1	21	7665	7964	1	E											0	False	F
OQ473814.1_22	GCA_030144915.1	OQ473814.1	22	8007	8234	1	E											0	False	F
OQ473814.1_23	GCA_030144915.1	OQ473814.1	23	8231	8494	1	E											0	False	F
OQ473814.1_24	GCA_030144915.1	OQ473814.1	24	8534	9571	1	E											0	False	F
OQ473814.1_25	GCA_030144915.1	OQ473814.1	25	9573	11180	1	E											0	False	F
OQ473814.1_26	GCA_030144915.1	OQ473814.1	26	11177	11566	1	E											0	False	F
OQ473814.1_27	GCA_030144915.1	OQ473814.1	27	11601	11888	1	E											0	False	F
OQ473814.1_28	GCA_030144915.1	OQ473814.1	28	11941	12231	1	E											0	False	F
OQ473814.1_29	GCA_030144915.1	OQ473814.1	29	12228	12572	1	E											0	False	F
OQ473814.1_30	GCA_030144915.1	OQ473814.1	30	12516	12734	-1	E											0	False	F
